gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,p_value,significant_p05,standard_error
GCN5:OPI1:YAP6,trigenic,Total Capacity,-0.2801472028768348,0.7556724961027371,0.15017845031032032,False,0.19425302354512003
GCN5:OPI1:TFC7,trigenic,Total Capacity,-1.072764932008642,0.3420614321062667,1.092905121707989e-06,True,0.21607322628494732
GCN5:RFX1:RGR1,trigenic,Total Capacity,-0.12665280621156244,0.8810395109470659,0.5148448341553347,False,0.19425302354512006
GCN5:RFX1:RPD3,trigenic,Total Capacity,-0.4187218265686752,0.6578871765496969,0.03182443941493146,True,0.19425302354511995
GCN5:RFX1:SPT3,trigenic,Total Capacity,-0.19413308576256916,0.8235482944222079,0.3183243187686867,False,0.19425302354511975
GCN5:RFX1:YAP6,trigenic,Total Capacity,-0.2391997893833132,0.7872575809530271,0.21903588631140924,False,0.19425302354511984
GCN5:RFX1:TFC7,trigenic,Total Capacity,-0.8232010618560737,0.43902405963761837,2.9154581213123364e-05,True,0.19425302354511984
GCN5:RGR1:RPD3,trigenic,Total Capacity,-0.19530897555374307,0.8225804615341843,0.31540620684015525,False,0.1942530235451195
GCN5:RGR1:SPT3,trigenic,Total Capacity,-0.2902884705751364,0.7480477466873572,0.13600843574554167,False,0.19425302354511995
GCN5:RGR1:YAP6,trigenic,Total Capacity,-0.13224709792388456,0.8761244797902151,0.4964653325244398,False,0.19425302354511992
GCN5:RGR1:TFC7,trigenic,Total Capacity,-0.9781530502775466,0.37600492011051617,1.5530041085108855e-06,True,0.19998186213632183
GCN5:RPD3:SPT3,trigenic,Total Capacity,-0.5077215241165138,0.6018653534133337,0.00935697246910817,True,0.1942530235451199
GCN5:RPD3:YAP6,trigenic,Total Capacity,-0.28566384177021775,0.7515152015099437,0.14233609722578572,False,0.1942530235451199
GCN5:RPD3:TFC7,trigenic,Total Capacity,-0.7611394899360695,0.46713382932537334,0.00010794510033952801,True,0.19425302354511986
GCN5:SPT3:YAP6,trigenic,Total Capacity,-0.6216511844850149,0.5370569250106662,0.0015034363535074476,True,0.19425302354511992
GCN5:SPT3:TFC7,trigenic,Total Capacity,-1.2355882111732737,0.2906637404144934,6.521890213189202e-10,True,0.19425302354511978
GCN5:YAP6:TFC7,trigenic,Total Capacity,-1.2669438099613233,0.28169120944597087,2.529109038164077e-10,True,0.19425302354511995
MED4:OPI1:RFX1,trigenic,Total Capacity,-1.4118576925293864,0.2436901610113434,5.937642119760407e-13,True,0.18842012923648918
MED4:OPI1:RGR1,trigenic,Total Capacity,-1.0120519016275238,0.3634724042660498,1.4580196271219734e-07,True,0.18842012923648913
MED4:OPI1:RPD3,trigenic,Total Capacity,-1.6902986888476388,0.18446441829913873,2.0623217251238858e-17,True,0.18842012923648904
MED4:OPI1:SPT3,trigenic,Total Capacity,-1.4093925750448124,0.24429162692555934,6.467371284342607e-13,True,0.1884201292364891
MED4:OPI1:YAP6,trigenic,Total Capacity,-1.3366102879168693,0.2627347560309533,2.8978931894900897e-11,True,0.1942530235451201
MED4:OPI1:TFC7,trigenic,Total Capacity,-1.339467969308,0.2619850155777308,2.646753684465648e-11,True,0.19425302354512028
MED4:RFX1:RGR1,trigenic,Total Capacity,-1.2327792166353486,0.291481361082069,2.2385205680357213e-10,True,0.18842012923648924
MED4:RFX1:RPD3,trigenic,Total Capacity,-1.7150269969918277,0.17995886229959637,5.815952514433357e-17,True,0.1942525788182314
MED4:RFX1:SPT3,trigenic,Total Capacity,-1.1744839139726344,0.3089783979816607,1.3603275453614414e-09,True,0.18842012923648904
MED4:RFX1:YAP6,trigenic,Total Capacity,-1.3700328063541543,0.25409862336663286,2.49608368576998e-12,True,0.18842012923648915
MED4:RFX1:TFC7,trigenic,Total Capacity,-1.404210953599013,0.24556073884789084,7.737408560203166e-13,True,0.188420129236489
MED4:RGR1:RPD3,trigenic,Total Capacity,-1.4438051507387502,0.2360279259315058,1.9437931985471845e-13,True,0.1884201292364891
MED4:RGR1:SPT3,trigenic,Total Capacity,-1.1764029829458504,0.308386015717715,1.2832011091020775e-09,True,0.1884201292364891
MED4:RGR1:YAP6,trigenic,Total Capacity,-1.2851493610549283,0.27660926589466284,4.1910240597457936e-11,True,0.18842012923648913
MED4:RGR1:TFC7,trigenic,Total Capacity,-1.375381254564494,0.2527432179281812,2.080807293132743e-12,True,0.18842012923648924
MED4:RPD3:SPT3,trigenic,Total Capacity,-1.424364703351782,0.2406613059739942,3.8426731923041175e-13,True,0.18842012923648904
