gene_set,interaction_type,ffa_type,E_capacity,E_composition,E_combined,phi_capacity,phi_composition,phi_combined,p_value_capacity,p_value_composition,effect_type
RGR1:SPT3:YAP6,trigenic,C140,-0.7517499008407728,1.431149551979416,0.6793996511386432,0.471540680920862,4.183505585921281,1.9726930726215504,8.11304464732803e-05,2.5985602513187433e-20,both
OPI1:SPT3,digenic,C140,0.3169381328467634,-0.38408267032658083,-0.06714453747981741,1.3729176307925075,0.6810751201495101,0.9350600403473877,0.01792290673886699,0.00021529127112532637,both
GCN5:SPT3:TFC7,trigenic,C140,-1.2355882111732737,1.0484681569586902,-0.18712005421458344,0.2906637404144934,2.8532769961728963,0.8293441641462441,6.521890213189202e-10,1.3485770390087116e-11,both
RPD3:YAP6:TFC7,trigenic,C140,-1.4770611197849113,1.3625921586797605,-0.11446896110515081,0.22830767230143062,3.9063059542178804,0.891839619704703,5.971719712034756e-14,9.541292460548384e-19,both
FKH1:RFX1:TFC7,trigenic,C140,-1.220730952739542,2.942284214883237,1.7215532621436949,0.29501444647503705,18.959103555541592,5.59320944110101,3.267591713624399e-10,2.520990803996608e-60,both
FKH1:RPD3:YAP6,trigenic,C140,-1.3992642899749936,2.7107315501605704,1.3114672601855768,0.24677845455415973,15.040274206348313,3.7116156247134278,9.178021240199218e-13,5.925347569981878e-54,both
RFX1:YAP6:TFC7,trigenic,C140,-0.8440155325230356,1.4069101253014638,0.5628945927784281,0.42998045168610044,4.083318947688927,1.755747325505697,1.0253323687677539e-05,9.39338855241022e-20,both
RFX1:RPD3:TFC7,trigenic,C140,-0.1780620424375835,0.466767885760819,0.2887058433232355,0.8368904991514706,1.5948311774259303,1.3346990601383144,0.34532032604567164,0.0014315645048104263,both
FKH1:GCN5:MED4,trigenic,C140,0.13367116672364765,0.4778892841219946,0.6115604508456423,1.1430168958491196,1.612666925664613,1.8433055434117087,0.5042533320493419,0.0020870513657869133,both
RGR1:YAP6:TFC7,trigenic,C140,-0.9772413533461867,1.5318708820131286,0.5546295286669419,0.37634787895586524,4.62682497356287,1.7412957651004135,3.699660247079603e-07,1.1041701867232918e-22,both
RFX1:RPD3:YAP6,trigenic,C140,-0.06821110357037496,0.6660486577601183,0.5978375541897434,0.9340632686716434,1.9465306959470137,1.8181828244259566,0.7175662893156272,6.337018885407673e-06,composition-only
MED4:RPD3,digenic,C140,1.088766424491642,-1.6321436582023443,-0.5433772337107023,2.970607342970892,0.19551001794144404,0.5807834949212245,6.153936267950236e-15,6.974781437479755e-43,both
FKH1:RFX1:RPD3,trigenic,C140,-1.7227927384609512,3.0956177779359937,1.3728250394750425,0.17856676064675323,22.10088776184185,3.946483935049571,5.781387963337642e-18,1.6149099463893793e-64,both
GCN5:RFX1,digenic,C140,0.06626924611063076,-0.6686075191575137,-0.6023382730468829,1.0685143717780672,0.5124216185106045,0.547529863788359,0.6395207529837197,2.343892182603966e-09,composition-only
GCN5:OPI1:SPT3,trigenic,C140,-0.15614852026206333,0.2123322212524863,0.05618370099042297,0.8554321319314638,1.2365586279021124,1.0577919833245497,0.4220538458534674,0.15697513590732096,both
FKH1:OPI1:RGR1,trigenic,C140,-0.727710786925061,2.6307538937742674,1.9030431068492064,0.48301344613653374,13.884233194494653,6.706271322236117,0.0001346823716573766,9.507361912933332e-52,both
GCN5:OPI1:YAP6,trigenic,C140,-0.2801472028768348,0.2574014877833357,-0.022745715093499097,0.7556724961027371,1.2935643728095472,0.9775110184705621,0.15017845031032032,0.08642949786104423,both
MED4:SPT3:YAP6,trigenic,C140,-1.354387156763337,2.688919140280645,1.3345319835173082,0.2581054241560567,14.715761647439232,3.798217901791735,4.238411973799133e-12,2.3666027482764853e-53,both
RFX1:SPT3:TFC7,trigenic,C140,-0.010856170488377281,0.45306308074378276,0.4422069102554055,0.9892025450630305,1.5731234171795878,1.5561376879722997,0.9540878900980325,0.0019619234864212336,composition-only
GCN5:MED4:RPD3,trigenic,C140,-0.8523758693119119,0.9779112855201955,0.12553541620828357,0.42640065529995047,2.6588967617007286,1.133755321564107,2.6202376970544987e-05,7.072272156625615e-10,both
MED4:RFX1:RPD3,trigenic,C140,-1.7150269969918277,3.1763837357739844,1.4613567387821567,0.17995886229959637,23.95995118219032,4.31180555550084,5.815952514433357e-17,4.039820671930912e-64,both
MED4:OPI1:TFC7,trigenic,C140,-1.339467969308,1.8959651864804814,0.5564972171724814,0.2619850155777308,6.658972454117916,1.7445510021237622,2.646753684465648e-11,2.362662980038042e-30,both
GCN5:MED4,digenic,C140,0.2594885785964385,-0.5718157501074005,-0.312327171510962,1.2962669784388512,0.5644995175136,0.7317420838975435,0.0826883265373882,1.03042141639142e-06,both
RPD3:SPT3:TFC7,trigenic,C140,-1.4087953881882957,1.4601552457760287,0.05135985758773298,0.24443755824411206,4.306628062265923,1.0527016478058542,6.602556444440395e-13,5.498609442436808e-21,both
FKH1:RFX1:RGR1,trigenic,C140,-1.254815258720818,3.1368970136957164,1.8820817549748985,0.2851285183663434,23.0322869893947,6.567161863874518,1.1129343879220036e-10,1.2140135624365865e-65,both
GCN5:RPD3:YAP6,trigenic,C140,-0.28566384177021775,0.393694436326791,0.10803059455657327,0.7515152015099437,1.4824474973576338,1.1140818297046338,0.14233609722578572,0.008927821813821318,both
FKH1:OPI1:TFC7,trigenic,C140,-1.059972068973693,2.281563100503917,1.221591031530224,0.3464654873315537,9.791974293428549,3.3925811455107686,3.8818377418056785e-08,3.7194167955869387e-42,both
GCN5:RFX1:RPD3,trigenic,C140,-0.4187218265686752,0.7782924469287886,0.35957062036011345,0.6578871765496969,2.1777504643223176,1.4327141042028009,0.03182443941493146,3.4710092116383696e-07,both
GCN5:RGR1:YAP6,trigenic,C140,-0.13224709792388456,0.6692286512838508,0.5369815533599662,0.8761244797902151,1.9527305034030955,1.710834996464522,0.4964653325244398,1.0655180710486225e-05,both
GCN5:YAP6:TFC7,trigenic,C140,-1.2669438099613233,1.0886265315776513,-0.17831727838367195,0.28169120944597087,2.97019180511944,0.8366769218706065,2.529109038164077e-10,2.4749521959501412e-12,both
RGR1:TFC7,digenic,C140,0.45098003639123996,-0.9396335437212828,-0.48865350733004287,1.5698499419103196,0.39077100961338,0.6134518467418015,0.0007958090019762297,5.420684485232086e-18,both
MED4:TFC7,digenic,C140,0.7650309273515822,-1.4115858629174998,-0.6465549355659176,2.1490608383875616,0.24375641221734354,0.5238473596021483,2.084393302651267e-08,1.795259667588019e-34,both
GCN5:RFX1:SPT3,trigenic,C140,-0.19413308576256916,0.45070823123569004,0.2565751454731209,0.8235482944222079,1.5694233065861356,1.292495887365474,0.3183243187686867,0.0028006206776616913,both
