gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,p_value,significant_p05,standard_error
FKH1:GCN5,digenic,C140,-0.510953012139278,0.5999235718441602,3.961891018557954e-06,True,0.10893320493540641
FKH1:MED4,digenic,C140,-0.8082819742862588,0.44562300072009586,4.764060192362873e-14,True,0.10266926379635705
FKH1:OPI1,digenic,C140,-1.7688448587241932,0.17052986117723162,3.4620777688871163e-48,True,0.10266926379635699
FKH1:RFX1,digenic,C140,-1.9532398282769503,0.14181387390957229,2.245886663431554e-55,True,0.10266926379635709
FKH1:RGR1,digenic,C140,-2.0015553462796154,0.13512495361742602,2.94952222704213e-57,True,0.10266926379635681
FKH1:RPD3,digenic,C140,-2.0267531093014264,0.13176264626955378,3.0868324258967314e-58,True,0.10266926379635688
FKH1:SPT3,digenic,C140,-1.6476167380960192,0.19250815970090074,1.759848085954823e-43,True,0.10266926379635681
FKH1:YAP6,digenic,C140,-1.6640544694601664,0.18936962812448924,4.0677162618251576e-44,True,0.10266926379635706
FKH1:TFC7,digenic,C140,-1.7259313947529253,0.17800717958559803,1.6168201641053946e-46,True,0.10266926379635685
GCN5:MED4,digenic,C140,-0.5718157501074005,0.5644995175136,1.03042141639142e-06,True,0.11489002367262272
GCN5:OPI1,digenic,C140,-0.2832022354995094,0.7533674148171677,0.00973757554542494,True,0.10893320493540651
GCN5:RFX1,digenic,C140,-0.6686075191575137,0.5124216185106045,2.343892182603966e-09,True,0.10893320493540631
GCN5:RGR1,digenic,C140,-0.7469024994892575,0.4738319767835793,3.363958122776547e-11,True,0.10893320493540624
GCN5:RPD3,digenic,C140,-0.5886102192051907,0.5550982137359431,1.2366574615285752e-07,True,0.10893320493540604
GCN5:SPT3,digenic,C140,-0.37215080463923034,0.6892502925446432,0.0007121168730428806,True,0.10893320493540616
GCN5:YAP6,digenic,C140,-0.3749573465096907,0.6873185947027733,0.0006497127789196256,True,0.1089332049354062
GCN5:TFC7,digenic,C140,-1.0743939295116327,0.3415046684938839,2.4766345437314316e-20,True,0.10893320493540609
MED4:OPI1,digenic,C140,-1.5658906197650886,0.2089018781561739,2.482034919043725e-40,True,0.10266926379635706
