gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,p_value,significant_p05,standard_error
FKH1:GCN5,digenic,Total Capacity,0.4506035041119997,1.569258954003621,0.0015686033689859763,True,0.14136182159859603
FKH1:MED4,digenic,Total Capacity,0.10910937925722775,1.1152843326420616,0.4134001430830826,False,0.13323315109516726
FKH1:OPI1,digenic,Total Capacity,0.6551248447025352,1.9253828762247345,1.37292353912742e-06,True,0.13323315109516717
FKH1:RFX1,digenic,Total Capacity,0.6668208878746308,1.9480344461151005,9.009592590891133e-07,True,0.1332331510951673
FKH1:RGR1,digenic,Total Capacity,0.571104923765709,1.7702219315208325,2.3704456664754326e-05,True,0.13323315109516695
FKH1:RPD3,digenic,Total Capacity,0.976909001358843,2.6562331266723898,1.6853924050282978e-12,True,0.13323315109516704
FKH1:SPT3,digenic,Total Capacity,0.6521662148076659,1.9196947994942064,1.5258576706654368e-06,True,0.13323315109516695
FKH1:YAP6,digenic,Total Capacity,0.6962564269116509,2.006228170143536,3.04065782254111e-07,True,0.13323315109516726
FKH1:TFC7,digenic,Total Capacity,0.5696239938749602,1.7676022971753584,2.485444496247528e-05,True,0.13323315109516698
GCN5:MED4,digenic,Total Capacity,0.2594885785964385,1.2962669784388512,0.0826883265373882,False,0.14909194161227654
GCN5:OPI1,digenic,Total Capacity,-0.03511419561595809,0.9654951546481005,0.8039762276111457,False,0.14136182159859617
GCN5:RFX1,digenic,Total Capacity,0.06626924611063076,1.0685143717780672,0.6395207529837197,False,0.14136182159859592
GCN5:RGR1,digenic,Total Capacity,-0.0253651175704937,0.974953874244555,0.8577044500897502,False,0.14136182159859584
GCN5:RPD3,digenic,Total Capacity,0.27429834837771494,1.3156072529819294,0.053162536891856293,False,0.14136182159859556
GCN5:SPT3,digenic,Total Capacity,0.1399619114683402,1.1502299874515833,0.32283496804682466,False,0.14136182159859573
GCN5:YAP6,digenic,Total Capacity,0.1388149432311282,1.1489114664858684,0.3268104569947695,False,0.14136182159859578
GCN5:TFC7,digenic,Total Capacity,0.7667679809735104,2.152797116418797,1.1115480630736965e-07,True,0.14136182159859562
MED4:OPI1,digenic,Total Capacity,0.9153592785987956,2.4976724509814625,3.089668871524436e-11,True,0.13323315109516726
MED4:RFX1,digenic,Total Capacity,0.6385521058542981,1.8937369626721463,2.468502400321226e-06,True,0.13323315109516715
MED4:RGR1,digenic,Total Capacity,0.651468138747755,1.9183551741469371,1.5642715653499301e-06,True,0.1332331510951671
MED4:RPD3,digenic,Total Capacity,1.088766424491642,2.970607342970892,6.153936267950236e-15,True,0.13323315109516712
MED4:SPT3,digenic,Total Capacity,0.5798475271430003,1.7857661291276563,1.7885103419800087e-05,True,0.1332331510951672
MED4:YAP6,digenic,Total Capacity,0.6753479712260226,1.9647165218526965,6.602533088088858e-07,True,0.13323315109516717
MED4:TFC7,digenic,Total Capacity,0.7650309273515822,2.1490608383875616,2.084393302651267e-08,True,0.1332331510951673
OPI1:RFX1,digenic,Total Capacity,0.3439019733472846,1.4104403679827098,0.010266485245001861,True,0.1332331510951671
OPI1:RGR1,digenic,Total Capacity,0.013030270968538038,1.0131155348841208,0.9221486668760812,False,0.13323315109516712
OPI1:RPD3,digenic,Total Capacity,0.7389153096011984,2.0936633059094847,5.9022371016950274e-08,True,0.13323315109516712
OPI1:SPT3,digenic,Total Capacity,0.3169381328467634,1.3729176307925075,0.01792290673886699,True,0.13323315109516717
OPI1:YAP6,digenic,Total Capacity,0.3001078288306728,1.350004369120522,0.024931728762349253,True,0.13323315109516723
OPI1:TFC7,digenic,Total Capacity,0.29596889655738934,1.3444283398320176,0.026983487646019558,True,0.13323315109516728
RFX1:RGR1,digenic,Total Capacity,0.21785074471436272,1.2434014695271622,0.10295707260450544,False,0.13323315109516717
RFX1:RPD3,digenic,Total Capacity,0.7999596041078282,2.2254510275969217,4.961683578369381e-09,True,0.13323315109516715
RFX1:SPT3,digenic,Total Capacity,0.27133010020201276,1.3117079940003715,0.042478629431992494,True,0.1332331510951672
RFX1:YAP6,digenic,Total Capacity,0.22229884206319056,1.2489445592692583,0.09614353214495616,False,0.1332331510951672
RFX1:TFC7,digenic,Total Capacity,0.3040129488600021,1.3552866053925656,0.023121673558022394,True,0.1332331510951671
RGR1:RPD3,digenic,Total Capacity,0.5514543705946253,1.7357756440616527,4.4085577430274476e-05,True,0.13323315109516712
RGR1:SPT3,digenic,Total Capacity,0.23376523464435342,1.263347867079168,0.0802411231347181,False,0.1332331510951671
RGR1:YAP6,digenic,Total Capacity,0.21986252757133123,1.2459054411669754,0.09982912258266058,False,0.13323315109516726
RGR1:TFC7,digenic,Total Capacity,0.45098003639123996,1.5698499419103196,0.0007958090019762297,True,0.1332331510951672
RPD3:SPT3,digenic,Total Capacity,0.622728042821058,1.864006200713789,4.273875440478635e-06,True,0.13323315109516715
RPD3:YAP6,digenic,Total Capacity,0.6294446088415178,1.8765680604792028,3.390184588670394e-06,True,0.13323315109516706
RPD3:TFC7,digenic,Total Capacity,0.6131312838939817,1.8462033440621375,5.9299691608284125e-06,True,0.13323315109516704
SPT3:YAP6,digenic,Total Capacity,0.43188814401568326,1.5401628290964364,0.0013069660171992948,True,0.13323315109516717
SPT3:TFC7,digenic,Total Capacity,0.48916006089411807,1.630945749365566,0.0002802047866924619,True,0.13323315109516753
YAP6:TFC7,digenic,Total Capacity,0.5714496855061494,1.770832341531872,2.3444130882839202e-05,True,0.1332331510951673
