arm,config,arm_label,graph_reg_lambda,budget_epochs,seed,run_id,run_url,state,epochs_logged,val_epochs_logged,complete,partial,last_epoch,val_gi_pearson_mean_ep10_29,val_gi_pearson_n_ep10_29,val_fitness_pearson_mean_ep10_29,val_gi_pearson_mean_ep100_129,val_gi_pearson_n_ep100_129,val_fitness_pearson_mean_ep100_129,val_gi_pearson_last,val_fitness_pearson_last,val_point_loss_last,val_gi_order3_pearson_last,val_fitness_order3_pearson_last,val_gi_pearson_max_biased,val_gi_pearson_max_epoch,train_gi_pearson_last,train_fitness_order1_pearson_last,train_fitness_order2_pearson_last,train_fitness_order3_pearson_last,train_gene_interaction_order2_pearson_last,train_gene_interaction_order3_pearson_last,train_n_records_fitness_order1,train_n_records_fitness_order2,train_n_records_fitness_order3,train_n_records_gene_interaction_order1,train_n_records_gene_interaction_order2,train_n_records_gene_interaction_order3
s3_fit_031,cgt_s3_r_kl_fit_031,"S3 closure, joint fitness 1.0",0.001,130,1,yb4gjh51,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/yb4gjh51,finished,105,104,False,True,103.0,0.4777,20,0.9436,,4,,0.4799,0.9501,1.8216,0.4799,0.9501,0.4982,32.0,0.768,0.9599,0.9587,0.949,0.6517,0.8368,5691.0,739220.0,301386.0,0.0,739218.0,301386.0
s0_fit_014,cgt_s0_r_kl_fit_014,"S0, joint fitness 1.0",0.001,30,1,b3n4ax4a,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/b3n4ax4a,finished,30,30,True,False,29.0,0.4428,20,0.9421,,0,,0.4329,0.9434,0.8544,,,0.4523,18.0,0.6757,,,,,,,,,,,
s0_fit_014,cgt_s0_r_kl_fit_014,"S0, joint fitness 1.0",0.001,30,2,4m5ry66x,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/4m5ry66x,finished,30,30,True,False,29.0,0.4383,20,0.9419,,0,,0.4364,0.9436,0.8433,,,0.4476,15.0,0.6661,,,,,,,,,,,
s0_fit_014,cgt_s0_r_kl_fit_014,"S0, joint fitness 1.0",0.001,30,3,0brtnr8x,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/0brtnr8x,finished,30,30,True,False,29.0,0.4366,20,0.9419,,0,,0.4182,0.9427,0.862,,,0.4522,14.0,0.6784,,,,,,,,,,,
s0_fit_015,cgt_s0_r_kl_fit_015,"S0, joint fitness 0.1",0.001,30,1,46h2sdcs,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/46h2sdcs,finished,30,30,True,False,29.0,0.4385,20,0.9211,,0,,0.4307,0.9255,0.8697,,,0.4483,13.0,0.684,,,,,,,,,,,
s0_fit_015,cgt_s0_r_kl_fit_015,"S0, joint fitness 0.1",0.001,30,2,3365kdbb,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/3365kdbb,finished,30,30,True,False,29.0,0.4311,20,0.9204,,0,,0.4235,0.9254,0.8651,,,0.4467,12.0,0.6832,,,,,,,,,,,
s0_fit_015,cgt_s0_r_kl_fit_015,"S0, joint fitness 0.1",0.001,30,3,sc24xxnx,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/sc24xxnx,finished,30,30,True,False,29.0,0.4403,20,0.9201,,0,,0.4356,0.9244,0.8476,,,0.4525,11.0,0.6782,,,,,,,,,,,
s0_ctrl_013,cgt_s0_r_kl_ctrl_013,"S0 control, no fitness head",0.001,30,1,6dvbzy8w,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/6dvbzy8w,finished,30,30,True,False,29.0,0.4381,20,,,0,,0.4292,,0.8527,,,0.4498,16.0,0.6338,,,,,,,,,,,
s0_ctrl_013,cgt_s0_r_kl_ctrl_013,"S0 control, no fitness head",0.001,30,2,ppm9kl4w,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/ppm9kl4w,finished,30,30,True,False,29.0,0.4364,20,,,0,,0.4378,,0.8566,,,0.4471,12.0,0.6336,,,,,,,,,,,
s0_ctrl_013,cgt_s0_r_kl_ctrl_013,"S0 control, no fitness head",0.001,30,3,22u65gax,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/22u65gax,finished,30,30,True,False,29.0,0.4412,20,,,0,,0.4304,,0.8671,,,0.4548,14.0,0.6409,,,,,,,,,,,
s0_ctrl_013,cgt_s0_r_kl_ctrl_013,"S0 control, no fitness head",0.001,30,42,98yvinas,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/98yvinas,crashed,26,25,False,True,24.0,,15,,,0,,0.4384,,0.8178,,,0.445,12.0,0.5488,,,,,,,,,,,
s0_ctrl_013,cgt_s0_r_kl_ctrl_013,"S0 control, no fitness head",0.001,30,43,d0dubbdn,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/d0dubbdn,crashed,25,24,False,True,23.0,,14,,,0,,0.4428,,0.8339,,,0.4511,16.0,0.5465,,,,,,,,,,,
s0_lambda0,cgt_s0_r_kl_ctrl_013,"S0 control, graph reg lambda 0",0.0,30,1,776b7nc2,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/776b7nc2,failed,0,0,False,True,,,0,,,0,,,,,,,,,,,,,,,,,,,,
s0_lambda0,cgt_s0_r_kl_ctrl_013,"S0 control, graph reg lambda 0",0.0,30,2,4vgeyw2i,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/4vgeyw2i,finished,30,30,True,False,29.0,0.4326,20,,,0,,0.4248,,0.8595,,,0.446,15.0,0.6283,,,,,,,,,,,
s0_lambda0,cgt_s0_r_kl_ctrl_013,"S0 control, graph reg lambda 0",0.0,30,3,mmiydyws,https://wandb.ai/zhao-group/torchcell_025-solid-growth_equivariant_cell_graph_transformer/runs/mmiydyws,finished,30,30,True,False,29.0,0.4378,20,,,0,,0.4253,,0.8805,,,0.4493,16.0,0.6191,,,,,,,,,,,
