arm,model,alpha,split,pearson,spearman,mse,rmse,seed
R,B0_train_mean,,val,0.0,0.0,0.003960211285692765,0.06293020964284773,
R,B0_train_mean,,test,0.0,0.0,0.004123658169267054,0.06421571590558696,
R,B1_additive_gene,30.0,train,0.40121934484996713,0.4051933493789506,0.0033518841758919536,0.05789545902652429,
R,B1_additive_gene,30.0,val,0.40095898529668833,0.40404109069019295,0.0033218576813778774,0.05763555917467859,
R,B1_additive_gene,30.0,test,0.4003985938982024,0.40594740622805314,0.0034603186146286175,0.05882447292265879,
R,B2_additive_plus_pair,30.0,train,0.407578619759276,0.41359304366096705,0.003330747437150599,0.057712628056176746,
R,B2_additive_plus_pair,30.0,val,0.4081941303100228,0.41106371890900395,0.003298603610680364,0.057433471170393005,
R,B2_additive_plus_pair,30.0,test,0.4056615095787174,0.41153521314245983,0.003442371726173372,0.058671728508485003,
R,B4_query_pair_only,0.01,train,0.38035579560832844,0.34785672658470007,0.0034149053587429028,0.058437191571317854,
R,B4_query_pair_only,0.01,val,0.3930523078873207,0.3681317889874203,0.003346962872822247,0.05785294178192019,
R,B4_query_pair_only,0.01,test,0.3900994117552536,0.36243270601832395,0.0034931882248420854,0.05910319978513926,
R,B3_hierarchical_mean,,val,0.3930515618613919,0.3681317889874203,0.0033469671383882524,0.0578529786475014,
R,B3_hierarchical_mean,,test,0.39009834061394316,0.36243270601832395,0.0034931917663773185,0.059103229745736556,
R,B5_gene_embedding_mlp,,train,0.5840269556987837,0.5079825445668606,0.0026329446422106223,0.05131222702446876,0.0
R,B5_gene_embedding_mlp,,val,0.4298539890016742,0.41736573900081686,0.003326489861571487,0.057675730264743826,0.0
R,B5_gene_embedding_mlp,,test,0.4379149119018029,0.4212276560186656,0.0034018883632876942,0.05832570928233702,0.0
R,B5_gene_embedding_mlp,,train,0.5285851792533709,0.4810790428805941,0.002879938912089209,0.05366506230397212,1.0
R,B5_gene_embedding_mlp,,val,0.4293677816885668,0.41903614388569543,0.00327714268951671,0.05724633341548356,1.0
R,B5_gene_embedding_mlp,,test,0.4313570771627165,0.4218941633174666,0.003395894498367257,0.058274303928637854,1.0
R,B5_gene_embedding_mlp,,train,0.5083724229410038,0.47035747131724237,0.0029712429088583747,0.05450910849443765,2.0
R,B5_gene_embedding_mlp,,val,0.43177313716733984,0.420689526017638,0.0032303396877695835,0.056836077343264846,2.0
R,B5_gene_embedding_mlp,,test,0.42744618761102665,0.42313744257267405,0.003375575054007605,0.05809969925918382,2.0
Q,B0_train_mean,,val,0.0,0.0,0.003913819092244371,0.06256052343326717,
Q,B0_train_mean,,test,0.0,0.0,0.00357150149635067,0.059762040597277716,
Q,B1_additive_gene,30.0,train,0.40527289448241555,0.40899508707230536,0.0034012337568390194,0.058320097366508394,
Q,B1_additive_gene,30.0,val,0.1499473668029666,0.15351136260262346,0.003853142855353386,0.06207368891368859,
Q,B1_additive_gene,30.0,test,0.18530589019381333,0.16465133637132526,0.003582810549467738,0.059856583175685346,
Q,B2_additive_plus_pair,30.0,train,0.41072466850295164,0.416113066162124,0.0033826306817782248,0.05816038756557787,
Q,B2_additive_plus_pair,30.0,val,0.14420569668310596,0.1472269172269306,0.0038446940808281845,0.06200559717338576,
Q,B2_additive_plus_pair,30.0,test,0.1800017433823052,0.15935167797643127,0.003506265824300049,0.05921373003197864,
Q,B4_query_pair_only,0.01,train,0.38228062684890823,0.348655218120659,0.0034730232119356474,0.058932361330050635,
Q,B4_query_pair_only,0.01,val,0.0,0.0,0.003913819092244371,0.06256052343326717,
Q,B4_query_pair_only,0.01,test,0.0,0.0,0.00357150149635067,0.059762040597277716,
Q,B3_hierarchical_mean,,val,0.12864118297281837,0.11905771393105903,0.0038971507108414493,0.06242716324518879,
Q,B3_hierarchical_mean,,test,0.14199072196008145,0.12326175363965657,0.003500358371685397,0.05916382654701602,
Q,B5_gene_embedding_mlp,,train,0.44407343078859124,0.42730875890407827,0.003269131848404975,0.057176322445615324,0.0
Q,B5_gene_embedding_mlp,,val,0.1535212066616165,0.13772592141171902,0.004085162527292874,0.06391527616534934,0.0
Q,B5_gene_embedding_mlp,,test,0.13802185196247116,0.10812042750901452,0.003914466937953962,0.0625657009706913,0.0
Q,B5_gene_embedding_mlp,,train,0.4687179889413753,0.4464043031247828,0.003179748886148212,0.05638926215289762,1.0
Q,B5_gene_embedding_mlp,,val,0.15197362142762338,0.1247612902250291,0.004300980224665745,0.06558185896012513,1.0
Q,B5_gene_embedding_mlp,,test,0.14913786186652345,0.10838789685404249,0.0043160946106468034,0.06569699087969558,1.0
Q,B5_gene_embedding_mlp,,train,0.4506142958740657,0.4356735041794831,0.003241816380859783,0.05693695092696643,2.0
Q,B5_gene_embedding_mlp,,val,0.16631225877995953,0.13500144763921695,0.004181183910811499,0.06466207474873892,2.0
Q,B5_gene_embedding_mlp,,test,0.13682896545441967,0.10005310037836537,0.004265011628883045,0.06530705650144587,2.0
