order,fit_src,n
1,SmfCostanzo2016Dataset,3193
1,SmfCostanzo2016Dataset+SmfKuzmin2018Dataset,1111
1,GeneEssentialitySgdDataset+SmfCostanzo2016Dataset,673
1,GeneEssentialitySgdDataset+SmfCostanzo2016Dataset+SmfKuzmin2018Dataset,234
1,GeneEssentialitySgdDataset,233
1,SmfCostanzo2016Dataset+SmfKuzmin2020Dataset,185
1,SmfCostanzo2016Dataset+SmfKuzmin2018Dataset+SmfKuzmin2020Dataset,41
1,SmfKuzmin2018Dataset,12
1,SmfKuzmin2020Dataset,9
1,SmfCostanzo2016Dataset+SynthLethalityYeastSynthLethDbDataset,2
1,SmfCostanzo2016Dataset+SmfKuzmin2018Dataset+SynthLethalityYeastSynthLethDbDataset,1
2,DmfCostanzo2016Dataset+DmfKuzmin2020Dataset,514325
2,DmfCostanzo2016Dataset+DmfKuzmin2018Dataset,166377
2,DmfKuzmin2020Dataset,37148
2,DmfCostanzo2016Dataset+DmfKuzmin2018Dataset+DmfKuzmin2020Dataset,14791
2,DmfKuzmin2018Dataset,5358
2,DmfCostanzo2016Dataset+DmfKuzmin2020Dataset+SynthLethalityYeastSynthLethDbDataset,351
2,DmfKuzmin2018Dataset+DmfKuzmin2020Dataset,321
2,DmfCostanzo2016Dataset+DmfKuzmin2018Dataset+SynthLethalityYeastSynthLethDbDataset,277
2,DmfCostanzo2016Dataset,208
2,DmfCostanzo2016Dataset+DmfKuzmin2018Dataset+DmfKuzmin2020Dataset+SynthLethalityYeastSynthLethDbDataset,31
2,DmfCostanzo2016Dataset+SynthLethalityYeastSynthLethDbDataset,17
2,DmfKuzmin2020Dataset+SynthLethalityYeastSynthLethDbDataset,8
2,DmfKuzmin2018Dataset+SynthLethalityYeastSynthLethDbDataset,5
2,SynthLethalityYeastSynthLethDbDataset,2
3,TmfKuzmin2020Dataset,285682
3,TmfKuzmin2018Dataset,90567
3,TmfKuzmin2018Dataset+TmfKuzmin2020Dataset,483
