dataset,compound,inchikey,dose_value,dose_unit,dose_basis,solvent,physical,temperature_c,duration_generations,duration_hours,media_name,aerobicity,screen_id,records,genes,response_median
vanacloig2022,syringaldehyde,KCDXJAYRVLXPFO-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3514,3514,-0.06261444742341149
vanacloig2022,acetovanillone,DFYRUELUNQRZTB-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3510,3510,-0.026677433138462863
vanacloig2022,p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3510,3510,-0.06406708813028894
vanacloig2022,4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3510,3510,0.0016646079248001655
vanacloig2022,sodium acetate,VMHLLURERBWHNL-UHFFFAOYSA-M,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3510,3510,-0.01819493152618149
vanacloig2022,nonylacridine orange,DRBHTUDHPPBMCD-UHFFFAOYSA-M,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3507,3507,-0.40766488326181555
vanacloig2022,4'-hydroxyacetophenone,TXFPEBPIARQUIG-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3507,3507,-0.037419466453602425
vanacloig2022,vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3506,3506,-0.02994989009506721
vanacloig2022,"2,6-dimethylpyrazine",HJFZAYHYIWGLNL-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3505,3505,-0.07391391545182768
vanacloig2022,cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3505,3505,0.008971817210823888
vanacloig2022,5-(hydroxymethyl)furfural,NOEGNKMFWQHSLB-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3505,3505,-0.005959430914053598
vanacloig2022,syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3501,3501,-0.09800486365488403
vanacloig2022,4-methylimidazole,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3501,3501,-0.006563849131091241
vanacloig2022,ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3500,3500,-0.08460898031377426
vanacloig2022,caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3499,3499,-0.03729590274626441
vanacloig2022,acetosyringone,OJOBTAOGJIWAGB-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3498,3498,-0.16315417045431974
vanacloig2022,azelaic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3497,3497,0.0001232241168818149
vanacloig2022,myclobutanil,HZJKXKUJVSEEFU-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3496,3496,-0.03984025437542889
vanacloig2022,sinapic acid,PCMORTLOPMLEFB-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3495,3495,-0.029118758915521365
vanacloig2022,furfural,HYBBIBNJHNGZAN-UHFFFAOYSA-N,,,IC30,,pH=5.0pH[hydrochloric acid],30.0,6.5,48.0,"SynBase (SynH3- minus acetamide/sodium acetate/cellobiose, MSG for ammonium sulfate)",anaerobic,,3494,3494,-0.04525962894068307
