vanacloig,hillenmeyer,n_genes,spearman,rank_of_true_match,n_partner_conditions,best_match,best_rho,hits_each,hit_overlap,hit_overlap_expected,odds_ratio,fisher_p
benomyl,benomyl,3428,-0.006799941261089033,88,140,potassium metabisulfite,0.10227769116969826,172,16,8.630105017502917,2.0381328073635765,0.011245090525939886
methyl methanesulfonate,methyl methanesulfonate,3426,0.13176289237864205,3,140,4-nitroquinoline 1-oxide,0.14801323528424642,172,39,8.635143023934617,6.8810560235174405,8.842063635094233e-17
sodium acetate,acetic acid,3256,-0.026726577171807566,121,140,sodium fluoride,0.08674745451684865,163,4,8.160012285012286,0.46422214311142757,0.9684433780922441
