inchikey,compound,a,b,a_records,a_doses,a_genes,b_records,b_doses,b_genes
MBABOKRGFJTBAE-UHFFFAOYSA-N,methyl methanesulfonate,Vanacloig 2022,Hillenmeyer 2008 HOM,3489,fixed,3489,17658,0.002 percent_v/v; 0.004 percent_v/v,4638
RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,Vanacloig 2022,Hillenmeyer 2008 HOM,3492,10.0 ug/mL,3492,9093,10.0 ug/mL,4636
KSEBMYQBYZTDHS-HWKANZROSA-N,ferulic acid,Vanacloig 2022,Hillenmeyer 2008 HET,3500,IC30,3500,5704,3.95 uM,5704
RIOXQFHNBCKOKP-UHFFFAOYSA-N,benomyl,Vanacloig 2022,Hillenmeyer 2008 HET,3492,10.0 ug/mL,3492,28625,13.8 uM; 2.4 uM; 27.6 uM; 3.4 uM; 6.9 uM,5753
