vanacloig,best,best_rho,second,second_rho
myclobutanil,"phosphine sulfide, tris(4-methylphenyl)-",0.18330789547089602,basifungin,0.15384276469914732
furfural,"phosphine sulfide, tris(4-methylphenyl)-",0.1434076745647766,basifungin,0.09304670142803109
sodium glyoxylate,"phosphine sulfide, tris(4-methylphenyl)-",0.1268580554995065,dimercaprol,0.11761645629826195
sodium butyrate,nocodazole,0.12489291158898803,amitriptyline hydrochloride,0.1095245835892666
ethanol,basifungin,0.11524188612288215,"phosphine sulfide, tris(4-methylphenyl)-",0.10767929758767442
benomyl,nocodazole,0.10842718530295499,"phosphine sulfide, tris(4-methylphenyl)-",0.05996933425332398
isobutanol,basifungin,0.10443945557790821,"phosphine sulfide, tris(4-methylphenyl)-",0.09181715782120627
"2,2'-bipyridine",dimercaprol,0.10246126246920959,"phosphine sulfide, tris(4-methylphenyl)-",0.09956726407897326
p-coumaric acid,potassium metabisulfite,0.10141701102799087,damnacanthal,0.0749966276832693
2-methylimidazole,"2-methyl-6-phenylimidazo[2,1-b]-1,3,4-selenadiazole",0.1010439780490948,zinc chloride,0.08974464920923365
benzoic acid,adenophostin a,0.10103924137966416,berberine chloride,0.08090121933761019
1-butyl-3-methylimidazolium chloride,amitriptyline hydrochloride,0.09799116106184691,nocodazole,0.09552255339836373
caffeic acid,dyclonine,0.09733435975816379,chlorambucil,0.09533098721983405
4'-hydroxyacetophenone,anisomycin,0.09679603214338323,amphotericin b|flucytosine,0.09008294722277045
acetosyringone,berberine chloride,0.09419772373272782,9-aminoacridine,0.09086102633706662
sinapic acid,progesterone,0.09031432420458076,dyclonine,0.08013568642182523
vanillic acid,chlorambucil,0.088730810789822,basifungin,0.08400536538571178
4-hydroxybenzoic acid,streptovitacin a,0.08546293441659406,aclarubicin,0.06941442459825826
"2-propenamide, 3-(4-hydroxyphenyl)-, (2e)-",thimerosal,0.08423555098046873,1-methyl-4-phenylpyridinium,0.08296046865399653
nonylacridine orange,flucytosine|ketoconazole,0.08389509330060664,npc216413,0.08250631433412685
levulinic acid,basifungin,0.08379737161554926,fenpropimorph,0.05283122476360605
4-hydroxybenzaldehyde,juglone,0.08369307995087936,T=23.0,0.07322102171678165
methyl methanesulfonate,dyclonine,0.07994474411977287,5-chloro-8-hydroxyquinoline,0.06941173197642533
azelaic acid,coralyne,0.07944632512214755,lithium chloride,0.07095369883588104
ferulamide,tunicamycin,0.07887658361746037,T=37.0,0.0780002942575833
"2,4-dimethylimidazole",T=20.0,0.07554602655769223,amitriptyline hydrochloride,0.07095612290140417
methylglyoxal,nocodazole,0.07418894929849215,"phosphine sulfide, tris(4-methylphenyl)-",0.0585151665532466
crystal violet,itraconazole,0.07285829305847133,solasodine,0.07256893245749944
gamma-valerolactone,basifungin,0.07015497776012672,"phosphine sulfide, tris(4-methylphenyl)-",0.068165925304891
syringic acid,5-fluorouracil,0.06948507431987778,adenophostin a,0.05791820641629756
vanillin,caspofungin,0.06914573290206322,paraquat,0.06395886138629796
acetamide,"3-{[(e)-(2,3-dichlorophenyl)methylidene]amino}benzonitrile",0.06825031380332992,staurosporine,0.0654627322603406
acetovanillone,9-aminoacridine,0.06623210315911433,caracemide,0.06428582778002233
ferulic acid,atorvastatin,0.0654586877308238,alverine citrate,0.06406434088044145
1-ethyl-3-methylimidazolium chloride,flucytosine|ketoconazole,0.06520751503451881,mefenamic acid,0.051677227093911
sodium acetate,azane;dichloroplatinum,0.06365363185096842,trifluoperazine hydrochloride,0.06276339269829827
cinnamic acid,mechlorethamine,0.06304708727386638,trichostatin a,0.06217397878795948
"2,6-dimethylpyrazine",adenophostin a,0.0600037474605647,tacrolimus|sodium chloride,0.05482508235044242
4-methylimidazole,aclarubicin,0.059741481617687886,trichostatin a,0.058663537524337867
syringaldehyde,atorvastatin,0.055306806962983186,5-fluorouracil,0.05511352708128788
5-(hydroxymethyl)furfural,bouvardin,0.05069692707853516,bostrycoidin,0.050083847850062806
