encoder,partner,n_vanacloig,n_partner,nn_similarity_median,n_exact,n_vanacloig_with_neighbor_above_0.5,n_pairs,chem_vs_response_spearman,chem_vs_response_p,top_decile_response_rho,rest_response_rho,top_vs_rest_mannwhitney_p
chemberta2_mlm,hom,41,114,0.8535119056222288,2,41,4674,0.06381310014885948,1.2655892877352568e-05,0.018728276332626602,0.0110871781344347,0.00013770540006145048
chemberta2_mtr,hom,41,114,0.9270770294101639,2,41,4674,0.05371471293885237,0.00023881491073032046,0.0146887268082699,0.01135476260714095,0.06609377401153291
ecfp4_bit,hom,41,114,0.3333333333333333,2,7,4674,0.08858212420834324,1.3083192124339571e-09,0.0113556787596437,0.0115626026861577,0.41778979531681004
ecfp4_count,hom,41,114,0.3269230769230769,2,3,4674,0.07981669420955737,4.653661030145292e-08,0.0138142838156653,0.01145080932587125,0.051756437254235774
fcfp4_count,hom,41,114,0.3924050632911392,2,8,4674,0.03779796897847737,0.00975618486476026,0.0097349382189506,0.0116943463711299,0.7784047160106741
maccs,hom,41,114,0.5454545454545454,2,30,4674,0.040686018053552715,0.005402920481027192,0.0137677406849192,0.0113194165619736,0.05246121933363993
mol2vec,hom,41,114,0.9498778992656253,2,41,4674,0.07816071237275038,8.778735325389278e-08,0.019552617433697,0.0109546943809397,5.445297816847632e-06
mole_static,hom,41,114,0.9096013809234793,2,41,4674,0.008400012873863242,0.5658748689716211,0.011385634583865399,0.011560229662964251,0.7593643212777191
molformer_xl,hom,41,114,0.806983570176501,2,41,4674,0.07874427310742625,7.029544992201088e-08,0.0218752212482098,0.0109768191268116,4.28368354071151e-07
rdkit_2d,hom,41,114,0.7102763234942455,2,38,4674,0.016058198375939428,0.2723693676534972,0.01245207923234465,0.0114092391071535,0.12098155966987778
roberta_zinc_480m,hom,41,114,0.8277527234137433,2,41,4674,-0.0279978163271854,0.055622666011685855,0.0093097776358664,0.011734160828354951,0.9247834350138238
unimol_v1,hom,41,103,0.8962132662387308,2,41,4223,0.04193849186619816,0.00641557548373778,0.0116035468258613,0.0112400744255521,0.39485655146818854
chemberta2_mlm,het,41,290,0.8535119056222293,2,41,11890,0.03725869744587056,4.829681957215797e-05,0.0054208252276254,0.0018194006351312,4.129154471403844e-05
chemberta2_mtr,het,41,290,0.9417145498653751,2,41,11890,0.031200829156071294,0.0006673597822440288,0.0047832280505153,0.0019208641575091,0.0337299893797769
ecfp4_bit,het,41,290,0.3333333333333333,2,11,11890,0.013521429428707495,0.14039913815576024,0.0029158833257884,0.0020569573942413,0.27257563600743817
ecfp4_count,het,41,290,0.31666666666666665,2,11,11890,0.03290319240551073,0.00033271301209075916,0.004308423190908199,0.0019228938793719999,0.02448876203528337
fcfp4_count,het,41,290,0.4375,2,15,11890,0.03853964418033405,2.6278227589895475e-05,0.0051446630642448,0.0017758381677454,0.0001072105305454584
maccs,het,41,290,0.6,2,33,11890,0.001625522564617793,0.8593273098871819,0.0025159963195532003,0.00210988729605425,0.18327175645336058
mol2vec,het,41,290,0.9395296300401421,2,41,11890,0.015161718771939536,0.09829538134107249,0.002703003208231,0.0020808290216359,0.27459150388883347
mole_static,het,41,290,0.9262543133448241,2,41,11890,-0.0053632267360118014,0.5587119212430038,0.0018178651805718,0.0021667514673486,0.5199769552790553
molformer_xl,het,41,290,0.8242419554724756,2,40,11890,0.04023267242815414,1.1422048376190935e-05,0.0061418215165738,0.0015846375569006,6.152720242084317e-08
rdkit_2d,het,41,290,0.724899985551352,2,39,11890,0.03640332019273535,7.176318879823244e-05,0.0045656861011845,0.0019153703620846,0.001449191718680526
roberta_zinc_480m,het,41,290,0.8517440781302318,2,41,11890,0.011479437643184735,0.2107002811372566,0.0030103892690108,0.0020446530799335,0.16862530105833384
unimol_v1,het,41,283,0.9023283539952438,2,41,11603,0.033233461526484195,0.00034304311546526735,0.0037865397517649,0.0017381084329452,0.0035016121932717947
