condition,n_genes,records_per_gene,n_samples_mean,frac_with_se,se_median,response_sd,reliability,ceiling_r_truth,ceiling_r_replicate,n_raw_labels,n_replicates,replicate_rho,hit_jaccard
"(1r,6s)-3-hydroxy-4-methyl-7-oxabicyclo(4.1.0)hept-3-ene-2,5-dione",4093,1.0,1.0,0.0,,1.2909787578724883,,,,,,,
"(2s)-2-benzyl-4-(2,5-dimethylanilino)-4-oxobutanoic acid",4093,1.0,1.0,0.0,,1.0860106992650875,,,,,,,
"(9r)-9-phenyl-5,6,7,9-tetrahydro-4h-[1,2,4]triazolo[5,1-b]quinazolin-8-one",4093,1.0,1.0,0.0,,1.0466301308293189,,,,,,,
"1,3-bis(o-tolyl)thiourea",4093,1.0,1.0,0.0,,1.045036351855079,,,,,,,
"1,7-octadiene",4093,1.0,1.0,0.0,,3.155735006369159,,,,,,,
"1,8-nonadiene",4093,2.0,1.0,0.0,,4.396987622797802,,,,1.0,2.0,0.03331184086746427,0.04020100502512563
1-methyl-4-phenylpyridinium,4093,1.0,2.0,1.0,0.43901209999999996,1.7084212966396997,0.5373753862796202,0.7330589241524996,0.5373753862796202,1.0,2.0,0.3090538330185758,0.1794871794871795
"2,4-dimethylphenylacetonitrile",4093,1.0,1.0,0.0,,1.462221675337547,,,,,,,
2-(3-methoxypropylamino)-n-[4-(trifluoromethoxy)phenyl]acetamide,4093,1.0,1.0,0.0,,0.9754335922291032,,,,,,,
2-cyanoethyl acrylate,4629,1.0,1.0,0.0,,1.1140126866135067,,,,,,,
2-demethylthiocolchicine formate,4093,1.0,1.0,0.0,,1.0493195624720122,,,,,,,
"2-methyl-6-phenylimidazo[2,1-b]-1,3,4-selenadiazole",4093,1.0,1.0,0.0,,1.5534811810031421,,,,,,,
"2h-indol-2-one, 3-(1,3-dihydro-3-oxo-2h-indol-2-ylidene)-1,3-dihydro-",4093,1.0,1.0,0.0,,1.2647567722570694,,,,,,,
"3,6-diamino-10-methylacridinium chloride",4084,1.0,3.0,1.0,0.41398886912843563,1.6187118380895895,0.8426151307989123,0.9179407011342902,0.8426151307989123,1.0,3.0,0.5131187400208256,0.26425557194362503
"3,6-dibromo-alpha-((dimethylamino)methyl)-9h-carbazole-9-ethanol",4093,2.0,1.0,0.0,,4.465201871721439,,,,1.0,2.0,0.22436210987516528,0.14681440443213298
4-nitroquinoline 1-oxide,4629,1.0,2.0,1.0,0.29551099999999997,1.6337910103668276,0.9038148959689835,0.950691798622973,0.9038148959689835,1.0,2.0,0.5317653569421797,0.3183098591549296
5-fluorouracil,4419,7.59764652636343,1.0,0.0,,1.2357626856307868,,,,1.0,8.0,0.3642278179707622,0.15108362225113678
"7,7-dimethyl-2-(4-methylphenyl)-6,7,8,9-tetrahydro-1,2,4-triazolo[5,1-b]benzot hiazol-5-one",4093,1.0,1.0,0.0,,0.905829956043891,,,,,,,
"7-methoxy-2,5-dimethyl-1,2,3,4-tetrahydropyrimido[3,4-a]-indole",4093,1.0,1.0,0.0,,1.6945539243077257,,,,,,,
