dataset,raw_label,condition,n_replicates,replicate_rho,hit_jaccard,n_pairs
hillenmeyer2008_hom,cantharidin analog,cantharidin analog,4,0.28635281982860245,0.1534035477788239,6
hillenmeyer2008_hom,carboplatin,"platinum(ii),1-cyclobutanedicarboxylato)diammine-, cis-",6,0.2090414899113904,0.07385255610939685,15
hillenmeyer2008_hom,caspofungin,caspofungin,2,0.7416326640466261,0.21407624633431085,1
hillenmeyer2008_hom,chemical diversity labs 1c10,chemical diversity labs 1c10,2,0.3360636319367106,0.12195121951219512,1
hillenmeyer2008_hom,chlorambucil,chlorambucil,4,0.142254284197509,0.05995225076099269,6
hillenmeyer2008_hom,cisplatin,azane;dichloroplatinum,21,0.2728370680399869,0.12657892867395293,210
hillenmeyer2008_hom,clotrimazole,clotrimazole,2,0.2897778328530336,0.078125,1
hillenmeyer2008_hom,cuso4,copper sulfate,2,0.3852588531658133,0.35570469798657717,1
hillenmeyer2008_hom,dmaec,DMAEC,2,0.5454616517065869,0.4625,1
hillenmeyer2008_hom,fecl4,FeCl4,2,0.0015020968356909716,0.038560411311053984,1
hillenmeyer2008_hom,fk506,tacrolimus,7,0.3163018851371526,0.23177462499899568,21
hillenmeyer2008_hom,floxuridine,floxuridine,2,0.5784736795932813,0.1694915254237288,1
hillenmeyer2008_hom,hydroxyurea,hydroxyurea,7,0.22780397115820974,0.17547474633757493,21
hillenmeyer2008_hom,hygromycin,hygromycin,2,0.20466692604127712,0.078125,1
hillenmeyer2008_hom,l-dopa,levodopa,2,0.06928449458620647,0.042821158690176324,1
hillenmeyer2008_hom,latrunculin,latrunculin,7,0.3866636667617024,0.30363193119845056,21
hillenmeyer2008_hom,licl,lithium chloride,5,0.4764012021081044,0.3676874259246604,10
hillenmeyer2008_hom,lovastatin,lovastatin,2,0.6133129933917396,0.35737704918032787,1
hillenmeyer2008_hom,lysine dropout,lysine dropout,5,0.5384231007722684,0.2447273793474487,10
hillenmeyer2008_hom,mechlorethamine,mechlorethamine,21,0.2455415441941055,0.1753632608934285,210
hillenmeyer2008_hom,melphalan,melphalan,3,0.07133619789215791,0.08886065480435579,3
hillenmeyer2008_hom,methotrexate,methotrexate,4,0.3630201174655368,0.1901468909168785,6
hillenmeyer2008_hom,methoxsalen,8-methoxypsoralen,2,0.8151303162846084,0.35737704918032787,1
hillenmeyer2008_hom,miconazole,miconazole,5,0.3685870368652222,0.33125359781035746,10
hillenmeyer2008_hom,minimal media,minimal media,4,0.5005556316029505,0.38262047400093085,6
hillenmeyer2008_hom,mitomycin c,mitomycin c,9,0.426969505747127,0.23501182786554187,36
hillenmeyer2008_hom,mms,methyl methanesulfonate,6,0.3714848757410724,0.16624311144906717,15
hillenmeyer2008_hom,mncl2,manganese (ii) chloride,4,0.7389560079015438,0.5395832909904178,6
hillenmeyer2008_hom,mpp+,1-methyl-4-phenylpyridinium,2,0.3090538330185758,0.1794871794871795,1
hillenmeyer2008_hom,nacl,sodium chloride,5,0.477999256993803,0.46656593630930077,10
