dataset,records,n_samples_1,n_samples_ge3,frac_with_se,se_median,response_sd,conditions,reliability_median,reliability_q25,ceiling_r_truth_median,conditions_no_signal,raw_conditions_with_replicates,replicate_rho_median,hit_jaccard_median,index_vs_replicate_rho,unjoined_raw_labels
vanacloig2022,143218,0.0,1.0,1.0,0.13816320575530944,0.6994306446976587,41,0.7026500029931609,0.3699329222731583,0.8382422102191949,3,41,0.3333196316680167,0.23685023667525598,0.8712543554006971,0
hillenmeyer2008_hom,1088620,0.6533188807848469,0.10376715474637614,0.34668020062096966,0.34396130237871236,3.5287541667818543,140,0.9194921738734343,0.8036582207090519,0.9589007921799106,0,78,0.38596125996375785,0.2030834077214022,0.3955465587044535,23
hillenmeyer2008_het,2698797,0.7573311367990998,0.06958433702127281,0.24266849266543575,0.09586898456052755,0.4391031324698318,308,0.8449704742892797,0.6678424110420692,0.9192226924308292,2,108,0.25501917814816,0.14633500979867467,0.42772987279091607,18
