run_id,cell_dataset.is_pert,cell_dataset.max_size,cell_dataset.aggregation,cell_dataset.node_embeddings,random_forest.max_depth,random_forest.n_estimators,random_forest.min_samples_split,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse,val_rmse,test_rmse,fold_1_val_r2,fold_1_train_r2,fold_2_val_r2,fold_2_train_r2,fold_3_val_r2,fold_3_train_r2,fold_4_val_r2,fold_4_train_r2,fold_5_val_r2,fold_5_train_r2,fold_1_val_pearson,fold_1_train_pearson,fold_2_val_pearson,fold_2_train_pearson,fold_3_val_pearson,fold_3_train_pearson,fold_4_val_pearson,fold_4_train_pearson,fold_5_val_pearson,fold_5_train_pearson,fold_1_val_spearman,fold_1_train_spearman,fold_2_val_spearman,fold_2_train_spearman,fold_3_val_spearman,fold_3_train_spearman,fold_4_val_spearman,fold_4_train_spearman,fold_5_val_spearman,fold_5_train_spearman,fold_1_val_mse,fold_1_train_mse,fold_2_val_mse,fold_2_train_mse,fold_3_val_mse,fold_3_train_mse,fold_4_val_mse,fold_4_train_mse,fold_5_val_mse,fold_5_train_mse,fold_1_val_mae,fold_1_train_mae,fold_2_val_mae,fold_2_train_mae,fold_3_val_mae,fold_3_train_mae,fold_4_val_mae,fold_4_train_mae,fold_5_val_mae,fold_5_train_mae,fold_1_val_rmse,fold_1_train_rmse,fold_2_val_rmse,fold_2_train_rmse,fold_3_val_rmse,fold_3_train_rmse,fold_4_val_rmse,fold_4_train_rmse,fold_5_val_rmse,fold_5_train_rmse,fold_val_r2_mean,fold_val_r2_std,fold_train_r2_mean,fold_train_r2_std,fold_val_pearson_mean,fold_val_pearson_std,fold_train_pearson_mean,fold_train_pearson_std,fold_val_spearman_mean,fold_val_spearman_std,fold_train_spearman_mean,fold_train_spearman_std,fold_val_mse_mean,fold_val_mse_std,fold_train_mse_mean,fold_train_mse_std,fold_val_mae_mean,fold_val_mae_std,fold_train_mae_mean,fold_train_mae_std,fold_val_rmse_mean,fold_val_rmse_std,fold_train_rmse_mean,fold_train_rmse_std
hry2u60w,True,100000,sum,['one_hot_gene'],5.0,100,5,3162.0,0.07352521547256974,0.06389863748323465,0.2713374005863791,0.2531395875135735,0.20504074513142545,0.1918856877134785,0.10700556806217422,0.1072095873214168,0.019928481449804716,0.019918755494187857,0.14116827352420486,0.14113382122718798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jajsdlem,True,100000,sum,['one_hot_gene'],5.0,100,2,3328.0,0.07391484367520196,0.06436994055005352,0.2720292143795541,0.25414701288362707,0.20737189703609163,0.19538501046471385,0.107001260794876,0.10720105382025712,0.0199201005434507,0.01990872691082335,0.14113858630243786,0.14109828812151956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n4qcjpv4,True,100000,sum,['one_hot_gene'],5.0,500,2,16548.0,0.07364570726755093,0.06418891081195988,0.2715601171513488,0.2537659599745451,0.2125146747731886,0.19821072310858012,0.10699310450219224,0.10719107119499686,0.01992588967014569,0.01991257893714726,0.141159093473094,0.1411119376138931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pguet6e6,True,100000,sum,['one_hot_gene'],5.0,200,5,6318.0,0.07399968195154705,0.06435907454291667,0.2722016082956135,0.2541276074602329,0.229781081361577,0.206577220209031,0.1069787874639965,0.10718536395780816,0.019918275671317525,0.019908958122258374,0.14113212133074995,0.14109910744671056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bzgzyhs8,True,100000,sum,['one_hot_gene'],5.0,500,5,15762.0,0.07357080691078366,0.06404960282139016,0.27142185462988955,0.2534681707372331,0.2276007261475957,0.21689844196353936,0.10700125569672296,0.10719981385726277,0.019927500777533982,0.01991554319071387,0.14116480006550494,0.14112244042218752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s0ul39vn,True,100000,sum,['one_hot_gene'],5.0,100,10,3130.0,0.07347447130189078,0.06401503720799817,0.2712519541841954,0.253382999793893,0.1997243548274705,0.18897368327194944,0.10700870832848028,0.10720416511495402,0.019929572957399905,0.019916278692262344,0.1411721394518051,0.1411250462967589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6gcemkf,True,100000,sum,['one_hot_gene'],10.0,200,2,24912.0,0.12532476969428896,0.11994369150209504,0.36046068848775986,0.35604069497972124,0.3150762989664737,0.29188659278953955,0.10448690382245893,0.1046480663535943,0.018814272544548614,0.018726205443134768,0.13716512874833972,0.13684372635650774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mxvbio5s,True,100000,sum,['one_hot_gene'],5.0,500,10,15730.0,0.0740653339543279,0.0645986321877654,0.2723084345304391,0.25463764239523307,0.24070769528116973,0.22141516087929652,0.10698753585874753,0.10718897776698534,0.01991686349611167,0.019903860714706616,0.1411271182165627,0.14108104307349947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po75xre0,True,100000,sum,['one_hot_gene'],5.0,200,10,6294.0,0.07343829945976299,0.06396407335581655,0.2711821444804811,0.2532727594954306,0.20500458701243235,0.1982857941210123,0.107009327555148,0.10720713515950785,0.019930351014068995,0.01991736312237995,0.1411748951268213,0.14112888833396212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrvc6vmu,True,100000,sum,['one_hot_gene'],10.0,100,2,12472.0,0.12558410375752804,0.12110239232743414,0.3609595755271403,0.35861369714543834,0.30751610160315795,0.28660959357397714,0.10443286261058682,0.10462669557708608,0.018808694266375405,0.01870155012336385,0.13714479307059166,0.13675361100667086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
