run_id,cell_dataset.is_pert,cell_dataset.max_size,cell_dataset.aggregation,cell_dataset.node_embeddings,random_forest.max_depth,random_forest.n_estimators,random_forest.min_samples_split,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse,val_rmse,test_rmse,fold_1_val_r2,fold_1_train_r2,fold_2_val_r2,fold_2_train_r2,fold_3_val_r2,fold_3_train_r2,fold_4_val_r2,fold_4_train_r2,fold_5_val_r2,fold_5_train_r2,fold_1_val_pearson,fold_1_train_pearson,fold_2_val_pearson,fold_2_train_pearson,fold_3_val_pearson,fold_3_train_pearson,fold_4_val_pearson,fold_4_train_pearson,fold_5_val_pearson,fold_5_train_pearson,fold_1_val_spearman,fold_1_train_spearman,fold_2_val_spearman,fold_2_train_spearman,fold_3_val_spearman,fold_3_train_spearman,fold_4_val_spearman,fold_4_train_spearman,fold_5_val_spearman,fold_5_train_spearman,fold_1_val_mse,fold_1_train_mse,fold_2_val_mse,fold_2_train_mse,fold_3_val_mse,fold_3_train_mse,fold_4_val_mse,fold_4_train_mse,fold_5_val_mse,fold_5_train_mse,fold_1_val_mae,fold_1_train_mae,fold_2_val_mae,fold_2_train_mae,fold_3_val_mae,fold_3_train_mae,fold_4_val_mae,fold_4_train_mae,fold_5_val_mae,fold_5_train_mae,fold_1_val_rmse,fold_1_train_rmse,fold_2_val_rmse,fold_2_train_rmse,fold_3_val_rmse,fold_3_train_rmse,fold_4_val_rmse,fold_4_train_rmse,fold_5_val_rmse,fold_5_train_rmse,fold_val_r2_mean,fold_val_r2_std,fold_train_r2_mean,fold_train_r2_std,fold_val_pearson_mean,fold_val_pearson_std,fold_train_pearson_mean,fold_train_pearson_std,fold_val_spearman_mean,fold_val_spearman_std,fold_train_spearman_mean,fold_train_spearman_std,fold_val_mse_mean,fold_val_mse_std,fold_train_mse_mean,fold_train_mse_std,fold_val_mae_mean,fold_val_mae_std,fold_train_mae_mean,fold_train_mae_std,fold_val_rmse_mean,fold_val_rmse_std,fold_train_rmse_mean,fold_train_rmse_std
gdaxdkcj,True,100000,mean,['one_hot_gene'],,500,5,46505882.0,0.7437166587300164,0.7470975920832409,0.8687575554200927,0.8707144173277455,0.8867696212419108,0.8861234254530854,0.0449760341377979,0.0454054091919469,0.0055126571145678,0.0053813629900523,0.074247270081585,0.0733577738896998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0vn7oj9m,True,100000,sum,['one_hot_gene'],,200,10,16810096.0,0.7368297611045187,0.7426158404400975,0.8661043354701901,0.8692685530774646,0.8832579371159217,0.8838768634114325,0.0458435359403673,0.0459490644854492,0.0056607943481639,0.005476727572073,0.0752382505655463,0.0740049158642388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f74k43db,True,100000,sum,['one_hot_gene'],,200,10,16804552.0,0.7365483452338513,0.742961195483471,0.8659117348856987,0.8694091988510754,0.8830659267784743,0.8838763878377437,0.0458489130104751,0.0459168961264505,0.0056668476062254,0.0054693789633186,0.0752784670820646,0.0739552497346781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g3rom7fg,True,100000,sum,['one_hot_gene'],,200,10,16802332.0,0.7364302703354407,0.7426551609976106,0.8659480714168488,0.8693660797228477,0.883114363283686,0.8839475136025597,0.0458649765871835,0.0459445970812987,0.0056693873984162,0.0054758908928389,0.0752953345063041,0.0739992627857804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dtimi0jq,True,100000,sum,['one_hot_gene'],,500,10,42020622.0,0.7363973233031031,0.7428710809905387,0.8659105246910908,0.8694599453974499,0.8830318725300325,0.8837934816080247,0.0458517668758832,0.0459477031098082,0.0056700960893959,0.0054712964571105,0.0753000404342254,0.0739682124774588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ddogijk,True,100000,sum,['one_hot_gene'],,100,10,8408900.0,0.7363603107680357,0.7429676333210922,0.8659097103572403,0.869516012427318,0.8830705970621044,0.8838104123513882,0.045887508077506,0.0459330655406276,0.0056708922293782,0.0054692419763227,0.0753053266998971,0.0739543235809965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6hgdzmht,True,100000,sum,['one_hot_gene'],,100,10,8404868.0,0.7361481379636352,0.743002583016696,0.8657267956623467,0.869451808879209,0.8828196445071055,0.8838983750112609,0.0458990306793455,0.0459500458035429,0.0056754560684241,0.0054684983021126,0.0753356228382304,0.0739492954808404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qrb32i16,True,100000,sum,['one_hot_gene'],,100,10,8403862.0,0.73580775672099,0.7422736947199517,0.8655500355139896,0.869119655518607,0.8826685136218497,0.8832017545267412,0.0459071294055156,0.0460134196286983,0.0056827776721992,0.0054840078915083,0.0753842004149357,0.0740540876083716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i7trm77q,False,100000,sum,['one_hot_gene'],,500,5,46811814.0,0.7338559607570925,0.7408565309265315,0.8649714294413995,0.8688034067504463,0.8815213026000066,0.8825571898749883,0.04620880851769,0.0462015303816188,0.0057247608219944,0.0055141628941893,0.0756621492028507,0.0742574096921604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8uv8egdw,True,100000,sum,['one_hot_gene'],,100,5,9365594.0,0.7338321155098189,0.7406145376166884,0.8648716488116948,0.8686440361797034,0.8816500489692304,0.8826062849301975,0.0462094161620653,0.0462646499828287,0.0057252737334906,0.0055193121288374,0.075665538612308,0.0742920731224903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
