run_id,cell_dataset.is_pert,cell_dataset.max_size,cell_dataset.aggregation,cell_dataset.node_embeddings,random_forest.max_depth,random_forest.n_estimators,random_forest.min_samples_split,num_params,test_pearson,test_mae,val_r2,test_r2,val_mae,test_mse,val_spearman,test_spearman,val_pearson,val_mse,val_rmse,test_rmse
m1wyf0xv,False,100000,mean,['one_hot_gene'],,500,5,46822034.0,0.8688650789999689,0.04621078270706155,0.7335410456310466,0.7409587062199114,0.04622494344257022,0.005511988765651711,0.8816353365350146,0.8825453169046313,0.8648234476666544,0.005731534649358642,0.0757068996152837,0.0742427691135757
gdaxdkcj,True,100000,mean,['one_hot_gene'],,500,5,46505882.0,0.8707144173277455,0.045405409191946945,0.7437166587300164,0.7470975920832409,0.04497603413779798,0.005381362990052333,0.8867696212419108,0.8861234254530854,0.8687575554200927,0.005512657114567836,0.07424727008158506,0.07335777388969988
i7trm77q,False,100000,sum,['one_hot_gene'],,500,5,46811814.0,0.8688034067504463,0.046201530381618894,0.7338559607570925,0.7408565309265315,0.04620880851769005,0.005514162894189362,0.8815213026000066,0.8825571898749883,0.8649714294413995,0.005724760821994446,0.07566214920285073,0.07425740969216044
gmblr0pg,True,100000,sum,['one_hot_gene'],,500,5,46807674.0,0.8687948444692678,0.046228965688796565,0.733667122760951,0.7407522194781697,0.0462330757208094,0.005516382476724288,0.8815502057741259,0.8823559477020755,0.8649288776257194,0.0057288227290921605,0.07568898684149604,0.07427235338081249
nhx70heq,False,100000,mean,['codon_frequency'],,500,5,2598344.0,0.27250736531753605,0.10614139304714548,0.07278903354072785,0.07403492021282798,0.106285682671314,0.01970307143966634,0.23770690116061188,0.23052754994146968,0.27054757717533856,0.01994431673017867,0.14122434892814578,0.14036762960051133
dpp4q3rv,True,100000,sum,['codon_frequency'],,500,5,19243788.0,0.6244978451549343,0.08549235783561125,0.3696609309687273,0.3661827887341561,0.08507079366562653,0.013486627158911165,0.6136660325723391,0.5972529831599442,0.627995782797503,0.013558599385610126,0.1164413989335843,0.11613193858242084
cyj5uwy1,True,100000,mean,['codon_frequency'],,500,5,19228512.0,0.6166103324042416,0.08766479609525987,0.33750048779446595,0.3432058704169494,0.08760947583174955,0.01397553961678847,0.605168319264196,0.5955616059446456,0.6112365506285921,0.014250370824962008,0.1193749170678749,0.11821818648917123
79frboot,False,100000,sum,['codon_frequency'],,500,5,19243158.0,0.6240889841999319,0.08556405247553517,0.36986527288481,0.3658116782830826,0.08502994790349801,0.01349452380198024,0.6151129063935789,0.5965871373760251,0.6285016607784659,0.01355420398904664,0.11642252354697798,0.11616593219175853
zc6tcnb8,True,100000,sum,['calm'],,500,5,18679388.0,0.6702243709310075,0.08242584420042735,0.4028400118012979,0.40265351033769736,0.0821310200064055,0.012710587922770723,0.6716705631439923,0.6634648900221225,0.6680973292413886,0.012844917040514553,0.11333541829681731,0.1127412432199092
huv9l25c,False,100000,sum,['calm'],,500,5,18674466.0,0.670352841185543,0.08238056572341497,0.4019405086219783,0.4028571902216175,0.08216134118686337,0.01270625393719038,0.6707585866142536,0.6644910133307016,0.6674071896212841,0.012864265362479142,0.11342074485066275,0.11272202064011441
8tir1l58,True,100000,mean,['calm'],,500,5,18685368.0,0.6487939838884466,0.08657434418748963,0.3618862143462037,0.35779996172975925,0.08592847047272574,0.013665000450668516,0.6535828737525816,0.6352365824929485,0.6518632946786931,0.01372583361429826,0.11715730286370654,0.11689739283092894
wqag95sn,False,100000,sum,['fudt_downstream'],,500,5,18701920.0,0.5918491708633198,0.09112128929508594,0.30661908116078473,0.3013336739589021,0.09094528396129592,0.014866513689307786,0.606258933696373,0.6053064884607868,0.5942672019472429,0.01491463017612946,0.12212546899041764,0.12192831373109277
