cell_dataset.is_pert,cell_dataset.max_size,cell_dataset.aggregation,cell_dataset.node_embeddings,random_forest.max_depth,random_forest.n_estimators,random_forest.min_samples_split,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse,val_rmse,test_rmse,fold_1_val_r2,fold_1_train_r2,fold_2_val_r2,fold_2_train_r2,fold_3_val_r2,fold_3_train_r2,fold_4_val_r2,fold_4_train_r2,fold_5_val_r2,fold_5_train_r2,fold_1_val_pearson,fold_1_train_pearson,fold_2_val_pearson,fold_2_train_pearson,fold_3_val_pearson,fold_3_train_pearson,fold_4_val_pearson,fold_4_train_pearson,fold_5_val_pearson,fold_5_train_pearson,fold_1_val_spearman,fold_1_train_spearman,fold_2_val_spearman,fold_2_train_spearman,fold_3_val_spearman,fold_3_train_spearman,fold_4_val_spearman,fold_4_train_spearman,fold_5_val_spearman,fold_5_train_spearman,fold_1_val_mse,fold_1_train_mse,fold_2_val_mse,fold_2_train_mse,fold_3_val_mse,fold_3_train_mse,fold_4_val_mse,fold_4_train_mse,fold_5_val_mse,fold_5_train_mse,fold_1_val_mae,fold_1_train_mae,fold_2_val_mae,fold_2_train_mae,fold_3_val_mae,fold_3_train_mae,fold_4_val_mae,fold_4_train_mae,fold_5_val_mae,fold_5_train_mae,fold_1_val_rmse,fold_1_train_rmse,fold_2_val_rmse,fold_2_train_rmse,fold_3_val_rmse,fold_3_train_rmse,fold_4_val_rmse,fold_4_train_rmse,fold_5_val_rmse,fold_5_train_rmse,fold_val_r2_mean,fold_val_r2_std,fold_train_r2_mean,fold_train_r2_std,fold_val_pearson_mean,fold_val_pearson_std,fold_train_pearson_mean,fold_train_pearson_std,fold_val_spearman_mean,fold_val_spearman_std,fold_train_spearman_mean,fold_train_spearman_std,fold_val_mse_mean,fold_val_mse_std,fold_train_mse_mean,fold_train_mse_std,fold_val_mae_mean,fold_val_mae_std,fold_train_mae_mean,fold_train_mae_std,fold_val_rmse_mean,fold_val_rmse_std,fold_train_rmse_mean,fold_train_rmse_std
False,1000,mean,['one_hot_gene'],,100,2,100786.0,0.4201986422231692,0.2611033613471353,0.6749475489355931,0.5894478361425768,0.6477352061595599,0.5761350099743966,0.0806038977388216,0.0823567243426749,0.0142629390401597,0.0172641759069984,0.1194275472416635,0.1313932110384644,0.2952341557396385,0.8895391531446912,0.319557252078601,0.8869217640086753,0.2622287519296854,0.8908591887840407,0.1035315769800628,0.9009420400538996,0.114240517139022,0.8961884615467096,0.5993733278453016,0.9719293180330106,0.6120406042635679,0.971170526830164,0.5594477644301696,0.9705581805356184,0.4681750141695752,0.972363608381779,0.4612593506579965,0.970576316192554,0.5687333892096199,0.971989435947636,0.5058086073683374,0.971510700611425,0.5098613130989854,0.9754347079143576,0.4330168849715276,0.9736488076479736,0.4566990025605467,0.9743752679608118,0.0140838527131874,0.0022623212350226,0.011551171761979,0.0023967817821216,0.0152652326503646,0.0022140661850365,0.0220716297339899,0.0019109153587886,0.0170751418424724,0.002144349451757,0.0819997517421841,0.0327206030964851,0.0797460117533803,0.0330231001242995,0.083274712331593,0.031813030045852,0.1003888723760843,0.0303211489442735,0.0869865813791752,0.0313884107492864,0.1186754090500112,0.0475638648032585,0.1074763776928637,0.0489569380386651,0.1235525501572695,0.0470538647194524,0.1485652372999484,0.0437140178751473,0.1306718861977298,0.0463071209616517,0.2189584507734019,0.1025909715480029,0.8928901215076033,0.005627775031521,0.5400592122733221,0.0715055193346841,0.9713195899946252,0.0008087278296216,0.4948238394418034,0.0526379499396223,0.9733917840164408,0.0016364515537732,0.0160094057403987,0.003937757973854,0.0021856868025453,0.0001791978228581,0.0864791859164833,0.0082068027170875,0.0318532585920393,0.0010823443913111,0.1257882920795645,0.0152770790772027,0.046719161279635,0.0019386760536434
True,1000,sum,['one_hot_gene'],,200,2,201756.0,0.4161885314858095,0.2691245309981835,0.6755072744422232,0.5941610832125311,0.6533585385266326,0.5644869878203803,0.0799021866963226,0.0822036243946228,0.0143615865583556,0.0170767628419071,0.1198398371091833,0.1306780886067254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1000,sum,['one_hot_gene'],,100,2,100796.0,0.4157647766851052,0.26362257038423,0.6728532596001915,0.5870017834450305,0.6481432484174882,0.5611095556540813,0.080909680216288,0.082414009258585,0.0143720107990189,0.0172053150789911,0.1198833216048795,0.1311690324695245,0.312469758901995,0.8889228217022848,0.3329575920161236,0.8923274779279053,0.2648707239089549,0.8970973951094836,0.0955343926597488,0.8972531641440717,0.1031209703659523,0.897898391020017,0.612824626018875,0.9727151534318136,0.6206474407807429,0.973765926594631,0.5562195609696451,0.9715439124638232,0.4563071219007641,0.9708398413558522,0.4589861949643954,0.971937121290514,0.5934889072824331,0.9741379441676876,0.5174535731675228,0.972651499776936,0.503502244083238,0.9747772026725502,0.4172460928499619,0.9764698503662468,0.4558490313567636,0.9758819506116506,0.0137394210152859,0.0022749441665831,0.0113236880702797,0.0022822034414941,0.0152105675803652,0.0020875158916443,0.0222685255606581,0.0019820770265293,0.0172894978183869,0.0021090288469065,0.0799036021128297,0.0325441199157387,0.0780600241497159,0.0324166422195732,0.0826034445136785,0.0315384138077497,0.1007400865375995,0.0303180395364761,0.0880911585435271,0.0312198746949434,0.117215276373372,0.0476963747740135,0.1064128191069088,0.0477724129754211,0.123331129810625,0.0456893411163294,0.1492264238017455,0.044520523655157,0.1314895350147186,0.045924164085006,0.2217906875705549,0.1145205417583296,0.8946998499807526,0.003921112900954,0.5409969889268845,0.0800519745752709,0.9721603910273268,0.0011246390990867,0.4975079697479839,0.0667524059896802,0.9747836895190144,0.0015010478060757,0.0159663400089952,0.0041398329226136,0.0021471538746315,0.00012925683421,0.0858796631714701,0.0091284796557536,0.0316074180348962,0.0009151096287513,0.125535036821474,0.016097148009289,0.0463205633211854,0.0013961054041385
True,1000,sum,['one_hot_gene'],,500,2,504114.0,0.4136139451299861,0.2633138797077415,0.672807757700243,0.5904033790511425,0.6445856299811771,0.5656732078983,0.0801608120166525,0.0821332201940342,0.0144249206084646,0.017212527576465,0.1201037909829021,0.1311965227300825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,1000,sum,['one_hot_gene'],,200,2,,0.4127054336433371,0.2649534633586023,0.6729725996955346,0.5921776448098197,0.6499284332959239,0.5676996671980793,0.0801426400928473,0.0818873276771272,0.0144472697178234,0.0171742190241155,0.1201967957885046,0.131050444578092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,1000,sum,['one_hot_gene'],,500,2,504442.0,0.412230824267476,0.266513178688928,0.6741471345931066,0.5940558201037474,0.6435272703746758,0.571939305624718,0.0799437836803952,0.0823359792070481,0.0144589449657424,0.0171377765795042,0.1202453531981276,0.1309113309820974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,1000,sum,['one_hot_gene'],,500,2,503964.0,0.4115411798103024,0.2676020233266604,0.6716815071607792,0.590421421881581,0.6432467413223503,0.5707475937871783,0.0801636615608419,0.0819662318374346,0.0144759100119951,0.0171123359368245,0.1203158759765108,0.1308141274359331,0.3226942336992704,0.8922586853812385,0.3359975775943868,0.8910960851403311,0.2578064046173449,0.8982840901204376,0.0971795337659944,0.8986007938265445,0.1116236455606204,0.8990399753956452,0.6205936147558464,0.9745042648695684,0.6230064704750609,0.9731061608450272,0.5567759559521064,0.9737172832952656,0.4625486065867135,0.9722458445764028,0.4590926252118281,0.9718753573185228,0.5934566559560944,0.974809558797414,0.517253315157193,0.9741226980433264,0.5135191792362517,0.9761546742205396,0.4292960070662112,0.976563454210428,0.4532118764226027,0.9763129788031456,0.0135350978371875,0.0022066231691176,0.0112720813837866,0.0023083037761343,0.0153567354850985,0.0020634422086064,0.0222280211274569,0.0019560800621299,0.0171255883285099,0.0020854480786558,0.0801451004052162,0.0320965317091345,0.0787550599190592,0.0324633834906667,0.083006242493391,0.031354286339432,0.1003558159404993,0.0302869278860837,0.0874822190630435,0.0311303249318897,0.1163404393888364,0.0469747077597898,0.1061700587914815,0.0480448100853188,0.1239222961581107,0.045425127502369,0.1490906473507206,0.0442275938993971,0.1308647711514063,0.0456667064572855,0.2250602790475234,0.1141634101630761,0.8958559259728395,0.0038459288869377,0.544403454596311,0.0808000729472326,0.9730897821809574,0.0010702623057404,0.5013474067676705,0.0640189371071528,0.9755926728149708,0.0010666766389108,0.0159035048324079,0.004148836765058,0.0021239794589288,0.0001361479619153,0.0859488875642418,0.0087178688954453,0.0314662908714413,0.0008526007834518,0.1252776425681111,0.0161638912774934,0.046067789140832,0.001474051646275
True,1000,sum,['one_hot_gene'],,200,2,201818.0,0.411221966368007,0.2676256735573464,0.6692426466423782,0.5931139984715141,0.6455547303437564,0.5667111504664796,0.0803537392844351,0.0823123029120338,0.0144837625666799,0.0171117833537954,0.1203485046300116,0.1308120153265571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1000,sum,['one_hot_gene'],,500,2,503928.0,0.4111586979963259,0.2689623874755654,0.6721534979438443,0.5959356309725077,0.6468808676820229,0.5708244784218584,0.0802850497973208,0.081852676386972,0.0144853189495968,0.0170805512937016,0.1203549706061069,0.1306925831625562,0.3264221310942783,0.8904970499361057,0.3279134000416581,0.8920081476235759,0.2678202316538273,0.8979191787250372,0.0965812023128612,0.8996973559426545,0.1065868885384417,0.8991792828884733,0.621559941551037,0.9737437740472468,0.6184096153580511,0.973675613967628,0.5663775705236447,0.973238634722773,0.4597244550295792,0.9734029706984408,0.4575930618964407,0.97275530355295,0.5847997999421451,0.974961117695466,0.5082934567624312,0.9735519000222708,0.5227609726632346,0.9753811648368482,0.427343689955238,0.9769107283553632,0.4501428649255783,0.9778033957969932,0.0134606005296509,0.0022427027881804,0.0114093180929016,0.0022889718974148,0.0151495392846065,0.0020708449204984,0.0222427524330474,0.001934926412381,0.0172226839196313,0.0020825705185086,0.0801318667852878,0.0321829023038595,0.0791643994969129,0.032449899437353,0.0827050328546762,0.0313442913607507,0.1004318374419212,0.0300813435608893,0.087985948382616,0.0311111447193473,0.1160198281745448,0.0473571830684685,0.1068144095752144,0.0478432011618669,0.1230834647083291,0.0455065371182919,0.1491400430234867,0.0439877984489004,0.1312352236239621,0.0456351894759811,0.2250647707282133,0.1153518751602117,0.8958602030231694,0.0042889729673162,0.5447329288717506,0.0815765462043358,0.9733632593978078,0.0003965713624454,0.4986681568497254,0.0623170394999227,0.9757216613413884,0.0016695603759875,0.0158969788519675,0.0041430677219161,0.0021240033073967,0.0001428257371347,0.0860838169922828,0.0087207228289811,0.03143391627644,0.000940062352581,0.1252585938211074,0.0160959438184904,0.0460659818547017,0.0015526683318566
False,1000,mean,['one_hot_gene'],,500,2,504532.0,0.4110020539817715,0.2615087053142924,0.6717658853129596,0.5892088381246207,0.6489975868950253,0.5619278278374611,0.0799815071073113,0.0826104222680758,0.014489172345248,0.0172547051242315,0.120370978002374,0.1313571662461991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
