run_id,cell_dataset.is_pert,cell_dataset.max_size,cell_dataset.aggregation,cell_dataset.node_embeddings,random_forest.max_depth,random_forest.n_estimators,random_forest.min_samples_split,val_mse,val_pearson,test_spearman,val_mae,test_pearson,val_spearman,test_r2,val_r2,num_params,test_mae,test_mse,val_rmse,test_rmse
e091x5fa,False,1000,mean,['random_10'],10.0,500,10,0.021937380275233457,0.3919106085935141,0.34139202590785117,0.11577243567528002,0.41079481802626894,0.406129462094116,0.11474384962514116,0.10822567257466607,37902.0,0.10527235139240888,0.020683837364164712,0.1481127282688205,0.14381876568850363
b7zgqfwv,False,1000,mean,['random_10'],10.0,200,10,0.022028672817799723,0.3976955216632419,0.3845986991134066,0.11481669152845346,0.4088737704495632,0.4773317011903167,0.1208818219182216,0.10451454824147056,15212.0,0.10477426786842987,0.020540424838194613,0.14842059431830787,0.14331931076513943
y8fhqpig,False,1000,mean,['random_10'],10.0,100,10,0.022407086892935742,0.3317059420224294,0.3511777772617276,0.11741690222731511,0.33361267497904157,0.29430216322705277,0.08991386274921298,0.08913167421053225,7478.0,0.1057025123922399,0.02126398516667201,0.14968996924622485,0.14582175820731283
t6utwft4,False,1000,mean,['random_10'],10.0,500,5,0.022048351237166808,0.39114380206160393,0.4078824172617994,0.11566914316648938,0.44675874605184607,0.3929320556713782,0.12186675270548208,0.10371460271581057,63914.0,0.10508650484484588,0.02051741212237216,0.14848687227215343,0.14323900349545915
bum13t0c,False,1000,mean,['random_10'],10.0,200,5,0.021932468045737997,0.4000492650175216,0.42010636928970574,0.11584172729203492,0.3828757211696806,0.45042684365217495,0.11250737642579878,0.10842535914159024,24280.0,0.1055779073256921,0.020736092124445025,0.1480961446011948,0.14400031987618994
5mo690oj,False,1000,mean,['random_10'],10.0,100,5,0.02207775830405256,0.36322856550873833,0.4285796657762553,0.11518851064638158,0.485131163780467,0.4206529847177858,0.14597552714688833,0.1025191788792097,12740.0,0.10360667250370588,0.019954115307790052,0.14858586172328966,0.14125903619871563
vpxytm3v,False,1000,mean,['random_10'],10.0,500,2,0.02197847797830499,0.3984940054427647,0.399546406849238,0.11562412236085733,0.41918560015200335,0.4454411567813629,0.11764278916048732,0.10655501381525534,126554.0,0.10513202098373776,0.02061610420709796,0.14825140126927971,0.14358309164765173
oueqfiil,False,1000,mean,['random_10'],10.0,200,2,0.021523742515997524,0.4327812993090905,0.4101229259892863,0.11396790384296744,0.4381099739330793,0.4719252274480551,0.12409763078069024,0.1250404211869599,49030.0,0.10557165052518563,0.02046528809107642,0.14670972195460505,0.1430569400311513
dsj6q0ok,False,1000,mean,['random_10'],10.0,100,2,0.022122642794719247,0.37833642274891544,0.30519243391865164,0.1157167326027563,0.33304465084074475,0.38923423164954823,0.0917099579766072,0.10069458378289808,25070.0,0.1068686380717058,0.02122201975185027,0.1487368239365062,0.14567779429909786
l6li6r6h,False,1000,mean,['random_10'],5.0,500,10,0.022874143291668658,0.3490694134611341,0.33345689083133523,0.11768384818691302,0.35309475407297475,0.3693042352836166,0.07494626971746166,0.07014540964183347,12068.0,0.10745340442482082,0.021613700059780243,0.15124200240564345,0.14701598572869634
