run_id,cell_dataset.is_pert,cell_dataset.size,cell_dataset.aggregation,cell_dataset.node_embeddings,elastic_net.alpha,elastic_net.l1_ratio,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse,val_rmse,test_rmse,fold_1_val_r2,fold_1_train_r2,fold_2_val_r2,fold_2_train_r2,fold_3_val_r2,fold_3_train_r2,fold_4_val_r2,fold_4_train_r2,fold_5_val_r2,fold_5_train_r2,fold_1_val_pearson,fold_1_train_pearson,fold_2_val_pearson,fold_2_train_pearson,fold_3_val_pearson,fold_3_train_pearson,fold_4_val_pearson,fold_4_train_pearson,fold_5_val_pearson,fold_5_train_pearson,fold_1_val_spearman,fold_1_train_spearman,fold_2_val_spearman,fold_2_train_spearman,fold_3_val_spearman,fold_3_train_spearman,fold_4_val_spearman,fold_4_train_spearman,fold_5_val_spearman,fold_5_train_spearman,fold_1_val_mse,fold_1_train_mse,fold_2_val_mse,fold_2_train_mse,fold_3_val_mse,fold_3_train_mse,fold_4_val_mse,fold_4_train_mse,fold_5_val_mse,fold_5_train_mse,fold_1_val_mae,fold_1_train_mae,fold_2_val_mae,fold_2_train_mae,fold_3_val_mae,fold_3_train_mae,fold_4_val_mae,fold_4_train_mae,fold_5_val_mae,fold_5_train_mae,fold_1_val_rmse,fold_1_train_rmse,fold_2_val_rmse,fold_2_train_rmse,fold_3_val_rmse,fold_3_train_rmse,fold_4_val_rmse,fold_4_train_rmse,fold_5_val_rmse,fold_5_train_rmse,fold_val_r2_mean,fold_val_r2_std,fold_train_r2_mean,fold_train_r2_std,fold_val_pearson_mean,fold_val_pearson_std,fold_train_pearson_mean,fold_train_pearson_std,fold_val_spearman_mean,fold_val_spearman_std,fold_train_spearman_mean,fold_train_spearman_std,fold_val_mse_mean,fold_val_mse_std,fold_train_mse_mean,fold_train_mse_std,fold_val_mae_mean,fold_val_mae_std,fold_train_mae_mean,fold_train_mae_std,fold_val_rmse_mean,fold_val_rmse_std,fold_train_rmse_mean,fold_train_rmse_std
xzbyvd5h,False,1000,sum,['nt_window_5979'],0.1,0.1,2560.0,0.2715737223625183,0.0723679661750793,0.5245966584989219,0.2917789575803908,0.4717001514328888,0.3780763733945763,0.0276447441428899,0.0374023653566837,0.0012415238888934,0.0040311645716428,0.0352352648477831,0.0634914527447819,0.1278238892555236,0.116021454334259,0.1227706670761108,0.1168400049209594,0.0209417343139648,0.1525637507438659,0.1759840846061706,0.1080986261367798,0.1862797141075134,0.1094561219215393,0.365586276517206,0.3409658389332435,0.3567932669539004,0.3421623218341665,0.198339334425782,0.3909120291880299,0.4246923625541967,0.3291117021203718,0.4496720970819297,0.3311516880642102,0.5095886140588667,0.3920838317638246,0.43521900718883,0.4068915244308874,0.2669682615071874,0.4493144462918083,0.3866634618392038,0.4139016418744695,0.4323574783056035,0.4123061421884255,0.0034880172461271,0.0029035527259111,0.0034175314940512,0.0029207062907516,0.0044306814670562,0.0026663851458579,0.0022315164096653,0.0032166340388357,0.0015825913287699,0.003378736320883,0.0328386202454566,0.0342167504131794,0.0364624708890914,0.0331533849239349,0.0393431559205055,0.0326126739382743,0.032804500311613,0.034161951392889,0.0287786312401294,0.0354970730841159,0.0590594382476427,0.0538846242068286,0.0584596569785627,0.0540435591976666,0.0665633643009146,0.0516370520639775,0.0472389289639947,0.0567153774459428,0.0397817964497573,0.0581268984282065,0.1267600178718567,0.065536552516668,0.1205959916114807,0.0182842301709928,0.359016667506603,0.0979757782184027,0.3468607160280044,0.025293990043814,0.4061593645799383,0.0894184922672586,0.414899517309883,0.0210760061659154,0.0030300675891339,0.0011241037442703,0.0030172029044479,0.0002809716390673,0.0340454757213592,0.0040200575875862,0.0339283667504787,0.0011102039104186,0.0542206369881744,0.0106177983670455,0.0548815022685244,0.002555291861476
le9lpvs7,True,1000,sum,['nt_window_5979'],0.1,0.1,2560.0,0.2715687751770019,0.0722980499267578,0.5245932133257156,0.2916613769230025,0.4734787683152673,0.377077707770777,0.0276455264538526,0.037402719259262,0.0012415322707965,0.0040314681828022,0.0352353837895459,0.0634938436606432,0.1277896761894226,0.1160157918930053,0.1228062510490417,0.1168202757835388,0.0209256410598754,0.1525530219078064,0.1759490966796875,0.1080924272537231,0.1862333416938781,0.109447956085205,0.3655662145138194,0.3409578769667405,0.3568506377232552,0.342133747798016,0.1983609584340229,0.3908986259157245,0.4246466386757674,0.3291022580056051,0.4495944613263418,0.3311391118335223,0.5094967374184355,0.3917501180695248,0.4358105586929575,0.4065494253458562,0.265875846303117,0.4491394623896461,0.3865371634290858,0.4136936931320379,0.4318534582815342,0.4119663183368135,0.0034881541505455,0.0029035711195319,0.0034173929598182,0.0029207714833319,0.004430754110217,0.0026664189063012,0.0022316109389066,0.0032166563905775,0.0015826815506443,0.0033787672873586,0.0328443497419357,0.0342221297323703,0.0364626795053482,0.0331541001796722,0.0393423102796077,0.0326104462146759,0.0328050330281257,0.0341624915599823,0.0287789031863212,0.0354967601597309,0.0590605972755575,0.0538847948825268,0.0584584720961662,0.0540441623427722,0.066563909967918,0.0516373789642857,0.047239929497266,0.0567155744974654,0.039782930392875,0.058127164797181,0.1267408013343811,0.0655252769119406,0.1205858945846557,0.0182832119226129,0.3590037821346413,0.0979406377957944,0.3468463241039217,0.0252935558940085,0.4059147528250261,0.0898362252827491,0.4146198034547756,0.0211403584940167,0.0030301187420263,0.0011240825508486,0.0030172370374202,0.0002809675716034,0.0340466551482677,0.0040192509089383,0.0339291855692863,0.0011110095534218,0.0542211678459565,0.0106174207936175,0.0548818150968462,0.0025552419395849
uz3jczmd,True,1000,sum,['fudt_upstream'],0.1,0.1,768.0,0.2675574421882629,0.0740963220596313,0.521106930616952,0.2947218922054162,0.4900404741710449,0.395055505550555,0.0275769736617803,0.0372449792921543,0.0012483691098168,0.0040236534550786,0.0353322672611997,0.0634322745538783,0.1261649131774902,0.1169371008872985,0.1188578605651855,0.1184985637664794,0.0239566564559936,0.1524723172187805,0.1813505291938781,0.1073015928268432,0.1879483461380005,0.1096938848495483,0.3632408113835481,0.3426161855736609,0.3506023864320013,0.3448832608214616,0.2007266518025972,0.391079028543345,0.433896175265545,0.3281922574694818,0.4516219925644691,0.3317866121861925,0.4799519987999701,0.4294354919039949,0.4385443780636242,0.4391418225982176,0.2875199036375996,0.4753452979230417,0.5323978099452488,0.4136461993855606,0.4284731225055138,0.4433933867694738,0.0034946519881486,0.0029005450196564,0.0034327751491218,0.0029152212664484,0.0044170375913381,0.0026666726917028,0.0022169833537191,0.0032195085659623,0.0015793460188433,0.0033778343349695,0.0328983291983604,0.0341381505131721,0.0364306941628456,0.0330920331180095,0.0392115637660026,0.0325235426425933,0.0326615199446678,0.0341140404343605,0.0287172608077526,0.0354349054396152,0.0591155816020504,0.0538567082140787,0.0585898894786624,0.053992789022688,0.0664607974022141,0.0516398362865612,0.047084852699346,0.056740713477734,0.039740986636511,0.0581191391451174,0.1276556611061096,0.0658624587995449,0.12098069190979,0.018225969236333,0.3600176034896322,0.0991489411644847,0.3477114689188283,0.0252453291657825,0.4333774425903913,0.091240607303238,0.4401924397160577,0.0227348196628175,0.0030281588202342,0.0011255419429197,0.0030159563757479,0.0002818934137276,0.0339838735759258,0.00399937218447,0.0338605344295501,0.0011178239313419,0.0541984215637568,0.0106471780434732,0.0548698372292358,0.0025635274001552
dy8a2ipg,False,1000,sum,['fudt_upstream'],0.1,0.1,768.0,0.2675473690032959,0.0741294026374816,0.5210924596176483,0.2947611325434991,0.4900076856736599,0.3983856948957989,0.0275776050984859,0.0372459515929222,0.0012483862228691,0.0040235095657408,0.0353325094335112,0.0634311403471577,0.1261389851570129,0.1169280409812927,0.1188737750053405,0.118473470211029,0.0239309668540954,0.1524637341499328,0.1813337802886963,0.1072847247123718,0.1878753900527954,0.1096916198730468,0.3631991821621341,0.3426024623588546,0.3506446826322644,0.3448464000503008,0.2007226893963434,0.3910683081389834,0.4338790731308108,0.3281661453540891,0.4515984891368134,0.3317836658200122,0.4789995138541328,0.4291830313056977,0.4376210677135422,0.4388893638199952,0.2864285283020499,0.4747825339213829,0.5320791475975044,0.4131608180929463,0.4279338687255253,0.4428047922457545,0.0034947555977851,0.0029005748219788,0.0034327132161706,0.0029153043869882,0.0044171540066599,0.0026666999328881,0.0022170289885252,0.0032195693347603,0.0015794879291206,0.0033778429497033,0.0328998118638992,0.0341390408575534,0.0364299714565277,0.0330917239189147,0.0392107926309108,0.0325228199362754,0.0326600819826126,0.0341129973530769,0.0287204459309577,0.0354370512068271,0.0591164579265801,0.0538569848949865,0.0585893609469387,0.053993558754617,0.0664616732159218,0.0516401000472321,0.0470853372986248,0.056741248970747,0.0397427720361911,0.0581192132577802,0.1276305794715881,0.0658520825696606,0.1209683179855346,0.0182271362824987,0.3600088232916733,0.0991405803294663,0.347693396344448,0.0252479653958933,0.432612425238551,0.0914632411970683,0.4397641078771553,0.0226715422389152,0.0030282279476523,0.0011255291389787,0.0030159982852637,0.0002818882355541,0.0339842207729816,0.0039979795396532,0.0338607266545295,0.0011188451623503,0.0541991202848513,0.0106467898918263,0.0548702211850726,0.0025634723435667
rkbkhd15,True,1000,sum,['nt_window_three_prime_300'],0.1,0.1,2560.0,0.259433388710022,0.073046863079071,0.5113953583058901,0.2937966367135232,0.4402593467146929,0.3821782178217822,0.0279075391590595,0.0373573042452335,0.0012622156646102,0.0040282141417264,0.0355276746299313,0.0634682136327035,0.1335912942886352,0.113756239414215,0.1231253743171692,0.116441786289215,0.0163951516151428,0.1538421511650085,0.176755666732788,0.1076170206069946,0.1791244149208068,0.1101192235946655,0.3753445355678195,0.3376428030994702,0.3566624827799387,0.3415946266366063,0.1907825150692588,0.3925572765997458,0.4263307087494468,0.3283915872756324,0.4402025163908547,0.3321604195418786,0.5174499362484063,0.3977577096988411,0.427688602598321,0.4189887226362138,0.2476421267848344,0.4610306845824067,0.4230210755268882,0.4134553333734276,0.4468868397535902,0.4177543705528813,0.0034649521112442,0.0029109930619597,0.0034161496441811,0.0029220231808722,0.0044512567110359,0.0026623627636581,0.0022294267546385,0.0032183709554374,0.0015965076163411,0.0033762203529477,0.0329765230417251,0.0344585962593555,0.0369587801396846,0.0333483219146728,0.0399903282523155,0.0327670238912105,0.032740544527769,0.0344656594097614,0.0287971571087837,0.0357782021164894,0.0588638438368087,0.0539536195445657,0.058447836950405,0.0540557414237581,0.0667177391031498,0.0515980887597415,0.0472168058495971,0.056730687951385,0.0399563213564651,0.0581052523697101,0.1257983803749084,0.0661007789762389,0.1203552842140197,0.0190215234221372,0.3578645517114637,0.0996124450820981,0.3464693426306667,0.0262550891842612,0.412537716182408,0.0996449218404924,0.4217973641687541,0.0235105410408799,0.0030316585674881,0.0011240629104289,0.003017994062975,0.0002808959857955,0.0342926666140556,0.0042986466205045,0.0341635607182979,0.0011619279077219,0.0542405094192851,0.0105845232193418,0.0548886780098321,0.0025561419434424
go5ejebq,False,1000,sum,['nt_window_three_prime_300'],0.1,0.1,2560.0,0.2593867778778076,0.0730674266815185,0.5113542686958681,0.2938367540009494,0.4412954250955548,0.382068791732186,0.0279075503349304,0.0373564176261425,0.0012622950598597,0.0040281247347593,0.035528791984245,0.0634675092843521,0.1335915923118591,0.1137281060218811,0.1230654120445251,0.1164222955703735,0.0163416266441345,0.15384441614151,0.1767721772193908,0.1075841188430786,0.1791982054710388,0.1100949048995971,0.3753394846771698,0.337601259390567,0.3565872102662979,0.3415660351631686,0.1906556866636037,0.3925603801455963,0.4263574314900324,0.3283417937670947,0.4402007106582459,0.3321241850346155,0.5176119047195495,0.3977029616784805,0.4272334907393741,0.4189722151535179,0.2466892850077086,0.4610810600712485,0.422527425794351,0.4134085199718212,0.4469167775905048,0.4176505723284682,0.0034649509470909,0.0029110854957252,0.0034163831733167,0.0029220876749604,0.0044514988549053,0.0026623555459082,0.0022293820511549,0.0032184896990656,0.0015963640762493,0.0033763127867132,0.0329757891595363,0.034455556422472,0.0369570143520832,0.0333469063043594,0.039991270750761,0.032770000398159,0.0327433012425899,0.034468550235033,0.0287933778017759,0.0357761532068252,0.0588638339482825,0.0539544761416999,0.0584498346731341,0.0540563379721609,0.066719553767283,0.0515980188176659,0.0472163324619243,0.0567317344972431,0.0399545251035386,0.0581060477636643,0.1257938027381897,0.0661416158438363,0.120334768295288,0.0190347431806381,0.3578281047510699,0.0996698555764022,0.3464387307002085,0.0262747785551187,0.4121957767702977,0.100054213502358,0.4217630658407073,0.0235546872709647,0.0030317158205434,0.0011242130157554,0.0030180662404745,0.0002809346070083,0.0342921506613492,0.0042997009596702,0.0341634333133697,0.0011605676786749,0.0542408159908325,0.0105859400380948,0.0548893230384868,0.0025564762983485
5lxmks9i,True,1000,sum,['nt_window_five_prime_1003'],0.1,0.1,2560.0,0.2589081525802612,0.0749080181121826,0.5109689337186865,0.2963192333700135,0.4147687211801482,0.4211101110111011,0.0277785062789917,0.0372831374406814,0.0012631108984351,0.0040201260708272,0.0355402715019893,0.0634044641238079,0.1282243132591247,0.1152709126472473,0.1189935803413391,0.1174417734146118,0.0219457149505615,0.151541531085968,0.1769505143165588,0.1073392629623413,0.1865122318267822,0.1089059710502624,0.3663001939012247,0.3398401850936352,0.3502504384014173,0.3430171231507302,0.1992819307693025,0.3895805275678867,0.4260053758589492,0.3279337183237203,0.4486267046922876,0.3302985933542004,0.5056701417535439,0.4049907822215474,0.3928479685172288,0.4325837834986064,0.2974779100562676,0.4553842094464623,0.4543103577589441,0.4130622531298505,0.4554558071911395,0.4179794998188105,0.00348641583696,0.0029060179367661,0.0034322463907301,0.0029187160544097,0.004426138009876,0.0026696014683693,0.0022288991604,0.0032193725928664,0.0015821391716599,0.0033808236476033,0.0329931490123271,0.0342092998325824,0.0366050824522972,0.0331436283886432,0.0393608026206493,0.0326044708490371,0.0327210538089275,0.0342031382024288,0.0286577027291059,0.0355540551245212,0.0590458790853356,0.0539074942541957,0.0585853769359739,0.0540251427986057,0.066529226734391,0.0516681862306909,0.0472112185862643,0.0567395152681658,0.0397761130788309,0.0581448505682437,0.1265252709388732,0.0654553994813295,0.1200998902320861,0.0180769108539129,0.3580929287246363,0.0976706992839323,0.3461340294980345,0.0250945120584443,0.4211524370554247,0.0798685527651249,0.4248001056230555,0.0198285159950633,0.0030311677139252,0.0011244304817744,0.003018906340003,0.0002810545473468,0.0340675581246614,0.0040832410907705,0.0339429184794426,0.0011363033625791,0.0542295628841591,0.0106255719445041,0.0548970378239804,0.0025547940610445
olqblt6j,False,1000,sum,['nt_window_five_prime_1003'],0.1,0.1,2560.0,0.2588899731636047,0.0749427080154419,0.510941924439976,0.2963437439902918,0.4142765846708742,0.4204566595549723,0.0277803223580122,0.0372834987938404,0.001263141981326,0.0040199751965701,0.0355407087904285,0.0634032743363476,0.1282477378845214,0.115270733833313,0.1189903020858764,0.1174435019493103,0.0219376683235168,0.1515449285507202,0.1769556403160095,0.1073397994041442,0.1864742636680603,0.1089189648628234,0.3663102968794192,0.3398395539190915,0.350263871889183,0.3430194519323777,0.199274295614714,0.3895849803693636,0.4259990438913519,0.3279347073505505,0.4486398138251389,0.3303187931066986,0.5050363605688974,0.4050587802780584,0.3927541471998365,0.4326811294051504,0.2975600536931001,0.455300961790865,0.4533833758704328,0.4132368236920213,0.4556428690375321,0.4180708516572189,0.0034863222390413,0.0029060184024274,0.0034322591964155,0.0029187104664742,0.0044261743314564,0.0026695907581597,0.0022288851905614,0.0032193707302212,0.0015822130953893,0.0033807742875069,0.032989963889122,0.0342062003910541,0.0366020835936069,0.0331409461796283,0.0393579192459583,0.0326033607125282,0.0327270254492759,0.0342101491987705,0.0286593865603208,0.0355550535023212,0.0590450864936391,0.053907498573273,0.0585854862266717,0.0540250910825173,0.0665294997084483,0.0516680825864455,0.047211070635619,0.0567394988541604,0.0397770423157542,0.058144426108673,0.1265211224555969,0.0654511517613157,0.1201035857200622,0.0180762311258475,0.3580974644199614,0.097675683090527,0.3461394973356164,0.0250930419992502,0.4208753612739598,0.0796022803947565,0.4248697093646628,0.0197553841632442,0.0030311708105728,0.0011244120925887,0.0030188929289579,0.0002810421042823,0.0340672757476568,0.00408100161135,0.0339431419968605,0.001137682214537,0.0542296370760265,0.0106252807713051,0.0548969194410138,0.0025546929474919
uohxuozf,False,1000,sum,['nt_window_5979'],0.1,0.5,2560.0,0.2547441720962524,0.0695506334304809,0.5245939521009859,0.2917391410046548,0.4717001514328888,0.3780763733945763,0.0273581743240356,0.0369885489344596,0.0012702079256996,0.0040434072725474,0.0356399765109301,0.0635877918514826,0.1168355345726013,0.1105115413665771,0.1127360463142395,0.111348807811737,0.0297051668167114,0.1467770338058471,0.1628338098526001,0.1030537486076355,0.1791655421257019,0.1046738028526306,0.3655449347506874,0.3409797574622644,0.3568052098817134,0.3421619032810667,0.1983283018903421,0.3909142667002925,0.4246607937275257,0.3290989729916873,0.4496497016480134,0.3311569201589464,0.5095886140588667,0.3920838317638246,0.43521900718883,0.4068915244308874,0.2672051736481057,0.4493131544980575,0.3866634618392038,0.4139016418744695,0.4323574783056035,0.4123061421884255,0.003531961934641,0.0029216506518423,0.0034566246904432,0.0029388663824647,0.0043910229578614,0.0026845925021916,0.0022671285551041,0.0032348283566534,0.0015964275225996,0.0033968805801123,0.0329915061593055,0.0341434478759765,0.0364045873284339,0.0330705195665359,0.0385988913476467,0.0324109457433223,0.0330307967960834,0.0340619795024395,0.0287811607122421,0.0353827662765979,0.0594303115812209,0.0540522955279639,0.0587930666868405,0.0542113123108523,0.0662647942565388,0.0518130533957579,0.0476143734087107,0.0568755514843896,0.0399553190776859,0.0582827640054273,0.1202552199363708,0.0582041809486768,0.1152729868888855,0.0179737864920411,0.3589977883796564,0.0979690717335595,0.3468623641188514,0.0252955952120264,0.406206747008122,0.0893263116540105,0.4148992589511329,0.0210754788259805,0.0030486331321299,0.0011092480362257,0.0030353636946529,0.0002809641554917,0.0339613884687423,0.0037455669058381,0.0338139317929744,0.0011349429221408,0.0544115730021994,0.0104889141213612,0.0550469953448782,0.0025475473876527
h6hmixkt,True,1000,sum,['nt_window_5979'],0.1,0.5,2560.0,0.2547354698181152,0.0695134401321411,0.5245932425241335,0.2916613603374571,0.4734787683152673,0.377077707770777,0.0273586250841617,0.0369889624416828,0.0012702228268608,0.0040435688570141,0.0356401855615377,0.0635890624008105,0.1168296933174133,0.1104967594146728,0.1127496361732482,0.1113292574882507,0.0297150611877441,0.1467649936676025,0.1628250479698181,0.1030543446540832,0.179188847541809,0.1046642065048217,0.3655662368028061,0.3409578422918002,0.3568506687552144,0.3421337040008438,0.1983609452172459,0.3908986233784617,0.4246465631440514,0.3291022786884241,0.449594469704607,0.3311390921276143,0.5094967374184355,0.3917501180695248,0.4358105586929575,0.4065494253458562,0.265875846303117,0.4491410587738917,0.3865371634290858,0.4136936931320379,0.4318534582815342,0.4119663183368135,0.0035319852177053,0.0029216993134468,0.0034565716050565,0.002938930876553,0.0043909782543778,0.0026846304535865,0.0022671523038297,0.0032348262611776,0.0015963822370395,0.0033969169016927,0.0329955518245697,0.0341477133333683,0.0364035442471504,0.0330706499516963,0.0385982953011989,0.0324104540050029,0.0330302082002162,0.0340612642467021,0.0287784598767757,0.0353809893131256,0.0594305074663288,0.0540527456605756,0.058792615225524,0.0542119071473514,0.066264456946223,0.0518134196283798,0.0476146227941563,0.0568755330628,0.0399547523711448,0.0582830756025516,0.1202616572380066,0.0582042757896884,0.1152619123458862,0.0179718715462072,0.359003776724785,0.0979406326996278,0.3468463080974288,0.0252935582793561,0.4059147528250261,0.0898362252827491,0.4146201227316248,0.0211410101718219,0.0030486139236018,0.0011092428058131,0.0030354007612913,0.0002809531617753,0.0339612118899822,0.0037459216345292,0.033814214169979,0.0011347323615126,0.0544113909606754,0.0104889499788071,0.0550473362203317,0.002547434085786
