run_id,run_name,state,created_at,string_version,loss_schedule,transition_epoch,max_epochs,epochs_logged,best_val_pearson,best_epoch,final_val_pearson
mx8kt0p1,run_compute-3-3-1811660_469cac35e47ba5a0aa406a514e962c7a3855a437e69b8a4749ab67826252844e,finished,2025-06-27T00:02:46Z,11_0,LinearUntilFlipped,10,500,500,0.42128533124923706,184,
8pxowi2e,run_compute-3-3-1818299_469cac35e47ba5a0aa406a514e962c7a3855a437e69b8a4749ab67826252844e,finished,2025-06-27T01:14:39Z,11_0,LinearUntilFlipped,10,500,500,0.42365384101867676,228,
mbyn8rim,run_compute-3-3-1779394_118af956480d7aadbf2e82a7129698706bf6e428a1a8efea05f9448ff6470c82,finished,2025-05-16T18:53:56Z,11_0,LinearUntilUniform,10,1000,443,0.42681756615638733,286,
xo6uq9sa,run_compute-3-3-1779393_118af956480d7aadbf2e82a7129698706bf6e428a1a8efea05f9448ff6470c82,finished,2025-05-16T19:04:32Z,11_0,LinearUntilUniform,10,1000,468,0.4215971827507019,254,
g34rn9ti,run_compute-3-3-1779392_523c6586fef1a63fb9e27a4c7afe481af945ce297d4001b6f370a83c6d519b85,finished,2025-05-16T18:30:16Z,11_0,PreThenPost,10,1000,988,0.4193340241909027,193,
qea56nbl,run_compute-3-3-1818460_705e609140f4db6b63d3fdd12914b2d9f7ae5614a82efb4db958764d0ab70e5a,finished,2025-06-27T01:51:00Z,12_0,LinearUntilFlipped,10,500,500,0.4217444956302643,232,
sv0fsgng,run_compute-3-3-1794847_3521b01668aab651705963d78b134cbacd47b31225774e7bcbec529b7d295d9c,finished,2025-05-16T19:27:42Z,12_0,LinearUntilUniform,10,500,500,0.4220750331878662,285,
ekebm9y1,run_compute-3-3-1794848_3521b01668aab651705963d78b134cbacd47b31225774e7bcbec529b7d295d9c,finished,2025-05-16T19:36:30Z,12_0,LinearUntilUniform,10,500,500,0.41493844985961914,253,
ltspf20w,run_compute-3-3-1815487_3521b01668aab651705963d78b134cbacd47b31225774e7bcbec529b7d295d9c,finished,2025-06-27T00:26:44Z,12_0,LinearUntilUniform,10,500,500,0.4212851822376251,294,
5me1tgmt,run_compute-3-3-1817855_3521b01668aab651705963d78b134cbacd47b31225774e7bcbec529b7d295d9c,finished,2025-06-27T01:02:36Z,12_0,LinearUntilUniform,10,500,500,0.4207104444503784,439,
6m5wqiju,run_compute-3-3-1818458_3521b01668aab651705963d78b134cbacd47b31225774e7bcbec529b7d295d9c,finished,2025-06-27T01:38:59Z,12_0,LinearUntilUniform,10,500,500,0.41961121559143066,187,
pfm9qtlj,run_compute-3-3-1794844_b54f5305d210aa837031cacb095243c23cbd5eaec7d7c7f7654134776046e7db,finished,2025-05-16T19:15:40Z,12_0,PreThenPost,10,500,500,0.42196962237358093,145,
d0i1sbc6,run_compute-3-3-1815364_b54f5305d210aa837031cacb095243c23cbd5eaec7d7c7f7654134776046e7db,finished,2025-06-27T00:14:45Z,12_0,PreThenPost,10,500,500,0.41765931248664856,165,
r0zhujxc,run_compute-3-3-1817834_b54f5305d210aa837031cacb095243c23cbd5eaec7d7c7f7654134776046e7db,finished,2025-06-27T00:50:41Z,12_0,PreThenPost,10,500,500,0.42658066749572754,240,
26tx2hj1,run_compute-3-3-1818371_b54f5305d210aa837031cacb095243c23cbd5eaec7d7c7f7654134776046e7db,finished,2025-06-27T01:26:52Z,12_0,PreThenPost,10,500,500,0.4267142117023468,250,
jpckzn4x,run_compute-3-3-1769453_3a135e41b4948e5a332cd4dad053077c79416a21d569da8ab0fcaccc51b8f442,finished,2025-05-12T19:38:51Z,9_1,LinearUntilFlipped,10,1000,540,0.4238974153995514,140,
zzbcgu54,run_compute-3-3-1815717_8d40998717064fc0b64cc8bbd27d184a3f629dbee148c8a489b46e0a8b3cfcd4,finished,2025-06-27T00:38:38Z,9_1,LinearUntilFlipped,10,500,500,0.4209745526313782,106,
q67k56m4,run_compute-3-3-1769441_126638dce9ca81110c2e9c8894af1f399e5606d2eaf333e415f0e7a259aa4040,finished,2025-05-12T19:25:08Z,9_1,LinearUntilUniform,10,1000,575,0.42194846272468567,128,
ytkjmgvs,run_compute-3-3-1765976_24093ac8b557d9538ba7dcae476e6acabcd312ff480bf5e16903065270f0cb9a,finished,2025-05-09T20:05:44Z,9_1,PreThenPost,10,1000,1000,0.419741153717041,145,
