string_version,loss_schedule,n,mean,sd,sem
9_1,PreThenPost,1,0.419741153717041,,
9_1,LinearUntilUniform,1,0.42194846272468567,,
9_1,LinearUntilFlipped,2,0.4224359840154648,0.002066776083852966,0.0014614313840866087
11_0,PreThenPost,1,0.4193340241909027,,
11_0,LinearUntilUniform,2,0.4242073744535446,0.0036913685065538874,0.002610191702842712
11_0,LinearUntilFlipped,2,0.4224695861339569,0.001674789319277396,0.0011842548847198484
12_0,PreThenPost,4,0.42323095351457596,0.00432002358595115,0.002160011792975575
12_0,LinearUntilUniform,5,0.4197240650653839,0.0028218757117808627,0.0012619811831195225
12_0,LinearUntilFlipped,1,0.4217444956302643,,
