screen,form,n,pearson,spearman,slope,rmse,median_abs_residual
kuzmin2018,asymmetric (published),57451,0.5111949069218444,0.42380221775479643,0.9181128654437888,0.07883588726035347,0.04168660000000006
kuzmin2018,symmetric,57451,0.5040951687532931,0.4277874830825946,0.9073042417354376,0.07946920360509016,0.04173753654706467
kuzmin2018,"asymmetric, array single set to 1",57451,0.4268770546318755,0.3463272065231957,1.2287359184766111,0.1460382037723683,0.07322188236379036
kuzmin2020,asymmetric (published),236225,0.32524698573120603,0.3843368988271323,0.9257093518332553,0.16450430679089997,0.06692220000000008
kuzmin2020,symmetric,231611,0.277928691086974,0.3373890278457906,0.9047973214822332,0.21168278579446098,0.08956579417600002
kuzmin2020,"asymmetric, array single set to 1",236442,0.272761261191232,0.2868665170680333,0.8905775642549398,0.21248888684526077,0.0904605
