policy,order,stored_source,n,pearson,spearman,slope,intercept,rmse,median_abs_residual
mean_all,2,all,1526362,0.43488842991019194,0.3990008999909621,0.48106865705518376,0.0073477444895600685,0.0499002926412403,0.023318250666666707
mean_all,2,C26,4422,0.46337031768350057,0.4329367778797807,0.5266418174734642,-0.0007929697415461094,0.051601069592801585,0.028995583333333273
mean_all,2,C30,898027,0.4403848688218552,0.41362290576813654,0.460321615720819,0.007568657955786009,0.04816830249204665,0.02302512900000015
mean_all,2,K18,129356,0.6344312153055022,0.5266069519108433,0.5683245224001305,-0.005810146753442215,0.041775343258283505,0.021614127333333233
mean_all,2,K20,494557,0.3994888837855441,0.3660893825526238,0.5151764689422614,0.010216602201874573,0.05469684532437035,0.02430585999999991
measured_else_0,2,all,1526362,0.4526649064767719,0.4057616167891926,0.4714721561315123,0.006026520299065394,0.04732982576186784,0.02305919329047619
measured_else_0,2,C26,4422,0.480125423294623,0.43531748000825576,0.5114875759229304,-0.002180739315076332,0.04885106992782169,0.0285917082777778
measured_else_0,2,C30,898027,0.46498083331556644,0.4216476558977818,0.4529846782444431,0.006213195476270627,0.04529286245591235,0.02276597466666649
measured_else_0,2,K18,129356,0.6881182339559808,0.5379632341385099,0.5522584899045212,-0.007145535529730328,0.038296573554116135,0.021287465866666567
measured_else_0,2,K20,494557,0.4063893843639068,0.37064989558704586,0.5037294500483658,0.008987863553196446,0.05276083313344213,0.02407863333333335
kuzmin_first,2,all,1526362,0.22684913369805532,0.1938793916254458,0.4600448338542897,0.03033645010679524,0.09504030743556623,0.04299624499999999
kuzmin_first,2,C26,4422,0.007430870718094844,-0.0029305308525408706,0.01232722542883642,0.016921744833965944,0.09254829888649872,0.05399313804999998
kuzmin_first,2,C30,898027,0.0763354167736711,0.03376183457022058,0.15397262257487734,0.029742408434280013,0.10069100086242531,0.050350249999999847
kuzmin_first,2,K18,129356,0.8937417230730642,0.8685258930522513,0.9524097497534507,0.0005426005022783568,0.023855188694202372,0.0002806249999999771
kuzmin_first,2,K20,494557,0.4062470723010787,0.38874960166385814,0.9407730330797254,0.037660956933888615,0.0961365736474419,0.04392099999999999
costanzo_first,2,all,1526362,0.5075659539566204,0.4812931904546692,0.4795872734816915,-0.002201902020542415,0.04225712502938052,0.016573125000000074
costanzo_first,2,C26,4422,0.8999886039525846,0.8725827152092538,1.012086760426975,-0.009921048177337723,0.02481600645075756,4.0000000000040004e-05
costanzo_first,2,C30,898027,0.754150706831754,0.7529045148068156,0.6598914483342272,-0.0009615224921600686,0.02909681857838284,0.01103350000000008
costanzo_first,2,K18,129356,0.3281004184888811,0.1438258478768136,0.300382540273886,-0.007358205060276525,0.05708964120464905,0.02946200000000003
costanzo_first,2,K20,494557,0.18183193172695192,0.0839944928722472,0.1978523420681776,-0.002324334967399824,0.05581960748777036,0.026975000000000058
mean_all,3,all,289062,0.19275239798129917,0.2013782216855316,0.5370423076681969,-0.00016333758948490614,0.17218183779576607,0.0680604608658398
mean_all,3,K18,57451,0.3622151903173502,0.2815246136311384,0.7123364545750263,0.024036937894892373,0.10114584271095162,0.05713836619267169
mean_all,3,K20,231611,0.1822602884856157,0.2237323428735986,0.5611730221005793,-0.004284373790729086,0.18564143046963988,0.07178842846948019
measured_else_0,3,all,289062,0.20696702202542017,0.22417747479038433,0.4966874608860618,-0.031448621197971136,0.1518086361291414,0.05972379797669327
measured_else_0,3,K18,57451,0.44091157275759313,0.2991341787002516,0.7762775823725411,0.020645464749527512,0.0865977797268215,0.05680329679488014
measured_else_0,3,K20,231611,0.22002101874100582,0.27823412494449334,0.5805865887231678,-0.04156258820848027,0.16401893279660604,0.060530227422222194
kuzmin_first,3,all,289062,0.24453887489856338,0.25323954773466095,0.7052504907208128,-0.06972779635441363,0.18738784958994978,0.07694555974650022
kuzmin_first,3,K18,57451,0.5165629443904135,0.4414852531221457,0.9267979651783028,0.01367839288338751,0.07980857316155304,0.04162612728000009
kuzmin_first,3,K20,231611,0.2867407268140094,0.3369767094832053,0.9134883481940635,-0.08879576883567439,0.20553427889824627,0.08922931819999982
costanzo_first,3,all,289062,0.13681527610444377,0.11956286239020848,0.34307060009387014,-0.017230234229214193,0.1601015577918086,0.07165964967999991
costanzo_first,3,K18,57451,0.3019340849297417,0.18010796548514943,0.6579166711226482,0.014206863111373254,0.11082089377541081,0.06828842600000008
costanzo_first,3,K20,231611,0.12717019031184154,0.13198662898833943,0.3459342001494723,-0.0214757279543037,0.17013017725503474,0.07255270519999957
