panel_size,k,selected_genes,top_k_constructible,top_k_fraction,bot_k_constructible,bot_k_fraction,design_space,total_doubles,sameith_doubles,new_doubles_needed,overlap_betaxanthin,overlap_expanded_inference,overlap_metabolic,overlap_kemmeren,overlap_ohya,overlap_sameith
12,25,"YBR078W, YCR032W, YDL170W, YDL197C, YDL223C, YDR387C, YDR479C, YER180C, YGL060W, YKL067W, YKR015C, YOR352W",0,0.0,13,0.52,220,66,0,66,0,2,2,1,4,1
12,50,"YBR078W, YCL011C, YDR155C, YER079W, YER170W, YGL056C, YGL170C, YJL060W, YLR343W, YMR148W, YMR176W, YNL030W",15,0.3,0,0.0,220,66,0,66,0,1,2,0,5,0
12,100,"YBR078W, YCL011C, YDR155C, YER079W, YER096W, YER170W, YGL056C, YGL170C, YGR288W, YLR343W, YMR148W, YNL030W",18,0.18,0,0.0,220,66,0,66,0,2,1,0,7,1
12,200,"YAL059W, YBR078W, YCL011C, YDR155C, YER079W, YER170W, YGL170C, YGR288W, YKR100C, YLR343W, YMR148W, YNL030W",23,0.115,0,0.0,220,66,0,66,0,2,1,0,5,1
24,25,"YBR078W, YCR032W, YDL170W, YDL197C, YDL223C, YDR387C, YDR479C, YER180C, YGL060W, YGL101W, YGR161W-C, YJL219W, YKL067W, YKR015C, YKR039W, YLL066W-B, YLR287C, YML060W, YNL086W, YNL155W, YOL065C, YOL162W, YOR032C, YOR352W",0,0.0,25,1.0,2024,276,0,276,0,3,7,1,6,1
24,50,"YAL059W, YBR078W, YCL011C, YCR088W, YDR155C, YDR346C, YDR383C, YDR420W, YER045C, YER075C, YER079W, YER096W, YER114C, YER124C, YER170W, YGL056C, YGL170C, YGR288W, YJL016W, YJL060W, YLR343W, YMR148W, YMR176W, YNL030W",27,0.54,0,0.0,2024,276,0,276,0,2,2,1,10,1
24,100,"YAL059W, YBR078W, YCL011C, YDR155C, YDR420W, YDR451C, YER079W, YER096W, YER124C, YER170W, YGL056C, YGL170C, YGR071C, YGR109C, YGR288W, YJL058C, YJL060W, YKL033W-A, YKR100C, YLR154C-G, YLR343W, YMR148W, YMR176W, YNL030W",38,0.38,0,0.0,2024,276,1,275,0,4,2,1,10,2
24,200,"YAL059W, YBR078W, YCL011C, YDR155C, YER079W, YER096W, YER170W, YGL056C, YGL170C, YGR288W, YJL058C, YJL060W, YJR153W, YKR015C, YKR100C, YLR154C-G, YLR343W, YMR148W, YMR176W, YMR253C, YNL030W, YOR214C, YOR307C, YPL107W",58,0.29,0,0.0,2024,276,0,276,0,3,3,0,9,1
24,500,"YAL059W, YBR078W, YCL011C, YDR003W-A, YDR155C, YDR346C, YER079W, YER096W, YER170W, YGL056C, YGL170C, YGR288W, YJR149W, YJR153W, YKR100C, YLR154C-G, YLR343W, YML005W, YMR148W, YMR176W, YMR292W, YNL030W, YOL031C, YOR214C",78,0.156,1,0.002,2024,276,0,276,0,4,3,0,9,1
24,1000,"YAL059W, YBR078W, YCL011C, YDR155C, YDR346C, YER096W, YER170W, YGL170C, YIL124W, YJR149W, YJR153W, YLR154C-G, YLR343W, YML005W, YMR148W, YMR176W, YMR261C, YMR292W, YNL030W, YNL040W, YOL031C, YOR028C, YOR214C, YPL258C",106,0.106,0,0.0,2024,276,0,276,0,5,6,1,7,1
24,2000,"YBR078W, YCL011C, YDR003W-A, YDR155C, YDR346C, YER096W, YER170W, YGL056C, YGL170C, YIL057C, YJR149W, YJR153W, YKR056W, YLR154C-G, YLR343W, YMR138W, YMR222C, YMR253C, YMR292W, YNL030W, YNR044W, YOL031C, YOR214C, YPL258C",157,0.0785,0,0.0,2024,276,0,276,0,3,4,0,11,0
