index,gene,mutant_type
1,YAL059W,single
2,YBR078W,single
3,YCL011C,single
4,YDR155C,single
5,YER079W,single
6,YER170W,single
7,YGL170C,single
8,YGR288W,single
9,YKR100C,single
10,YLR343W,single
11,YMR148W,single
12,YNL030W,single
