gene1,gene2,gene3,prediction
YBR078W,YGL170C,YMR176W,0.1710205078125
YBR078W,YDR155C,YMR176W,0.168212890625
YBR078W,YDR155C,YMR148W,0.136962890625
YBR078W,YDR155C,YER170W,0.1287841796875
YBR078W,YCL011C,YLR343W,0.12286376953125
YBR078W,YDR346C,YNL030W,0.11474609375
YBR078W,YCL011C,YNL030W,0.1141357421875
YBR078W,YER170W,YNL030W,0.1131591796875
YBR078W,YER096W,YNL030W,0.11260986328125
YBR078W,YJR153W,YNL030W,0.11126708984375
YBR078W,YLR343W,YMR148W,0.11114501953125
YBR078W,YCL011C,YMR261C,0.1075439453125
YBR078W,YCL011C,YGL170C,0.1065673828125
YAL059W,YBR078W,YMR148W,0.10504150390625
YBR078W,YGL170C,YMR148W,0.10369873046875
YBR078W,YNL030W,YOL031C,0.10235595703125
YBR078W,YDR155C,YER096W,0.0982666015625
YAL059W,YBR078W,YMR176W,0.09747314453125
YBR078W,YLR343W,YPL258C,0.09716796875
YBR078W,YCL011C,YJR153W,0.0946044921875
YBR078W,YER170W,YLR343W,0.094482421875
YBR078W,YLR343W,YML005W,0.09381103515625
YBR078W,YDR346C,YMR148W,0.093017578125
YBR078W,YJR153W,YMR148W,0.09027099609375
YBR078W,YJR153W,YMR176W,0.088134765625
YBR078W,YIL124W,YNL030W,0.08624267578125
YBR078W,YER096W,YGL170C,0.08514404296875
YBR078W,YJR153W,YLR154C-G,0.08453369140625
YBR078W,YDR155C,YLR343W,0.08355712890625
YBR078W,YIL124W,YMR261C,0.0826416015625
YBR078W,YDR155C,YIL124W,0.08160400390625
YBR078W,YMR292W,YNL030W,0.08123779296875
YBR078W,YMR176W,YOR028C,0.08111572265625
YBR078W,YLR154C-G,YPL258C,0.08056640625
YBR078W,YJR153W,YML005W,0.0799560546875
YBR078W,YGL170C,YML005W,0.0791015625
YAL059W,YBR078W,YCL011C,0.078857421875
YBR078W,YCL011C,YLR154C-G,0.0782470703125
YBR078W,YCL011C,YDR346C,0.0777587890625
YBR078W,YCL011C,YJR149W,0.07733154296875
YBR078W,YER096W,YLR343W,0.07666015625
YBR078W,YLR343W,YMR292W,0.07568359375
YBR078W,YNL030W,YPL258C,0.0753173828125
YBR078W,YMR176W,YOR214C,0.074951171875
YBR078W,YJR149W,YNL030W,0.074951171875
YBR078W,YER170W,YGL170C,0.07342529296875
YBR078W,YGL170C,YMR292W,0.07305908203125
YBR078W,YML005W,YNL030W,0.0728759765625
YBR078W,YMR176W,YNL030W,0.0728759765625
YBR078W,YLR343W,YOL031C,0.07275390625
YBR078W,YJR149W,YLR343W,0.07275390625
YBR078W,YJR149W,YOR214C,0.07244873046875
YBR078W,YDR346C,YLR154C-G,0.07244873046875
YBR078W,YLR343W,YOR214C,0.07232666015625
YBR078W,YLR154C-G,YMR148W,0.07177734375
YBR078W,YLR154C-G,YNL040W,0.07122802734375
YBR078W,YJR149W,YMR292W,0.07122802734375
YBR078W,YJR149W,YLR154C-G,0.07110595703125
YBR078W,YDR155C,YNL040W,0.0709228515625
YBR078W,YER170W,YOL031C,0.07080078125
YBR078W,YER096W,YOR214C,0.0693359375
YBR078W,YIL124W,YOR214C,0.0689697265625
YBR078W,YJR149W,YOR028C,0.06854248046875
YBR078W,YLR154C-G,YMR292W,0.068359375
YBR078W,YLR154C-G,YOL031C,0.06829833984375
YBR078W,YJR153W,YOR214C,0.06829833984375
YBR078W,YDR155C,YML005W,0.06805419921875
YBR078W,YGL170C,YLR343W,0.0660400390625
YBR078W,YIL124W,YLR154C-G,0.06591796875
YBR078W,YJR149W,YMR261C,0.0657958984375
YBR078W,YIL124W,YLR343W,0.0657958984375
YBR078W,YLR343W,YNL040W,0.065185546875
YBR078W,YLR154C-G,YOR028C,0.06494140625
YBR078W,YDR155C,YJR149W,0.0648193359375
YBR078W,YNL030W,YOR028C,0.06475830078125
YBR078W,YML005W,YOR214C,0.06439208984375
YBR078W,YLR343W,YOR028C,0.06414794921875
YBR078W,YGL170C,YLR154C-G,0.0638427734375
YBR078W,YER170W,YJR153W,0.063720703125
YBR078W,YJR149W,YOL031C,0.06329345703125
YBR078W,YJR149W,YPL258C,0.06280517578125
YBR078W,YCL011C,YOR028C,0.062744140625
YBR078W,YER096W,YOL031C,0.062408447265625
YAL059W,YBR078W,YLR154C-G,0.062164306640625
YBR078W,YDR346C,YML005W,0.062164306640625
YBR078W,YML005W,YMR261C,0.062103271484375
YBR078W,YDR346C,YER096W,0.062042236328125
YBR078W,YER096W,YLR154C-G,0.061859130859375
YBR078W,YJR153W,YLR343W,0.061492919921875
YBR078W,YDR346C,YIL124W,0.061431884765625
YAL059W,YBR078W,YIL124W,0.060882568359375
YBR078W,YER096W,YJR153W,0.060455322265625
YBR078W,YER096W,YPL258C,0.060394287109375
YBR078W,YDR346C,YNL040W,0.059539794921875
YBR078W,YMR261C,YNL040W,0.059539794921875
YBR078W,YJR149W,YML005W,0.059417724609375
YBR078W,YCL011C,YOL031C,0.059234619140625
YBR078W,YGL170C,YNL040W,0.058929443359375
YBR078W,YMR148W,YOR214C,0.058868408203125
YBR078W,YJR153W,YMR292W,0.058746337890625
YBR078W,YLR154C-G,YMR261C,0.058624267578125
YAL059W,YBR078W,YER096W,0.057952880859375
YBR078W,YGL170C,YPL258C,0.057708740234375
YBR078W,YNL040W,YOR214C,0.057647705078125
YBR078W,YMR261C,YOR214C,0.057220458984375
YBR078W,YDR155C,YOR214C,0.056732177734375
