gene1,gene2,gene3,prediction
YBR078W,YGL056C,YMR138W,0.07220458984375
YBR078W,YJR149W,YMR292W,0.07122802734375
YBR078W,YJR149W,YLR154C-G,0.07110595703125
YBR078W,YER170W,YOL031C,0.07080078125
YBR078W,YER096W,YOR214C,0.0693359375
YBR078W,YLR154C-G,YMR292W,0.068359375
YBR078W,YJR153W,YOR214C,0.06829833984375
YBR078W,YLR154C-G,YOL031C,0.06829833984375
YBR078W,YMR138W,YPL258C,0.0682373046875
YBR078W,YDR346C,YKR056W,0.06671142578125
YBR078W,YGL170C,YLR343W,0.0660400390625
YBR078W,YGL056C,YNR044W,0.0655517578125
YBR078W,YDR155C,YJR149W,0.0648193359375
YBR078W,YMR253C,YNL030W,0.06402587890625
YBR078W,YGL170C,YLR154C-G,0.0638427734375
YBR078W,YER170W,YJR153W,0.063720703125
YBR078W,YDR155C,YMR253C,0.06341552734375
YBR078W,YJR149W,YOL031C,0.06329345703125
YBR078W,YER170W,YGL056C,0.06304931640625
YBR078W,YJR149W,YPL258C,0.06280517578125
YBR078W,YMR222C,YPL258C,0.062744140625
YBR078W,YER096W,YOL031C,0.062408447265625
YBR078W,YGL170C,YKR056W,0.062408447265625
YBR078W,YJR149W,YNR044W,0.062164306640625
YBR078W,YDR346C,YER096W,0.062042236328125
YBR078W,YER096W,YLR154C-G,0.061859130859375
YBR078W,YJR153W,YLR343W,0.061492919921875
YBR078W,YER096W,YJR153W,0.060455322265625
YBR078W,YER096W,YPL258C,0.060394287109375
YBR078W,YIL057C,YJR153W,0.059234619140625
YBR078W,YCL011C,YOL031C,0.059234619140625
YBR078W,YER170W,YNR044W,0.058990478515625
YBR078W,YDR003W-A,YMR222C,0.058868408203125
YBR078W,YNR044W,YPL258C,0.058807373046875
YBR078W,YJR153W,YMR292W,0.058746337890625
YBR078W,YIL057C,YPL258C,0.057769775390625
YBR078W,YIL057C,YOR214C,0.057769775390625
YBR078W,YGL170C,YPL258C,0.057708740234375
YBR078W,YIL057C,YMR222C,0.057647705078125
YBR078W,YMR222C,YOR214C,0.057647705078125
YBR078W,YDR346C,YMR253C,0.057647705078125
YBR078W,YKR056W,YLR343W,0.057403564453125
YBR078W,YCL011C,YNR044W,0.057281494140625
YBR078W,YDR346C,YMR222C,0.057159423828125
YBR078W,YDR003W-A,YIL057C,0.057037353515625
YBR078W,YMR253C,YOL031C,0.056854248046875
YBR078W,YER170W,YMR138W,0.056732177734375
YBR078W,YDR155C,YOR214C,0.056732177734375
YBR078W,YJR153W,YMR222C,0.056671142578125
YBR078W,YLR343W,YNL030W,0.056427001953125
YBR078W,YKR056W,YOL031C,0.056427001953125
YBR078W,YIL057C,YLR343W,0.055938720703125
YBR078W,YLR343W,YMR253C,0.055877685546875
YBR078W,YKR056W,YNL030W,0.055633544921875
YBR078W,YDR346C,YNR044W,0.055267333984375
YBR078W,YMR222C,YNL030W,0.055206298828125
YBR078W,YCL011C,YMR253C,0.055023193359375
YBR078W,YER170W,YJR149W,0.054901123046875
YBR078W,YER170W,YPL258C,0.054656982421875
YBR078W,YDR155C,YMR292W,0.054534912109375
YBR078W,YKR056W,YPL258C,0.054473876953125
YBR078W,YKR056W,YLR154C-G,0.054290771484375
YBR078W,YGL056C,YMR292W,0.05413818359375
YBR078W,YJR153W,YMR253C,0.054107666015625
YBR078W,YMR292W,YPL258C,0.053955078125
YBR078W,YKR056W,YMR222C,0.053955078125
YBR078W,YDR346C,YLR343W,0.05377197265625
YBR078W,YJR149W,YKR056W,0.053466796875
YBR078W,YOL031C,YOR214C,0.0533447265625
YBR078W,YMR292W,YOR214C,0.053192138671875
YBR078W,YCL011C,YMR138W,0.053070068359375
YBR078W,YNL030W,YOR214C,0.05279541015625
YBR078W,YMR138W,YOL031C,0.052581787109375
YBR078W,YDR155C,YLR154C-G,0.052581787109375
YBR078W,YER170W,YMR222C,0.052520751953125
YBR078W,YLR343W,YMR138W,0.052490234375
YBR078W,YDR003W-A,YPL258C,0.052337646484375
YBR078W,YIL057C,YOL031C,0.05224609375
YBR078W,YDR346C,YER170W,0.052032470703125
YBR078W,YIL057C,YNR044W,0.052032470703125
YBR078W,YLR154C-G,YNR044W,0.051971435546875
YBR078W,YER170W,YMR292W,0.05194091796875
YBR078W,YDR003W-A,YMR138W,0.051788330078125
YBR078W,YDR003W-A,YOL031C,0.051788330078125
YBR078W,YER096W,YMR222C,0.050811767578125
YBR078W,YLR154C-G,YMR138W,0.05078125
YBR078W,YER170W,YOR214C,0.050506591796875
YBR078W,YJR149W,YMR253C,0.050323486328125
YBR078W,YDR003W-A,YNR044W,0.050048828125
YBR078W,YLR154C-G,YNL030W,0.04962158203125
YBR078W,YER170W,YLR154C-G,0.049530029296875
YBR078W,YER096W,YJR149W,0.04949951171875
YBR078W,YMR222C,YOL031C,0.049468994140625
YBR078W,YDR003W-A,YMR253C,0.049468994140625
YBR078W,YLR154C-G,YOR214C,0.0494384765625
YBR078W,YDR346C,YMR292W,0.049346923828125
YBR078W,YCL011C,YMR222C,0.04931640625
YBR078W,YMR222C,YNR044W,0.049285888671875
YBR078W,YDR003W-A,YJR149W,0.049224853515625
YBR078W,YNR044W,YOL031C,0.049041748046875
YBR078W,YGL170C,YOR214C,0.04888916015625
YBR078W,YMR138W,YOR214C,0.0487060546875
YBR078W,YMR138W,YNR044W,0.0484619140625
YBR078W,YDR346C,YJR149W,0.04840087890625
YBR078W,YDR155C,YNL030W,0.04827880859375
YBR078W,YJR153W,YNR044W,0.048187255859375
YBR078W,YDR003W-A,YNL030W,0.04779052734375
YBR078W,YMR253C,YOR214C,0.04779052734375
