#,KO1,KO2
WT,"'-",
s1,YJR060W,
s2,YPL081W,
s3,YDR057W (YOS9),
s4,YPL046C (ELC1),
s5,YBR203W (COS111),
s6,YGL087C (MMS2),
s7,YLR104W (LCL2),
s8,YLL012W (YEH1),
s9,YER079W,
s10,YKL033W-A,
s11,YLR313C (SPH1),
s12,YLR312C-B,
d1,YPL081W (RPS9A),YDR057W (YOS9)
d2,YPL081W (RPS9A),YPL046C (ELC1)
d3,YPL081W (RPS9A),YER079W
d4,YPL081W (RPS9A),YLR312C-B
d5,YDR057W (YOS9),YGL087C (MMS2)
d6,YDR057W (YOS9),YER079W
d7,YDR057W (YOS9),YLR312C-B
d8,YPL046C (ELC1),YJR060W (CBF1)
d9,YPL046C (ELC1),YBR203W (COS111)
d10,YLL012W (YEH1),YDR057W (YOS9)
d11,YLL012W (YEH1),YPL046C (ELC1)
d12,YER079W ,YJR060W (CBF1)
d13,YER079W ,YLR312C-B
