gene,released_label,call,fcl_rf_e_class,cgt_predicted_z
YIL166C,0,both,1.101451612903226,0.033252961933612823
YDL171C,1,both,1.0829032258064517,0.08310971409082413
YHR001W-A,1,both,1.3499193548387098,1.1009891033172607
YLR020C,1,both,1.0853225806451614,0.029658395797014236
YMR099C,1,both,1.1754838709677418,0.03336156904697418
YNR056C,1,both,1.2223387096774192,0.02731519564986229
YDR204W,2,both,1.8980645161290324,1.5891602039337158
YDR298C,2,both,1.9746774193548386,0.28232401609420776
YDR529C,2,both,1.3585483870967743,1.0870274305343628
YGR088W,2,both,1.1460483870967744,0.04487995803356171
YGR183C,2,both,1.3546774193548388,1.0986210107803345
YJL166W,2,both,1.360483870967742,1.0916612148284912
YKL016C,2,both,1.986774193548387,1.570363163948059
YOR065W,2,both,1.355967741935484,1.3932743072509766
YPL078C,2,both,1.9813709677419356,1.5906336307525635
YBR132C,0,only_cgt,0.8869354838709678,0.06424803286790848
YBR147W,0,only_cgt,0.8944354838709677,0.03608047962188721
YBR180W,0,only_cgt,0.9166935483870968,0.03490111976861954
YCR075C,0,only_cgt,1.032983870967742,0.06862495094537735
YDR072C,0,only_cgt,0.9612903225806452,0.03393480181694031
YDR111C,0,only_cgt,0.972741935483871,0.041697949171066284
YFL054C,0,only_cgt,0.895,0.03577880561351776
YIL125W,0,only_cgt,0.13516129032258065,1.1009485721588135
YJL129C,0,only_cgt,0.912016129032258,0.028178848326206207
YLR011W,0,only_cgt,1.0447580645161292,0.029156673699617386
YLR447C,0,only_cgt,0.7560483870967742,1.565694808959961
YAL022C,1,only_cgt,0.9555645161290323,0.06975283473730087
YBL013W,1,only_cgt,0.9831451612903226,0.4919137954711914
YBR149W,1,only_cgt,1.0066129032258064,0.028625771403312683
YBR241C,1,only_cgt,0.9920967741935484,0.07900826632976532
YBR249C,1,only_cgt,0.9070967741935484,0.5305802822113037
YCL035C,1,only_cgt,0.9275,0.027732133865356445
YCR028C,1,only_cgt,1.0008064516129032,0.029017534106969833
YCR098C,1,only_cgt,0.9807258064516129,0.05606067180633545
YDL210W,1,only_cgt,0.9981451612903226,0.04611882567405701
YDR035W,1,only_cgt,0.9147580645161291,1.1026191711425781
YDR109C,1,only_cgt,1.0137903225806453,0.028566807508468628
