n_graphs,n_pairs,frac_of_union
1,786878,0.5197101060650392
2,560763,0.370367704024448
3,140700,0.09292827086708616
4,23970,0.015831490068827683
5,1634,0.0010792096275537937
6,109,7.199133990413924e-05
7,17,1.1228007141012541e-05
