graph,label,nodes,components,lcc_nodes,lcc_frac,mean_clustering,degree_assortativity,mean_degree,mean_two_hop_reach,median_two_hop_reach,mean_two_hop_frac_vocab
physical,Physical (SGD),5720,1,5720,1.0,0.362307682970923,-0.1959593331410019,48.113285064697266,4685.701398601399,5060.0,0.7093099301546167
regulatory,Regulatory (SGD),6582,1,6582,1.0,0.2582183847345983,-0.365393162755753,12.01640796661377,3364.799453053783,3491.0,0.5093550489030856
tflink,TFLink,5074,1,5074,1.0,0.6694053314952199,-0.4392957329277432,78.65628814697266,5038.258967284194,5059.0,0.7626792260496813
string12_0_neighborhood,STRING neighborhood,2191,1,2191,1.0,0.2743282937378861,0.03948533279020777,133.92332458496094,1646.0182565038795,1825.0,0.24917018717891004
string12_0_fusion,STRING fusion,3081,43,2964,0.9620253164556962,0.03358314695633695,0.23782174930747035,7.651412010192871,78.03959753326842,43.0,0.0118134419517512
string12_0_cooccurence,STRING co-occurrence,2601,486,1124,0.43214148404459823,0.4565901363577145,0.9306132384253314,8.52364444732666,22.11764705882353,5.0,0.0033481149044540612
string12_0_coexpression,STRING co-expression,6474,2,6472,0.9996910719802286,0.31048621760941936,0.21219299369397482,307.7537841796875,4681.6243435279575,5333.0,0.7086927556052011
string12_0_experimental,STRING experimental,6016,2,6014,0.9996675531914894,0.28365548889129794,-0.008037733477496015,273.3025207519531,4894.847406914893,5359.5,0.7409699374681946
string12_0_database,STRING database,4027,46,3874,0.9620064564191706,0.536122294964254,0.3253664863480645,36.065059661865234,403.72932704246335,269.0,0.06111555056652488
