graph,label,family,directed,nodes,uncovered,node_coverage,edges_native,edges_pairs,mean_degree,density_vocab,unique_edges,unique_frac
physical,Physical (SGD),SGD,False,5721,886,0.865899803238989,139463,137604,48.10487676979549,0.006305480370844948,30983,0.22516060579634312
regulatory,Regulatory (SGD),SGD,True,6582,25,0.996216134402906,39636,39546,12.01640838650866,0.001812131382412098,20340,0.5143377332726445
tflink,TFLink,TFLink,True,5074,1533,0.7679733615861964,200801,199551,78.65628695309421,0.00914410128689922,160569,0.8046514424883864
string12_0_neighborhood,STRING neighborhood,STRING v12.0,False,2191,4416,0.3316179809293174,146713,146713,133.92332268370606,0.00672288553855829,14181,0.0966581011907602
string12_0_fusion,STRING fusion,STRING v12.0,False,3081,3526,0.4663235961858635,11787,11787,7.651411879259981,0.0005401201791455873,1690,0.143378298125053
string12_0_cooccurence,STRING co-occurrence,STRING v12.0,False,2601,4006,0.39367337672165886,11085,11085,8.523644752018454,0.0005079521664400472,2225,0.20072169598556608
string12_0_coexpression,STRING co-expression,STRING v12.0,False,6474,133,0.9798698350234599,996199,996199,307.7537843682422,0.045649205255336806,346509,0.3478311060340354
string12_0_experimental,STRING experimental,STRING v12.0,False,6016,591,0.9105494172846981,822094,822094,273.30252659574467,0.037671125693943534,206339,0.2509919790194309
string12_0_database,STRING database,STRING v12.0,False,4027,2580,0.6095050703799001,72617,72617,36.06506083933449,0.0033275563798265137,5911,0.0813996722530537
