gene,name,top_of_graph,top_of_rank,n_graphs_top_k,graph,degree,rank,percentile
YHR082C,KSP1,string12_0_cooccurence,2,1,regulatory,9,1259.0,79.53473238978364
YHR082C,KSP1,string12_0_cooccurence,2,1,tflink,31,2957.0,41.742215214820654
YHR082C,KSP1,string12_0_cooccurence,2,1,string12_0_neighborhood,0,,
YHR082C,KSP1,string12_0_cooccurence,2,1,string12_0_fusion,0,,
YHR082C,KSP1,string12_0_cooccurence,2,1,string12_0_cooccurence,97,1.0,100.0
YHR082C,KSP1,string12_0_cooccurence,2,1,string12_0_coexpression,548,1169.0,81.95860364535064
YHR082C,KSP1,string12_0_cooccurence,2,1,string12_0_experimental,592,838.0,86.08710106382979
YHR082C,KSP1,string12_0_cooccurence,2,1,string12_0_database,8,2814.0,30.14651105040973
YAR019C,CDC15,string12_0_cooccurence,3,1,physical,99,517.0,90.97902097902097
YAR019C,CDC15,string12_0_cooccurence,3,1,regulatory,7,1791.0,70.88010411582886
YAR019C,CDC15,string12_0_cooccurence,3,1,tflink,25,3773.0,25.660228616476154
YAR019C,CDC15,string12_0_cooccurence,3,1,string12_0_neighborhood,0,,
YAR019C,CDC15,string12_0_cooccurence,3,1,string12_0_fusion,3,1850.0,39.98701720220708
YAR019C,CDC15,string12_0_cooccurence,3,1,string12_0_cooccurence,96,3.0,99.92310649750095
YAR019C,CDC15,string12_0_cooccurence,3,1,string12_0_coexpression,336,2285.0,64.72042014210689
YAR019C,CDC15,string12_0_cooccurence,3,1,string12_0_experimental,466,1160.0,80.7347074468085
YAR019C,CDC15,string12_0_cooccurence,3,1,string12_0_database,12,2487.0,38.266699776508574
YAL005C,SSA1,string12_0_coexpression,1,2,physical,961,17.0,99.72027972027972
YAL005C,SSA1,string12_0_coexpression,1,2,regulatory,15,546.0,91.13388644867415
YAL005C,SSA1,string12_0_coexpression,1,2,tflink,89,360.0,92.9247142294048
YAL005C,SSA1,string12_0_coexpression,1,2,string12_0_neighborhood,322,192.0,91.28251939753538
YAL005C,SSA1,string12_0_coexpression,1,2,string12_0_fusion,28,112.0,96.39727361246348
YAL005C,SSA1,string12_0_coexpression,1,2,string12_0_cooccurence,17,294.0,88.7351018838908
YAL005C,SSA1,string12_0_coexpression,1,2,string12_0_coexpression,1770,1.0,100.0
YAL005C,SSA1,string12_0_coexpression,1,2,string12_0_experimental,2033,5.0,99.93351063829788
YAL005C,SSA1,string12_0_coexpression,1,2,string12_0_database,31,1451.0,63.993046933200894
YLL024C,SSA2,string12_0_coexpression,2,2,physical,423,75.0,98.7062937062937
YLL024C,SSA2,string12_0_coexpression,2,2,regulatory,19,336.0,94.55018708312998
YLL024C,SSA2,string12_0_coexpression,2,2,tflink,67,762.0,85.00197083169098
YLL024C,SSA2,string12_0_coexpression,2,2,string12_0_neighborhood,321,193.0,91.23687813783661
YLL024C,SSA2,string12_0_coexpression,2,2,string12_0_fusion,31,89.0,97.14378448555664
YLL024C,SSA2,string12_0_coexpression,2,2,string12_0_cooccurence,17,294.0,88.7351018838908
YLL024C,SSA2,string12_0_coexpression,2,2,string12_0_coexpression,1643,2.0,99.98455359901143
YLL024C,SSA2,string12_0_coexpression,2,2,string12_0_experimental,1785,10.0,99.85039893617021
YLL024C,SSA2,string12_0_coexpression,2,2,string12_0_database,31,1451.0,63.993046933200894
YDL229W,SSB1,string12_0_coexpression,3,2,physical,756,23.0,99.61538461538461
YDL229W,SSB1,string12_0_coexpression,3,2,regulatory,5,2696.0,56.157475191150155
YDL229W,SSB1,string12_0_coexpression,3,2,tflink,60,980.0,80.70555774536854
YDL229W,SSB1,string12_0_coexpression,3,2,string12_0_neighborhood,332,171.0,92.24098585120949
YDL229W,SSB1,string12_0_coexpression,3,2,string12_0_fusion,29,103.0,96.68938656280429
YDL229W,SSB1,string12_0_coexpression,3,2,string12_0_cooccurence,16,324.0,87.58169934640523
YDL229W,SSB1,string12_0_coexpression,3,2,string12_0_coexpression,1585,3.0,99.96910719802285
YDL229W,SSB1,string12_0_coexpression,3,2,string12_0_experimental,1849,8.0,99.88364361702128
YDL229W,SSB1,string12_0_coexpression,3,2,string12_0_database,31,1451.0,63.993046933200894
YBR245C,ISW1,string12_0_experimental,2,3,physical,1756,8.0,99.87762237762237
YBR245C,ISW1,string12_0_experimental,2,3,regulatory,6,2198.0,64.25898812428828
YBR245C,ISW1,string12_0_experimental,2,3,tflink,22,4198.0,17.284193929838388
YBR245C,ISW1,string12_0_experimental,2,3,string12_0_neighborhood,102,1092.0,50.20538566864445
YBR245C,ISW1,string12_0_experimental,2,3,string12_0_fusion,37,60.0,98.08503732554365
YBR245C,ISW1,string12_0_experimental,2,3,string12_0_cooccurence,16,324.0,87.58169934640523
