index,g1,g2,g3,M01,M02,M03,worst,mean,n_supported,n_eng
16118321,YNL071W,YIL125W,YGL096W,0.070739746,0.1673584,0.031463623,0.031463623,0.08985392,1,2
16118442,YNL071W,YIL125W,YPL177C,0.091796875,0.121398926,0.034851074,0.034851074,0.08268229,1,2
16120786,YNL071W,YJL052W,YDR423C,0.06616211,0.1484375,0.06744385,0.06616211,0.09401449,1,2
16120804,YNL071W,YJL052W,YGL096W,0.039794922,0.026794434,0.081726074,0.026794434,0.049438477,1,2
16120925,YNL071W,YJL052W,YPL177C,-0.037139893,0.027832031,0.10559082,-0.037139893,0.03209432,1,2
16123651,YNL071W,YJR009C,YDR423C,0.03378296,0.19299316,0.059783936,0.03378296,0.09552002,1,2
16123669,YNL071W,YJR009C,YGL096W,0.004585266,0.019866943,0.15966797,0.004585266,0.061373394,1,2
16123790,YNL071W,YJR009C,YPL177C,-0.036010742,0.02609253,0.19616699,-0.036010742,0.062082928,1,2
16395062,YOL086C,YDL131W,YDR423C,0.051361084,0.06756592,0.12573242,0.051361084,0.08155314,1,2
16395080,YOL086C,YDL131W,YGL096W,0.056915283,0.027862549,0.033111572,0.027862549,0.039296467,1,2
16395201,YOL086C,YDL131W,YPL177C,0.072143555,0.024108887,0.06304932,0.024108887,0.053100586,1,2
16396017,YOL086C,YDL182W,YDR423C,0.06365967,0.05014038,0.14978027,0.05014038,0.08786011,1,2
16396035,YOL086C,YDL182W,YGL096W,0.054229736,0.042938232,0.045135498,0.042938232,0.04743449,1,2
16396156,YOL086C,YDL182W,YPL177C,0.09655762,0.03237915,0.107299805,0.03237915,0.07874552,1,2
16400983,YOL086C,YDR148C,YDR423C,0.08319092,0.055389404,0.043121338,0.043121338,0.06056722,1,2
16401001,YOL086C,YDR148C,YGL096W,0.046936035,0.04534912,0.008361816,0.008361816,0.033548992,1,2
16401122,YOL086C,YDR148C,YPL177C,0.07788086,0.027038574,0.022537231,0.022537231,0.042485554,1,2
16407286,YOL086C,YEL047C,YDR423C,0.06890869,0.050231934,0.04220581,0.04220581,0.053782146,1,2
16407304,YOL086C,YEL047C,YGL096W,0.05053711,0.03326416,0.01524353,0.01524353,0.033014935,1,2
16407425,YOL086C,YEL047C,YPL177C,0.060333252,0.015594482,0.019866943,0.015594482,0.03193156,1,2
16419892,YOL086C,YGR193C,YDR423C,0.07550049,0.050598145,0.054534912,0.050598145,0.06021118,1,2
16419910,YOL086C,YGR193C,YGL096W,0.07147217,0.056427002,0.0047912598,0.0047912598,0.044230144,1,2
16420031,YOL086C,YGR193C,YPL177C,0.08154297,0.033233643,0.017044067,0.017044067,0.043940227,1,2
16428869,YOL086C,YIL125W,YDR423C,0.060577393,0.04147339,0.05255127,0.04147339,0.051534016,1,2
16428887,YOL086C,YIL125W,YGL096W,0.04989624,0.04699707,0.0066833496,0.0066833496,0.034525555,1,2
16429008,YOL086C,YIL125W,YPL177C,0.06756592,0.020233154,0.016189575,0.016189575,0.034662884,1,2
16431352,YOL086C,YJL052W,YDR423C,0.07147217,0.049316406,0.06945801,0.049316406,0.06341553,1,2
16431370,YOL086C,YJL052W,YGL096W,0.06506348,0.026824951,0.009429932,0.009429932,0.033772785,1,2
16431491,YOL086C,YJL052W,YPL177C,0.049987793,0.018310547,0.026977539,0.018310547,0.031758625,1,2
16434217,YOL086C,YJR009C,YDR423C,0.06591797,0.07409668,0.06750488,0.06591797,0.06917318,1,2
16434235,YOL086C,YJR009C,YGL096W,0.056732178,0.044647217,0.0070877075,0.0070877075,0.0361557,1,2
16434356,YOL086C,YJR009C,YPL177C,0.054840088,0.024780273,0.03048706,0.024780273,0.036702473,1,2
21797590,YLR044C,YDR423C,YGL096W,0.08117676,0.36791992,0.13366699,0.08117676,0.19425456,1,1
21797711,YLR044C,YDR423C,YPL177C,0.099121094,0.328125,0.18530273,0.099121094,0.20418294,1,1
21800258,YLR044C,YGL096W,YPL177C,0.09729004,0.4284668,0.19226074,0.09729004,0.23933919,1,1
22106055,YNL071W,YDR423C,YGL096W,0.07324219,0.15100098,0.020187378,0.020187378,0.081476845,1,1
22106176,YNL071W,YDR423C,YPL177C,0.09100342,0.16271973,0.016952515,0.016952515,0.09022522,1,1
22108723,YNL071W,YGL096W,YPL177C,0.7109375,0.58251953,0.22875977,0.22875977,0.5074056,1,1
22160490,YOL086C,YDR423C,YGL096W,0.06365967,0.09832764,0.044891357,0.044891357,0.06895956,1,1
22160611,YOL086C,YDR423C,YPL177C,0.0793457,0.06768799,0.049224854,0.049224854,0.06541952,1,1
22163158,YOL086C,YGL096W,YPL177C,0.10101318,0.08081055,0.012359619,0.012359619,0.06472778,1,1
