subset,n,pearson_r,pearson_p,spearman_rho,mean_measured,mean_predicted,mean_signed_error,n_over_predicted,calibration_slope,n_measured_positive,precision_measured_positive,window,split,base_rate,positive_enrichment
all | train,3947,0.4173889139120515,3.1953321137089966e-166,0.22547811051682065,0.004125190777805929,0.023655689880118052,0.019530499102312124,2696.0,0.3615812984763446,17.0,0.004307068659741576,all,train,0.004307068659741576,1.0
all | val,431,0.07249952392026508,0.13290707053054693,0.08818092082669811,0.00407184222737819,0.02147009489287216,0.01739825266549397,298.0,0.12847311583038007,1.0,0.002320185614849188,all,val,0.002320185614849188,1.0
all | test,499,0.2581153887505599,4.891182962276145e-09,0.22090932045913558,4.449599198396758e-05,0.025125946352953083,0.025081450360969117,353.0,0.27706094896502403,5.0,0.01002004008016032,all,test,0.01002004008016032,1.0
all | pooled,4877,0.3776496780023295,3.9015269809379137e-165,0.2118418793785343,0.0037029517121181057,0.023612972336636753,0.019910020624518646,3347.0,0.3480762620826506,23.0,0.004716013942997745,all,pooled,0.004716013942997745,1.0
"top 1,000 | train",15,0.8518789175705297,5.550554959877806e-05,0.5499999999999999,0.1832548666666667,0.6355719725290935,0.4523171058624268,15.0,0.2731252976840473,3.0,0.2,"top 1,000",train,0.004307068659741576,46.435294117647054
"top 1,000 | val",0,,,,,,,,,,,"top 1,000",val,0.002320185614849188,
"top 1,000 | test",3,0.9640880637817202,0.17112870755256884,1.0,0.05694733333333333,0.5386962890625,0.4817489557291667,3.0,0.5931378237784808,0.0,0.0,"top 1,000",test,0.01002004008016032,0.0
"top 1,000 | held out",3,0.9640880637817202,0.17112870755256884,1.0,0.05694733333333333,0.5386962890625,0.4817489557291667,3.0,0.5931378237784808,0.0,0.0,"top 1,000",held out,0.0064516129032258064,0.0
"top 10,000 | train",30,0.8574951929939092,1.4281694696258608e-09,0.6765294771968854,0.12836326666666667,0.405044557650884,0.27668129098421734,30.0,0.2615891281627064,6.0,0.2,"top 10,000",train,0.004307068659741576,46.435294117647054
"top 10,000 | val",3,-0.9970378775092968,0.04901216520091397,-1.0,0.009577,0.1926981657743454,0.18312116577434537,3.0,-1.0462945707576161,0.0,0.0,"top 10,000",val,0.002320185614849188,0.0
"top 10,000 | test",3,0.9640880637817202,0.17112870755256884,1.0,0.05694733333333333,0.5386962890625,0.4817489557291667,3.0,0.5931378237784808,0.0,0.0,"top 10,000",test,0.01002004008016032,0.0
"top 10,000 | held out",6,0.7539197100597788,0.0833825050275535,0.2,0.03326216666666667,0.3656972274184227,0.33243506075175605,6.0,0.3454274206523098,0.0,0.0,"top 10,000",held out,0.0064516129032258064,0.0
"top 100,000 | train",119,0.6933265053882459,2.365998221769743e-18,0.38085522310177033,0.06758946218487395,0.163922366349637,0.09633290416476306,98.0,0.26036980634191137,11.0,0.09243697478991597,"top 100,000",train,0.004307068659741576,21.46169055857637
"top 100,000 | val",12,-0.485287636688984,0.10976423075364306,-0.44055944055944063,0.06093245833333333,0.10844972481330235,0.04751726647996901,8.0,-0.6740122195576854,1.0,0.08333333333333333,"top 100,000",val,0.002320185614849188,35.916666666666664
"top 100,000 | test",14,0.41730370574787923,0.13766047185165708,0.3142857142857143,0.05494164285714286,0.18169384875467845,0.12675220589753558,11.0,0.17093005557730087,1.0,0.07142857142857142,"top 100,000",test,0.01002004008016032,7.128571428571428
"top 100,000 | held out",26,0.2402852681715972,0.23705394841155872,-0.030427350427350425,0.05770663461538461,0.14788886847404334,0.09018223385865871,19.0,0.11874650645845015,2.0,0.07692307692307693,"top 100,000",held out,0.0064516129032258064,11.923076923076923
"top 1,000,000 | train",483,0.5657387984250352,3.275319114906289e-42,0.2617271762496986,0.03150338819875777,0.07772000897560061,0.04621662077684285,374.0,0.28481502809708076,13.0,0.026915113871635612,"top 1,000,000",train,0.004307068659741576,6.249056144196809
"top 1,000,000 | val",52,0.042250146211808025,0.7661636479723061,0.21258430803380857,0.022394403846153852,0.06126864705807888,0.03887424321192502,42.0,0.06583247769577057,1.0,0.019230769230769232,"top 1,000,000",val,0.002320185614849188,8.28846153846154
"top 1,000,000 | test",72,0.35282063422790805,0.0023674527140297784,0.25789854493244324,0.02268884722222222,0.07359094959166315,0.05090210236944093,57.0,0.20270120466291408,2.0,0.027777777777777776,"top 1,000,000",test,0.01002004008016032,2.772222222222222
"top 1,000,000 | held out",124,0.2751281867373636,0.0019842397770281025,0.239563303111503,0.022565370967741936,0.06842353240016007,0.045858161432418124,99.0,0.19161950152295465,3.0,0.024193548387096774,"top 1,000,000",held out,0.0064516129032258064,3.75
all | held out,930,0.18219905084201277,2.1966579975524913e-08,0.1597613611930768,0.0019109327956989253,0.02343167540747472,0.021520742611775796,651.0,0.23551882674694094,6.0,0.0064516129032258064,all,held out,0.0064516129032258064,1.0
