genes,n_genes_used,n_pairs,n_triples,strains,median_worst,min_worst,max_worst,n_chassis_pair_triples,triples
YDR423C+YGL096W+YJL052W+YLR044C+YNL071W,5,9,6,20,0.09375,0.0201873779296875,0.130126953125,2,YDR423C+YGL096W+YLR044C;YDR423C+YGL096W+YNL071W;YDR423C+YJL052W+YLR044C;YDR423C+YJL052W+YNL071W;YDR423C+YLR044C+YNL071W;YGL096W+YLR044C+YNL071W
YDR423C+YEL047C+YLR044C+YNL071W+YPL177C,5,9,6,20,0.091339111328125,0.0169525146484375,0.1644287109375,2,YDR423C+YEL047C+YLR044C;YDR423C+YEL047C+YNL071W;YDR423C+YLR044C+YNL071W;YDR423C+YLR044C+YPL177C;YDR423C+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDR423C+YJR009C+YLR044C+YNL071W+YPL177C,5,9,6,20,0.090087890625,0.0169525146484375,0.1644287109375,2,YDR423C+YJR009C+YLR044C;YDR423C+YJR009C+YNL071W;YDR423C+YLR044C+YNL071W;YDR423C+YLR044C+YPL177C;YDR423C+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDL131W+YDR423C+YGL096W+YLR044C+YNL071W,5,9,6,20,0.090057373046875,0.0201873779296875,0.130126953125,2,YDL131W+YDR423C+YLR044C;YDL131W+YDR423C+YNL071W;YDR423C+YGL096W+YLR044C;YDR423C+YGL096W+YNL071W;YDR423C+YLR044C+YNL071W;YGL096W+YLR044C+YNL071W
YDR148C+YDR423C+YLR044C+YNL071W+YPL177C,5,9,6,20,0.089569091796875,0.0169525146484375,0.1644287109375,2,YDR148C+YDR423C+YLR044C;YDR148C+YDR423C+YNL071W;YDR423C+YLR044C+YNL071W;YDR423C+YLR044C+YPL177C;YDR423C+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDR423C+YGL096W+YLR044C+YNL071W+YOL086C,5,9,6,20,0.089324951171875,0.0201873779296875,0.130126953125,2,YDR423C+YGL096W+YLR044C;YDR423C+YGL096W+YNL071W;YDR423C+YGL096W+YOL086C;YDR423C+YLR044C+YNL071W;YDR423C+YLR044C+YOL086C;YGL096W+YLR044C+YNL071W
YDR423C+YGL096W+YIL125W+YLR044C+YNL071W,5,9,6,20,0.088958740234375,0.0201873779296875,0.130126953125,2,YDR423C+YGL096W+YLR044C;YDR423C+YGL096W+YNL071W;YDR423C+YIL125W+YLR044C;YDR423C+YIL125W+YNL071W;YDR423C+YLR044C+YNL071W;YGL096W+YLR044C+YNL071W
YDR423C+YEL047C+YGL096W+YLR044C+YNL071W,5,9,6,20,0.082366943359375,0.0201873779296875,0.130126953125,2,YDR423C+YEL047C+YLR044C;YDR423C+YEL047C+YNL071W;YDR423C+YGL096W+YLR044C;YDR423C+YGL096W+YNL071W;YDR423C+YLR044C+YNL071W;YGL096W+YLR044C+YNL071W
YDR423C+YGL096W+YJR009C+YLR044C+YNL071W,5,9,6,20,0.08111572265625,0.0201873779296875,0.130126953125,2,YDR423C+YGL096W+YLR044C;YDR423C+YGL096W+YNL071W;YDR423C+YJR009C+YLR044C;YDR423C+YJR009C+YNL071W;YDR423C+YLR044C+YNL071W;YGL096W+YLR044C+YNL071W
YDR148C+YDR423C+YGL096W+YLR044C+YNL071W,5,9,6,20,0.080596923828125,0.0201873779296875,0.130126953125,2,YDR148C+YDR423C+YLR044C;YDR148C+YDR423C+YNL071W;YDR423C+YGL096W+YLR044C;YDR423C+YGL096W+YNL071W;YDR423C+YLR044C+YNL071W;YGL096W+YLR044C+YNL071W
YDL182W+YDR423C+YGR193C+YLR044C+YNL071W,5,9,5,19,0.10791015625,0.0360107421875,0.130126953125,1,YDL182W+YDR423C+YLR044C;YDL182W+YDR423C+YNL071W;YDR423C+YGR193C+YLR044C;YDR423C+YGR193C+YNL071W;YDR423C+YLR044C+YNL071W
YDR423C+YGR193C+YJL052W+YLR044C+YNL071W,5,9,5,19,0.1063232421875,0.0360107421875,0.130126953125,1,YDR423C+YGR193C+YLR044C;YDR423C+YGR193C+YNL071W;YDR423C+YJL052W+YLR044C;YDR423C+YJL052W+YNL071W;YDR423C+YLR044C+YNL071W
YDL182W+YDR423C+YJL052W+YLR044C+YNL071W,5,9,5,19,0.1063232421875,0.066162109375,0.130126953125,1,YDL182W+YDR423C+YLR044C;YDL182W+YDR423C+YNL071W;YDR423C+YJL052W+YLR044C;YDR423C+YJL052W+YNL071W;YDR423C+YLR044C+YNL071W
YDL131W+YDR423C+YGR193C+YLR044C+YNL071W,5,9,5,19,0.09893798828125,0.0360107421875,0.130126953125,1,YDL131W+YDR423C+YLR044C;YDL131W+YDR423C+YNL071W;YDR423C+YGR193C+YLR044C;YDR423C+YGR193C+YNL071W;YDR423C+YLR044C+YNL071W
YDL131W+YDR423C+YJL052W+YLR044C+YNL071W,5,9,5,19,0.09893798828125,0.0452880859375,0.130126953125,1,YDL131W+YDR423C+YLR044C;YDL131W+YDR423C+YNL071W;YDR423C+YJL052W+YLR044C;YDR423C+YJL052W+YNL071W;YDR423C+YLR044C+YNL071W
YDL131W+YDL182W+YDR423C+YLR044C+YNL071W,5,9,5,19,0.09893798828125,0.0452880859375,0.130126953125,1,YDL131W+YDR423C+YLR044C;YDL131W+YDR423C+YNL071W;YDL182W+YDR423C+YLR044C;YDL182W+YDR423C+YNL071W;YDR423C+YLR044C+YNL071W
YDR423C+YGR193C+YLR044C+YNL071W+YOL086C,5,9,5,19,0.09747314453125,0.0360107421875,0.130126953125,1,YDR423C+YGR193C+YLR044C;YDR423C+YGR193C+YNL071W;YDR423C+YGR193C+YOL086C;YDR423C+YLR044C+YNL071W;YDR423C+YLR044C+YOL086C
YDR423C+YJL052W+YLR044C+YNL071W+YOL086C,5,9,5,19,0.09747314453125,0.04931640625,0.130126953125,1,YDR423C+YJL052W+YLR044C;YDR423C+YJL052W+YNL071W;YDR423C+YJL052W+YOL086C;YDR423C+YLR044C+YNL071W;YDR423C+YLR044C+YOL086C
YDL182W+YDR423C+YLR044C+YNL071W+YOL086C,5,9,5,19,0.09747314453125,0.050140380859375,0.130126953125,1,YDL182W+YDR423C+YLR044C;YDL182W+YDR423C+YNL071W;YDL182W+YDR423C+YOL086C;YDR423C+YLR044C+YNL071W;YDR423C+YLR044C+YOL086C
YDL131W+YDR423C+YLR044C+YNL071W+YOL086C,5,9,5,19,0.09747314453125,0.0452880859375,0.130126953125,1,YDL131W+YDR423C+YLR044C;YDL131W+YDR423C+YNL071W;YDL131W+YDR423C+YOL086C;YDR423C+YLR044C+YNL071W;YDR423C+YLR044C+YOL086C
YDR423C+YGR193C+YIL125W+YLR044C+YNL071W,5,9,5,19,0.09674072265625,0.0360107421875,0.130126953125,1,YDR423C+YGR193C+YLR044C;YDR423C+YGR193C+YNL071W;YDR423C+YIL125W+YLR044C;YDR423C+YIL125W+YNL071W;YDR423C+YLR044C+YNL071W
YDR423C+YIL125W+YJL052W+YLR044C+YNL071W,5,9,5,19,0.09674072265625,0.066162109375,0.130126953125,1,YDR423C+YIL125W+YLR044C;YDR423C+YIL125W+YNL071W;YDR423C+YJL052W+YLR044C;YDR423C+YJL052W+YNL071W;YDR423C+YLR044C+YNL071W
YDL182W+YDR423C+YIL125W+YLR044C+YNL071W,5,9,5,19,0.09674072265625,0.07281494140625,0.130126953125,1,YDL182W+YDR423C+YLR044C;YDL182W+YDR423C+YNL071W;YDR423C+YIL125W+YLR044C;YDR423C+YIL125W+YNL071W;YDR423C+YLR044C+YNL071W
YDL131W+YDR423C+YIL125W+YLR044C+YNL071W,5,9,5,19,0.09674072265625,0.0452880859375,0.130126953125,1,YDL131W+YDR423C+YLR044C;YDL131W+YDR423C+YNL071W;YDR423C+YIL125W+YLR044C;YDR423C+YIL125W+YNL071W;YDR423C+YLR044C+YNL071W
YDR423C+YIL125W+YLR044C+YNL071W+YOL086C,5,9,5,19,0.09674072265625,0.041473388671875,0.130126953125,1,YDR423C+YIL125W+YLR044C;YDR423C+YIL125W+YNL071W;YDR423C+YIL125W+YOL086C;YDR423C+YLR044C+YNL071W;YDR423C+YLR044C+YOL086C
YGR193C+YIL125W+YLR044C+YNL071W+YPL177C,5,9,5,19,0.08770751953125,0.03485107421875,0.1644287109375,1,YGR193C+YLR044C+YPL177C;YGR193C+YNL071W+YPL177C;YIL125W+YLR044C+YPL177C;YIL125W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YGR193C+YJL052W+YLR044C+YNL071W+YPL177C,5,9,5,19,0.08453369140625,-0.037139892578125,0.1644287109375,1,YGR193C+YLR044C+YPL177C;YGR193C+YNL071W+YPL177C;YJL052W+YLR044C+YPL177C;YJL052W+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YGR193C+YJR009C+YLR044C+YNL071W+YPL177C,5,9,5,19,0.08453369140625,-0.0360107421875,0.1644287109375,1,YGR193C+YLR044C+YPL177C;YGR193C+YNL071W+YPL177C;YJR009C+YLR044C+YPL177C;YJR009C+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDL182W+YGR193C+YLR044C+YNL071W+YPL177C,5,9,5,19,0.08453369140625,0.073486328125,0.1644287109375,1,YDL182W+YLR044C+YPL177C;YDL182W+YNL071W+YPL177C;YGR193C+YLR044C+YPL177C;YGR193C+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDL131W+YGR193C+YLR044C+YNL071W+YPL177C,5,9,5,19,0.08453369140625,0.0142669677734375,0.1644287109375,1,YDL131W+YLR044C+YPL177C;YDL131W+YNL071W+YPL177C;YGR193C+YLR044C+YPL177C;YGR193C+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YEL047C+YGR193C+YLR044C+YNL071W+YPL177C,5,9,5,19,0.08453369140625,0.00531768798828125,0.1644287109375,1,YEL047C+YLR044C+YPL177C;YEL047C+YNL071W+YPL177C;YGR193C+YLR044C+YPL177C;YGR193C+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YDR148C+YGR193C+YLR044C+YNL071W+YPL177C,5,9,5,19,0.08453369140625,0.03955078125,0.1644287109375,1,YDR148C+YLR044C+YPL177C;YDR148C+YNL071W+YPL177C;YGR193C+YLR044C+YPL177C;YGR193C+YNL071W+YPL177C;YLR044C+YNL071W+YPL177C
YGR193C+YLR044C+YNL071W+YOL086C+YPL177C,5,9,5,19,0.08453369140625,0.0170440673828125,0.1644287109375,1,YGR193C+YLR044C+YPL177C;YGR193C+YNL071W+YPL177C;YGR193C+YOL086C+YPL177C;YLR044C+YNL071W+YPL177C;YLR044C+YOL086C+YPL177C
YDR423C+YEL047C+YGR193C+YLR044C+YNL071W,5,9,5,19,0.08355712890625,0.029327392578125,0.130126953125,1,YDR423C+YEL047C+YLR044C;YDR423C+YEL047C+YNL071W;YDR423C+YGR193C+YLR044C;YDR423C+YGR193C+YNL071W;YDR423C+YLR044C+YNL071W
