rank,index,gene1,gene2,gene3,ensemble_mean,checkpoint_sd,M01,M02,M03,n_metabolic,n_regulator,n_supported,all_three_positive,outside_label_range,spread_over_mean
342,32963789,YDR483W,YBR028C,YDR099W,0.4104004,0.27872357,0.77001953,0.09082031,0.37036133,1,2,2,True,False,0.67915034
343,29787669,YIL111W,YNL052W,YER111C,0.4102173,0.3174272,0.25805664,0.8520508,0.12054443,2,1,1,True,False,0.7738026
344,21972263,YLR386W,YPL139C,YPL177C,0.41015625,0.1283172,0.43530273,0.24194336,0.55322266,1,2,1,True,False,0.31284958
345,20161059,YPL053C,YPL181W,YPL177C,0.40987143,0.38183674,0.20617676,0.9448242,0.07861328,1,2,2,True,False,0.9316013
346,32870975,YDR001C,YBR028C,YOR304W,0.40970865,0.35989004,0.9013672,0.049926758,0.27783203,1,2,2,True,False,0.8784048
347,21972016,YLR386W,YOR179C,YPL177C,0.4085795,0.45204628,0.12030029,1.046875,0.058563232,1,2,1,True,False,1.1063851
348,1144433,YDR530C,YPL053C,YPL177C,0.40828452,0.18589544,0.5209961,0.5576172,0.14624023,2,1,2,True,False,0.4553086
349,4286598,YKL069W,YDR001C,YPL181W,0.4068502,0.5417505,0.0107421875,1.1728516,0.036956787,2,1,2,True,False,1.3315724
350,21959461,YLR386W,YDR169C,YPL177C,0.40600586,0.26205748,0.087646484,0.4008789,0.7294922,1,2,1,True,False,0.64545244
351,18664415,YNL071W,YBR028C,YPL181W,0.40600586,0.31649897,0.85302734,0.1628418,0.20214844,1,2,3,True,False,0.77954286
352,400655,YKR053C,YPL053C,YOR304W,0.40193686,0.2788122,0.77001953,0.095458984,0.34033203,2,1,3,True,False,0.69367164
353,19954849,YNL071W,YOR123C,YGL096W,0.4012858,0.0806562,0.43115234,0.29101562,0.48168945,1,2,2,True,False,0.2009944
354,23404559,YBR001C,YGL017W,YPL181W,0.40117392,0.56511605,0.016082764,1.2001953,-0.012756348,2,1,1,False,False,1.408656
355,11295883,YGR121C,YOR099W,YPL177C,0.4009908,0.3247477,0.80908203,0.37939453,0.01449585,2,1,1,True,False,0.8098632
