rank,index,gene1,gene2,gene3,ensemble_mean,checkpoint_sd,M01,M02,M03,n_metabolic,n_regulator,n_supported,all_three_positive,outside_label_range,spread_over_mean
459,21971876,YLR386W,YOL116W,YPL177C,0.3611857,0.22133619,0.08380127,0.6254883,0.37426758,1,2,1,True,False,0.6128044
460,5905117,YPL053C,YML106W,YPL181W,0.3611094,0.272125,0.6303711,-0.011642456,0.4645996,2,1,2,False,False,0.7535805
461,19353390,YGR121C,YOR123C,YGL096W,0.36079916,0.13909519,0.4489746,0.16442871,0.46899414,1,2,2,True,False,0.3855197
462,387905,YKL069W,YPL053C,YLR131C,0.3607788,0.49922994,1.0625,0.07727051,-0.057434082,2,1,3,False,False,1.3837563
463,13159170,YKL008C,YOR099W,YGR262C,0.36069742,0.48729447,1.0498047,0.021820068,0.010467529,2,1,1,True,False,1.3509785
464,32871605,YDR001C,YDR099W,YPL089C,0.36035156,0.30236787,0.77685547,0.068237305,0.23596191,1,2,2,True,False,0.8390913
465,3604337,YGR121C,YGR193C,YPL181W,0.3595581,0.36152485,0.14074707,0.8691406,0.06878662,2,1,2,True,False,1.0054699
466,5880733,YPL053C,YBR205W,YBR028C,0.35941568,0.20869793,0.44970703,0.07092285,0.5576172,2,1,2,True,False,0.580659
467,10854302,YGR015C,YLL012W,YPR096C,0.3593038,0.42416823,0.04660034,0.9589844,0.07232666,2,1,1,True,False,1.180528
468,311698,YGR121C,YNL071W,YDR099W,0.35921225,0.22246926,0.6328125,0.3569336,0.087890625,2,1,3,True,False,0.61932534
469,21961016,YLR386W,YDR423C,YPL177C,0.35913086,0.29211798,0.13964844,0.77197266,0.16577148,1,2,1,True,False,0.81340265
470,25737648,YDR001C,YGR193C,YDR099W,0.35907492,0.25427306,0.45751953,0.609375,0.0103302,2,1,1,True,False,0.7081337
471,23428746,YBR001C,YPR026W,YPL181W,0.3588562,0.44853184,0.038330078,0.045074463,0.99316406,2,1,1,True,False,1.249893
472,15259203,YLR386W,YDR001C,YGL096W,0.35847983,0.06518458,0.43847656,0.3581543,0.2788086,2,1,1,True,False,0.18183611
473,1573094,YKL069W,YNL071W,YDR507C,0.35809326,0.27569744,0.7397461,0.09820557,0.23632812,2,1,2,True,False,0.769904
474,32714624,YBR001C,YDR099W,YPL089C,0.35775757,0.23242098,0.6171875,0.053253174,0.40283203,1,2,2,True,False,0.6496605
475,17730142,YPL053C,YBR001C,YDR169C,0.35759482,0.40355325,0.11993408,0.027069092,0.92578125,2,1,1,True,False,1.128521
476,21605700,YKL069W,YJR127C,YPL177C,0.35749307,0.35678107,0.8574219,0.048431396,0.16662598,1,2,1,True,False,0.9980083
477,5902906,YPL053C,YLR211C,YPL181W,0.3568395,0.27134368,0.4584961,0.62646484,-0.014442444,2,1,2,False,False,0.76040816
478,1057719,YDR452W,YLR386W,YPL177C,0.3564453,0.20715436,0.1854248,0.6479492,0.23596191,2,1,2,True,False,0.5811673
479,356244,YJL139C,YKL069W,YBR083W,0.35627237,0.396696,0.9169922,0.09161377,0.06021118,2,1,3,True,False,1.1134627
480,1573228,YKL069W,YNL071W,YPL177C,0.35489908,0.15669395,0.3310547,0.5576172,0.17602539,2,1,2,True,False,0.44151694
481,16161268,YNL071W,YOR099W,YDR169C,0.3545939,0.20626783,0.49194336,0.06304932,0.50878906,2,1,1,True,False,0.5817016
482,4431850,YKR053C,YDR001C,YOR304W,0.3544108,0.29222456,0.7597656,0.08203125,0.22143555,2,1,2,True,False,0.82453626
483,4257989,YKL008C,YGR193C,YPL181W,0.35388184,0.34988675,0.13476562,0.84765625,0.07922363,2,1,2,True,False,0.98871064
484,21972236,YLR386W,YPL116W,YPL177C,0.3536377,0.17836298,0.19885254,0.6035156,0.25854492,1,2,1,True,False,0.5043664
485,19586206,YKL069W,YBR083W,YDR507C,0.35339355,0.41544265,0.94091797,0.06008911,0.059173584,1,2,2,True,False,1.1755807
486,35528853,YDR483W,YOR304W,YGL096W,0.35290527,0.23190925,0.2553711,0.13049316,0.67285156,1,2,1,True,False,0.65714306
487,26955358,YDR483W,YGL017W,YPL181W,0.3527883,0.49036366,0.025817871,1.0458984,-0.01335144,2,1,1,False,False,1.3899658
488,5299720,YNL071W,YBR205W,YDR099W,0.35265097,0.4147988,0.93896484,0.04324341,0.07574463,2,1,2,True,False,1.1762304
489,26970567,YDR483W,YML106W,YPL181W,0.35262552,0.26765278,0.5541992,-0.025619507,0.5292969,2,1,1,False,False,0.7590284
490,5308884,YNL071W,YGL017W,YPL181W,0.35259247,0.4582836,0.06976318,0.99902344,-0.011009216,2,1,2,False,False,1.2997544
491,22117446,YNL071W,YPL177C,YPR096C,0.35249838,0.25571105,0.18371582,0.15991211,0.7138672,1,2,1,True,False,0.72542477
492,28027693,YGL017W,YOR099W,YPL181W,0.35221863,0.5029795,0.004753113,1.0634766,-0.0115737915,2,1,1,False,False,1.4280322
493,19583736,YKL008C,YOR123C,YGL096W,0.3516439,0.15782268,0.39794922,0.1394043,0.5175781,1,2,2,True,False,0.44881395
494,1155581,YDR538W,YLR386W,YGL096W,0.3516439,0.08648561,0.43408203,0.23217773,0.38867188,2,1,2,True,False,0.24594657
495,13085361,YKL008C,YDR001C,YPL139C,0.35101828,0.46511513,1.0087891,0.023284912,0.020980835,2,1,1,True,False,1.3250453
496,28850469,YGR208W,YLL012W,YDR247W,0.35079956,0.32927674,0.21398926,0.8046875,0.033721924,2,1,1,True,False,0.9386464
497,21963505,YLR386W,YGL096W,YLR113W,0.3504232,0.12286207,0.51660156,0.3112793,0.22338867,1,2,1,True,False,0.35061055
498,19842159,YLR386W,YBR083W,YGL096W,0.35017905,0.17703706,0.5966797,0.26489258,0.18896484,1,2,2,True,False,0.50556153
499,5897814,YPL053C,YJR103W,YPL181W,0.350118,0.37790108,0.87841797,0.016052246,0.15588379,2,1,2,True,False,1.0793535
500,29787683,YIL111W,YNL052W,YJL187C,0.3497111,0.205816,0.5996094,0.3540039,0.09552002,2,1,1,True,False,0.5885315
