triple,gene1,gene2,gene3,name1,name2,name3,arm,worst,mean,M01,M02,M03,n_supported,f_a,f_b,f_c,f_ab,f_ac,f_bc,f_expected,f_triple_predicted_worst,f_triple_predicted_mean,rescue_over_worst_double
YGL096W+YNL071W+YPL177C,YGL096W,YNL071W,YPL177C,TOS8,LAT1,CUP9,one chassis gene,0.228759765625,0.5074055790901184,0.7109375,0.58251953125,0.228759765625,1,1.0204,0.9145,0.9402,0.8708,0.93235,0.9284,0.8639934286799997,1.0927531943049997,1.3713990077701181,0.2219531943049997
YLR044C+YNL071W+YPL177C,YLR044C,YNL071W,YPL177C,PDC1,LAT1,CUP9,chassis pair,0.1644287109375,0.2230224609375,0.1644287109375,0.174072265625,0.33056640625,2,0.9695,0.9145,0.9402,0.8593,0.9839,0.9284,0.9405969968999999,1.1050257078374999,1.1636194578374999,0.24572570783749992
YDR423C+YLR044C+YNL071W,YDR423C,YLR044C,YNL071W,CAD1,PDC1,LAT1,chassis pair,0.130126953125,0.2098795622587204,0.130126953125,0.34033203125,0.1591796875,2,0.99786,0.9695,0.9145,0.9551,0.9712,0.8593,0.9030576291699997,1.0331845822949997,1.11293719142872,0.1738845822949997
YGL096W+YLR044C+YNL071W,YGL096W,YLR044C,YNL071W,TOS8,PDC1,LAT1,chassis pair,0.1263427734375,0.1715494841337204,0.1561279296875,0.232177734375,0.1263427734375,2,1.0204,0.9695,0.9145,0.9308,0.8708,0.8593,0.7628978237999999,0.8892405972374999,0.9344473079337203,0.029940597237499977
YDR423C+YGL096W+YLR044C,YDR423C,YGL096W,YLR044C,CAD1,TOS8,PDC1,one chassis gene,0.0811767578125,0.1942545622587204,0.0811767578125,0.367919921875,0.1336669921875,1,0.99786,1.0204,0.9695,0.99495,0.9551,0.9308,0.8936746619839995,0.9748514197964995,1.0879292242427199,0.044051419796499514
YDR423C+YGL096W+YNL071W,YDR423C,YGL096W,YNL071W,CAD1,TOS8,LAT1,one chassis gene,0.0201873779296875,0.0814768448472023,0.0732421875,0.1510009765625,0.0201873779296875,1,0.99786,1.0204,0.9145,0.99495,0.9712,0.8708,0.9075130498239998,0.9277004277536873,0.9889898946712021,0.05690042775368731
