triple,third_gene,arm,f_expected,measured_offset,model_tau,rescue,f_triple_predicted_worst
YLR044C+YNL071W+YPL177C,CUP9,chassis pair,0.9405969969,0.08129699690000003,0.1644287109375,0.24572570783750014,1.1050257078375
YDR423C+YLR044C+YNL071W,CAD1,chassis pair,0.9030576291699997,0.0437576291699997,0.130126953125,0.1738845822949997,1.0331845822949997
YGL096W+YLR044C+YNL071W,TOS8,chassis pair,0.7628978237999999,-0.09640217620000002,0.1263427734375,0.029940597237499977,0.8892405972374999
