n_engineering_genes,triples,share,best_mean,best_worst,consensus_0.08,consensus_0.12,consensus_0.16,consensus_0.2,consensus_0.3
0,33318318,0.7956189176973302,2.3274738788604736,2.078125,2255,686,349,216,120
1,8094624,0.19329415086460347,2.1500651836395264,1.951171875,623,142,82,56,32
2,464290,0.011086931438066393,0.5154215693473816,0.1644287109375,28,3,1,0,0
