idx,gene_1,gene_2,gene_3,gene_interaction,p_value,num_uncharacterized,uncharacterized_genes
18414,YJR030C,YDR191W,YJL181W,-0.014248000457882881,0.47209998965263367,2,"YJL181W,YJR030C"
18620,YLR210W,YJR030C,YJL181W,-0.04174000024795532,0.48899999260902405,2,"YJL181W,YJR030C"
18633,YDL013W,YJR030C,YJL181W,-0.061831001192331314,0.3686000108718872,2,"YJL181W,YJR030C"
19244,YJR030C,YLL043W,YJL181W,-0.018776999786496162,0.40310001373291016,2,"YJL181W,YJR030C"
19488,YJR030C,YLR441C,YJL181W,0.05115700140595436,0.4293000102043152,2,"YJL181W,YJR030C"
19998,YKR090W,YJR030C,YJL181W,-0.0010509999701753259,0.49959999322891235,2,"YJL181W,YJR030C"
20249,YJR030C,YDR098C,YJL181W,0.03863700106739998,0.15070000290870667,2,"YJL181W,YJR030C"
20776,YJR030C,YCR034W,YJL181W,-0.010130000300705433,0.3682999908924103,2,"YJL181W,YJR030C"
20780,YKR003W,YJR030C,YJL181W,0.03788699954748154,0.4341000020503998,2,"YJL181W,YJR030C"
20804,YJR030C,YMR076C,YJL181W,-0.05394899845123291,0.263700008392334,2,"YJL181W,YJR030C"
21055,YJR030C,YOL102C,YJL181W,-0.096049003303051,0.4925000071525574,2,"YJL181W,YJR030C"
21079,YJR030C,YER106W,YJL181W,-0.06164399906992912,0.49869999289512634,2,"YJL181W,YJR030C"
21088,YDR479C,YJR030C,YJL181W,0.012103999964892864,0.38089999556541443,2,"YJL181W,YJR030C"
21101,YJR030C,YDR123C,YJL181W,-0.00710699986666441,0.25679999589920044,2,"YJL181W,YJR030C"
21315,YKR068C,YJR030C,YJL181W,-0.022197000682353973,0.36000001430511475,2,"YJL181W,YJR030C"
21565,YGL244W,YJR030C,YJL181W,0.014440000057220459,0.4875999987125397,2,"YJL181W,YJR030C"
21592,YJR030C,YOL080C,YJL181W,-0.03773000091314316,0.35100001096725464,2,"YJL181W,YJR030C"
21684,YJR030C,YOR264W,YJL181W,0.030285000801086426,0.4745999872684479,2,"YJL181W,YJR030C"
21708,YJR030C,YPR189W,YJL181W,-0.07047100365161896,0.4754999876022339,2,"YJL181W,YJR030C"
21822,YJR030C,YNR017W,YJL181W,0.13374699652194977,0.4284000098705292,2,"YJL181W,YJR030C"
22097,YJR030C,YOL021C,YJL181W,-0.005009999964386225,0.4099999964237213,2,"YJL181W,YJR030C"
22531,YJR030C,YJL181W,YOL117W,0.02353000082075596,0.42730000615119934,2,"YJL181W,YJR030C"
22908,YJR030C,YJL181W,YDR503C,0.05048799887299538,0.47929999232292175,2,"YJL181W,YJR030C"
22997,YJR030C,YHR027C,YJL181W,0.06196799874305725,0.492900013923645,2,"YJL181W,YJR030C"
23529,YJR030C,YJL181W,YML035C,-0.0137320002540946,0.4848000109195709,2,"YJL181W,YJR030C"
23553,YLR080W,YJR030C,YJL181W,-0.04897499829530716,0.4392000138759613,2,"YJL181W,YJR030C"
23581,YJR030C,YML065W,YJL181W,0.06467500329017639,0.4253999888896942,2,"YJL181W,YJR030C"
23771,YJR030C,YJL181W,YNL044W,-0.05416499823331833,0.09594999998807907,2,"YJL181W,YJR030C"
23937,YJR030C,YER074W,YJL181W,-0.08291800320148468,0.38109999895095825,2,"YJL181W,YJR030C"
24247,YJR030C,YML128C,YJL181W,0.006978000048547983,0.4812999963760376,2,"YJL181W,YJR030C"
24996,YJR030C,YMR303C,YJL181W,-0.002366000087931752,0.45509999990463257,2,"YJL181W,YJR030C"
25163,YJR030C,YPR120C,YJL181W,-0.031099999323487282,0.3978999853134155,2,"YJL181W,YJR030C"
25215,YBL050W,YJR030C,YJL181W,0.025624999776482582,0.3930000066757202,2,"YJL181W,YJR030C"
25263,YOR116C,YJR030C,YJL181W,0.03894999995827675,0.38029998540878296,2,"YJL181W,YJR030C"
25267,YGR279C,YJR030C,YJL181W,-0.089028000831604,0.48330000042915344,2,"YJL181W,YJR030C"
25343,YDR404C,YJR030C,YJL181W,-0.06729300320148468,0.07996000349521637,2,"YJL181W,YJR030C"
25475,YJR030C,YJL181W,YLR033W,0.16249699890613556,0.47510001063346863,2,"YJL181W,YJR030C"
25522,YJR030C,YKR020W,YJL181W,0.11722400039434433,0.19480000436306,2,"YJL181W,YJR030C"
26246,YJR030C,YLR172C,YJL181W,0.043733999133110046,0.38580000400543213,2,"YJL181W,YJR030C"
26289,YJR030C,YJL181W,YGL233W,0.00395399983972311,0.4521999955177307,2,"YJL181W,YJR030C"
26728,YJR030C,YJL181W,YBR135W,-0.060731999576091766,0.21870000660419464,2,"YJL181W,YJR030C"
26901,YJR030C,YJL181W,YGR261C,0.0690860003232956,0.31189998984336853,2,"YJL181W,YJR030C"
27181,YJR030C,YJL181W,YKL205W,0.05938800051808357,0.3149999976158142,2,"YJL181W,YJR030C"
27348,YNR032W,YJR030C,YJL181W,0.0016199999954551458,0.28130000829696655,2,"YJL181W,YJR030C"
27668,YJR030C,YMR197C,YJL181W,0.03516700118780136,0.4909000098705292,2,"YJL181W,YJR030C"
27920,YJR030C,YKL062W,YJL181W,0.009820999577641487,0.2614000141620636,2,"YJL181W,YJR030C"
28155,YJR030C,YJL181W,YER053C,-0.07074999809265137,0.4449999928474426,2,"YJL181W,YJR030C"
28516,YJR030C,YBR288C,YJL181W,0.10339400172233582,0.4228000044822693,2,"YJL181W,YJR030C"
28752,YGR028W,YJR030C,YJL181W,0.0376800000667572,0.3939000070095062,2,"YJL181W,YJR030C"
29138,YJR030C,YJL181W,YCR068W,-0.09978999942541122,0.17949999868869781,2,"YJL181W,YJR030C"
29302,YHR108W,YJR030C,YJL181W,0.0055240001529455185,0.35190001130104065,2,"YJL181W,YJR030C"
29675,YPR140W,YJR030C,YJL181W,-0.11293800175189972,0.054110001772642136,2,"YJL181W,YJR030C"
30586,YJR030C,YJL181W,YOL052C,-0.06405799835920334,0.20970000326633453,2,"YJL181W,YJR030C"
30636,YJR030C,YLR143W,YJL181W,0.01510000042617321,0.27059999108314514,2,"YJL181W,YJR030C"
31291,YJR030C,YNL072W,YJL181W,-0.034793999046087265,0.3831000030040741,2,"YJL181W,YJR030C"
31372,YJR030C,YJL181W,YHR152W,-0.05059099942445755,0.4514999985694885,2,"YJL181W,YJR030C"
31549,YJR030C,YJL181W,YCL016C,0.06409399956464767,0.1873999983072281,2,"YJL181W,YJR030C"
31665,YJR030C,YBR176W,YJL181W,0.0165839996188879,0.2881999909877777,2,"YJL181W,YJR030C"
32078,YJR030C,YJL181W,YML111W,-0.008600999601185322,0.46320000290870667,2,"YJL181W,YJR030C"
32239,YJR030C,YLR367W,YJL181W,-0.07329999655485153,0.47040000557899475,2,"YJL181W,YJR030C"
32252,YDR414C,YJR030C,YJL181W,-0.06784500181674957,0.29580000042915344,2,"YJL181W,YJR030C"
32347,YBR254C,YJR030C,YJL181W,0.02095399983227253,0.2703999876976013,2,"YJL181W,YJR030C"
32573,YJR030C,YLR264W,YJL181W,-0.0837789997458458,0.06396999955177307,2,"YJL181W,YJR030C"
32659,YGR214W,YJR030C,YJL181W,-0.0012209999840706587,0.3312999904155731,2,"YJL181W,YJR030C"
32668,YJR030C,YBR216C,YJL181W,-0.028939999639987946,0.4142000079154968,2,"YJL181W,YJR030C"
33369,YJR030C,YDR485C,YJL181W,0.06532199680805206,0.35030001401901245,2,"YJL181W,YJR030C"
33754,YJR030C,YNL049C,YJL181W,-0.021144000813364983,0.4713999927043915,2,"YJL181W,YJR030C"
34129,YOR064C,YJR030C,YJL181W,0.024792000651359558,0.42559999227523804,2,"YJL181W,YJR030C"
34158,YGL087C,YJR030C,YJL181W,-0.09991399943828583,0.30399999022483826,2,"YJL181W,YJR030C"
34340,YLR325C,YJR030C,YJL181W,-0.030912000685930252,0.4212000072002411,2,"YJL181W,YJR030C"
34568,YJR030C,YJL181W,YBR131W,0.07479599863290787,0.40639999508857727,2,"YJL181W,YJR030C"
34729,YJR030C,YJL181W,YCR033W,-0.046181999146938324,0.4027000069618225,2,"YJL181W,YJR030C"
34797,YJR030C,YLR200W,YJL181W,0.019067000597715378,0.28110000491142273,2,"YJL181W,YJR030C"
35002,YJR030C,YLR319C,YJL181W,-0.02993600070476532,0.3813999891281128,2,"YJL181W,YJR030C"
35147,YJR030C,YHR142W,YJL181W,-0.04503700137138367,0.3052999973297119,2,"YJL181W,YJR030C"
35347,YJR030C,YJL181W,YER114C,0.01624399982392788,0.3100999891757965,2,"YJL181W,YJR030C"
35471,YJR030C,YPR070W,YJL181W,0.028293000534176826,0.2808000147342682,2,"YJL181W,YJR030C"
36722,YPR029C,YJR030C,YJL181W,0.067842997610569,0.43709999322891235,2,"YJL181W,YJR030C"
37478,YJR030C,YJL181W,YOR144C,-0.05177599936723709,0.41909998655319214,2,"YJL181W,YJR030C"
38252,YJR030C,YJL181W,YLR089C,-0.031911998987197876,0.28600001335144043,2,"YJL181W,YJR030C"
38442,YJR030C,YKR048C,YJL181W,0.06519900262355804,0.2280000001192093,2,"YJL181W,YJR030C"
39972,YDR520C,YJR030C,YJL181W,-0.08760099858045578,0.2971000075340271,3,"YDR520C,YJL181W,YJR030C"
40126,YDR101C,YJR030C,YJL181W,0.11962000280618668,0.39100000262260437,2,"YJL181W,YJR030C"
40161,YJR030C,YMR126C,YJL181W,-0.0009340000106021762,0.4244000017642975,3,"YJL181W,YJR030C,YMR126C"
40262,YJR030C,YJL181W,YGR206W,0.0143630001693964,0.4147000014781952,2,"YJL181W,YJR030C"
40600,YJR030C,YKL110C,YJL181W,0.019096000120043755,0.490200012922287,2,"YJL181W,YJR030C"
41519,YJR030C,YPR003C,YJL181W,0.11144399642944336,0.25459998846054077,3,"YJL181W,YJR030C,YPR003C"
42303,YJR030C,YGL194C,YJL181W,0.034035999327898026,0.4934000074863434,2,"YJL181W,YJR030C"
42583,YLR005W,YJR030C,YJL181W,0.23531599342823029,0.3125999867916107,2,"YJL181W,YJR030C"
43535,YJR030C,YPL086C,YJL181W,-0.08216500282287598,0.3714999854564667,2,"YJL181W,YJR030C"
43873,YJR030C,YJL181W,YDR225W,-0.12530800700187683,0.18330000340938568,2,"YJL181W,YJR030C"
44075,YJR030C,YJL181W,YBR202W,-0.016621999442577362,0.4900999963283539,2,"YJL181W,YJR030C"
44207,YJR030C,YMR250W,YJL181W,0.05100199952721596,0.4973999857902527,2,"YJL181W,YJR030C"
44420,YJR030C,YJL181W,YDR393W,0.0845469981431961,0.3555999994277954,2,"YJL181W,YJR030C"
44766,YJR030C,YJL181W,YNL037C,0.09006000310182571,0.4154999852180481,2,"YJL181W,YJR030C"
45072,YJR030C,YJL181W,YPR162C,-0.018772000446915627,0.4691999852657318,2,"YJL181W,YJR030C"
45103,YJR030C,YLL038C,YJL181W,0.030419999733567238,0.37279999256134033,2,"YJL181W,YJR030C"
45172,YJR030C,YJL181W,YGR098C,0.04939800128340721,0.4853000044822693,2,"YJL181W,YJR030C"
45282,YJR030C,YMR086W,YJL181W,-0.0727280005812645,0.31060001254081726,2,"YJL181W,YJR030C"
45640,YJR030C,YPL076W,YJL181W,0.005499000195413828,0.27059999108314514,2,"YJL181W,YJR030C"
45695,YJR030C,YBL105C,YJL181W,-0.015887999907135963,0.07616999745368958,2,"YJL181W,YJR030C"
46339,YJR030C,YBR147W,YJL181W,-0.040796998888254166,0.32030001282691956,2,"YJL181W,YJR030C"
46350,YJR030C,YDR348C,YJL181W,0.01155600044876337,0.4731999933719635,2,"YJL181W,YJR030C"
46473,YJR030C,YLR190W,YJL181W,0.02349100075662136,0.42910000681877136,2,"YJL181W,YJR030C"
46949,YJR030C,YJL181W,YOR138C,-0.05536700040102005,0.3901999890804291,2,"YJL181W,YJR030C"
46959,YFL013C,YJR030C,YJL181W,-0.0211350005120039,0.07812000066041946,2,"YJL181W,YJR030C"
47595,YLL041C,YJR030C,YJL181W,0.006053999997675419,0.28999999165534973,2,"YJL181W,YJR030C"
47846,YJR030C,YJL181W,YGR202C,-0.007449999917298555,0.46230000257492065,2,"YJL181W,YJR030C"
48155,YJR030C,YDR180W,YJL181W,-0.020692000165581703,0.42419999837875366,2,"YJL181W,YJR030C"
48229,YJR030C,YLR032W,YJL181W,0.00133500003721565,0.4569000005722046,2,"YJL181W,YJR030C"
48529,YJR030C,YOL092W,YJL181W,-0.03892999887466431,0.3756999969482422,2,"YJL181W,YJR030C"
49436,YJR030C,YMR143W,YJL181W,-0.05422699823975563,0.2087000012397766,2,"YJL181W,YJR030C"
49624,YJR030C,YOR359W,YJL181W,-0.08003900200128555,0.32659998536109924,2,"YJL181W,YJR030C"
49638,YJR030C,YHR129C,YJL181W,0.0029670000076293945,0.34769999980926514,2,"YJL181W,YJR030C"
49947,YJR030C,YLR119W,YJL181W,0.01658499985933304,0.42890000343322754,2,"YJL181W,YJR030C"
50136,YJR030C,YKL039W,YJL181W,0.008981999941170216,0.46129998564720154,2,"YJL181W,YJR030C"
50385,YJR030C,YJL181W,YDR052C,-0.04162599891424179,0.27309998869895935,2,"YJL181W,YJR030C"
50908,YJR030C,YJL181W,YBR194W,0.06422799825668335,0.39160001277923584,2,"YJL181W,YJR030C"
51208,YJR030C,YOR010C,YJL181W,-0.024700000882148743,0.4778999984264374,2,"YJL181W,YJR030C"
51632,YJR030C,YMR164C,YJL181W,0.032370999455451965,0.4350000023841858,2,"YJL181W,YJR030C"
52451,YJR030C,YIL103W,YJL181W,0.020316999405622482,0.42559999227523804,2,"YJL181W,YJR030C"
52502,YJR030C,YGR089W,YJL181W,0.04644500091671944,0.4205999970436096,2,"YJL181W,YJR030C"
52935,YMR219W,YJR030C,YJL181W,0.03888700157403946,0.3273000121116638,2,"YJL181W,YJR030C"
53162,YJR030C,YJL181W,YIL048W,0.0828159973025322,0.3163999915122986,2,"YJL181W,YJR030C"
53603,YJR030C,YDL002C,YJL181W,0.07535699754953384,0.33410000801086426,2,"YJL181W,YJR030C"
53995,YGR004W,YJR030C,YJL181W,0.025760000571608543,0.4133000075817108,2,"YJL181W,YJR030C"
54348,YJR030C,YJL181W,YLR002C,-0.006029000040143728,0.4884999990463257,2,"YJL181W,YJR030C"
54946,YJR030C,YHL032C,YJL181W,-0.07201600074768066,0.38760000467300415,2,"YJL181W,YJR030C"
55026,YJR030C,YJL181W,YPR119W,0.0491660013794899,0.3538999855518341,2,"YJL181W,YJR030C"
56204,YJR030C,YMR273C,YJL181W,-0.07113700360059738,0.34700000286102295,2,"YJL181W,YJR030C"
56375,YER157W,YJR030C,YJL181W,0.04373300075531006,0.4903999865055084,2,"YJL181W,YJR030C"
56466,YJR030C,YLR401C,YJL181W,-0.057447999715805054,0.19699999690055847,2,"YJL181W,YJR030C"
56883,YJR030C,YPL167C,YJL181W,-0.03586500138044357,0.3774000108242035,2,"YJL181W,YJR030C"
56888,YJR030C,YJL181W,YBR072W,-0.06433399766683578,0.24390000104904175,2,"YJL181W,YJR030C"
57144,YBR086C,YJR030C,YJL181W,-0.019068999215960503,0.4602000117301941,2,"YJL181W,YJR030C"
57289,YFL038C,YJR030C,YJL181W,-0.06575799733400345,0.415800005197525,2,"YJL181W,YJR030C"
57299,YJR030C,YLR375W,YJL181W,9.300000237999484e-05,0.4009999930858612,2,"YJL181W,YJR030C"
57540,YJR030C,YOR368W,YJL181W,0.05650100111961365,0.13079999387264252,2,"YJL181W,YJR030C"
57607,YJR030C,YJL181W,YGR231C,-0.03945799916982651,0.3709000051021576,2,"YJL181W,YJR030C"
57776,YJR030C,YJL181W,YGL195W,-0.02263299934566021,0.2985999882221222,2,"YJL181W,YJR030C"
57926,YJR030C,YLR377C,YJL181W,-0.051587000489234924,0.41370001435279846,2,"YJL181W,YJR030C"
57998,YJR030C,YJL181W,YPL239W,-0.048962000757455826,0.37860000133514404,2,"YJL181W,YJR030C"
58027,YLR077W,YJR030C,YJL181W,-0.07317200303077698,0.4893999993801117,2,"YJL181W,YJR030C"
58067,YJR030C,YJL181W,YHR031C,-0.017449000850319862,0.4250999987125397,2,"YJL181W,YJR030C"
58096,YJR030C,YHR203C,YJL181W,-0.05628899857401848,0.4251999855041504,2,"YJL181W,YJR030C"
58471,YJR030C,YJL181W,YHR178W,0.06496299803256989,0.2890999913215637,2,"YJL181W,YJR030C"
58681,YJR030C,YJR153W,YJL181W,-0.0032289999071508646,0.3212999999523163,2,"YJL181W,YJR030C"
58978,YJR030C,YDL103C,YJL181W,0.06690800189971924,0.4287000000476837,2,"YJL181W,YJR030C"
59057,YJR030C,YHR206W,YJL181W,0.017038999125361443,0.46700000762939453,2,"YJL181W,YJR030C"
59706,YJR030C,YOR106W,YJL181W,-0.011013000272214413,0.24079999327659607,2,"YJL181W,YJR030C"
60255,YJR030C,YKL041W,YJL181W,0.03901999816298485,0.34040001034736633,2,"YJL181W,YJR030C"
60461,YJR030C,YGR068C,YJL181W,-0.04340999945998192,0.39559999108314514,2,"YJL181W,YJR030C"
60810,YMR190C,YJR030C,YJL181W,0.09760399907827377,0.4510999917984009,2,"YJL181W,YJR030C"
61275,YFR010W,YJR030C,YJL181W,0.08817099779844284,0.33489999175071716,2,"YJL181W,YJR030C"
61507,YJR030C,YOR304W,YJL181W,-0.02505199983716011,0.3727000057697296,2,"YJL181W,YJR030C"
62301,YJR030C,YCL011C,YJL181W,-0.014891999773681164,0.414000004529953,2,"YJL181W,YJR030C"
62400,YPR108W,YJR030C,YJL181W,0.019948000088334084,0.4909000098705292,2,"YJL181W,YJR030C"
62682,YJR030C,YGL215W,YJL181W,0.25390899181365967,0.4498000144958496,2,"YJL181W,YJR030C"
62897,YJR030C,YLR238W,YDR200C,-0.031286001205444336,0.15860000252723694,1,YJR030C
63084,YJR030C,YDR488C,YJL181W,0.1617330014705658,0.3472000062465668,2,"YJL181W,YJR030C"
63257,YJR030C,YPL158C,YJL181W,0.07463099807500839,0.310699999332428,2,"YJL181W,YJR030C"
63858,YAL048C,YJR030C,YJL181W,0.05621400102972984,0.30070000886917114,2,"YJL181W,YJR030C"
64196,YJR030C,YHL023C,YJL181W,-0.026277000084519386,0.3458000123500824,2,"YJL181W,YJR030C"
64203,YOR069W,YJR030C,YJL181W,-0.008852999657392502,0.49410000443458557,2,"YJL181W,YJR030C"
64879,YJR030C,YMR074C,YJL181W,0.06280700117349625,0.4880000054836273,2,"YJL181W,YJR030C"
64972,YJR030C,YPR020W,YJL181W,-0.12773600220680237,0.31850001215934753,2,"YJL181W,YJR030C"
65264,YMR243C,YJR030C,YJL181W,0.06130199879407883,0.4169999957084656,2,"YJL181W,YJR030C"
65518,YJR030C,YPL101W,YJL181W,0.037137001752853394,0.328900009393692,2,"YJL181W,YJR030C"
65547,YJR030C,YPL079W,YJL181W,-0.03673499822616577,0.3257000148296356,2,"YJL181W,YJR030C"
65555,YNL141W,YJR030C,YJL181W,-0.20444899797439575,0.02249000035226345,2,"YJL181W,YJR030C"
65873,YJR030C,YJL181W,YLR185W,-0.08003699779510498,0.2401999980211258,2,"YJL181W,YJR030C"
65877,YJR030C,YKL145W,YJL181W,-0.008492999710142612,0.2678999900817871,2,"YJL181W,YJR030C"
66228,YJR030C,YLR135W,YJL181W,0.00443299999460578,0.38029998540878296,2,"YJL181W,YJR030C"
66356,YJR030C,YJL181W,YDR513W,0.018307000398635864,0.3483000099658966,2,"YJL181W,YJR030C"
66617,YJR030C,YJL181W,YPL149W,0.010592999868094921,0.4016999900341034,2,"YJL181W,YJR030C"
67026,YJR030C,YJL181W,YGR224W,-0.04535200074315071,0.33329999446868896,2,"YJL181W,YJR030C"
67027,YJR030C,YOR216C,YJL181W,0.07102099806070328,0.3944000005722046,2,"YJL181W,YJR030C"
67372,YJR030C,YGL247W,YJL181W,0.020896000787615776,0.3666999936103821,2,"YJL181W,YJR030C"
67794,YLR448W,YJR030C,YJL181W,-0.12605099380016327,0.3626999855041504,2,"YJL181W,YJR030C"
67927,YJR030C,YGR129W,YJL181W,0.01701599918305874,0.45019999146461487,2,"YJL181W,YJR030C"
