run_id,cell_dataset.is_pert,cell_dataset.size,cell_dataset.aggregation,cell_dataset.node_embeddings,random_forest.max_depth,random_forest.n_estimators,random_forest.min_samples_split,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse,val_rmse,test_rmse,fold_1_val_r2,fold_1_train_r2,fold_2_val_r2,fold_2_train_r2,fold_3_val_r2,fold_3_train_r2,fold_4_val_r2,fold_4_train_r2,fold_5_val_r2,fold_5_train_r2,fold_1_val_pearson,fold_1_train_pearson,fold_2_val_pearson,fold_2_train_pearson,fold_3_val_pearson,fold_3_train_pearson,fold_4_val_pearson,fold_4_train_pearson,fold_5_val_pearson,fold_5_train_pearson,fold_1_val_spearman,fold_1_train_spearman,fold_2_val_spearman,fold_2_train_spearman,fold_3_val_spearman,fold_3_train_spearman,fold_4_val_spearman,fold_4_train_spearman,fold_5_val_spearman,fold_5_train_spearman,fold_1_val_mse,fold_1_train_mse,fold_2_val_mse,fold_2_train_mse,fold_3_val_mse,fold_3_train_mse,fold_4_val_mse,fold_4_train_mse,fold_5_val_mse,fold_5_train_mse,fold_1_val_mae,fold_1_train_mae,fold_2_val_mae,fold_2_train_mae,fold_3_val_mae,fold_3_train_mae,fold_4_val_mae,fold_4_train_mae,fold_5_val_mae,fold_5_train_mae,fold_1_val_rmse,fold_1_train_rmse,fold_2_val_rmse,fold_2_train_rmse,fold_3_val_rmse,fold_3_train_rmse,fold_4_val_rmse,fold_4_train_rmse,fold_5_val_rmse,fold_5_train_rmse,fold_val_r2_mean,fold_val_r2_std,fold_train_r2_mean,fold_train_r2_std,fold_val_pearson_mean,fold_val_pearson_std,fold_train_pearson_mean,fold_train_pearson_std,fold_val_spearman_mean,fold_val_spearman_std,fold_train_spearman_mean,fold_train_spearman_std,fold_val_mse_mean,fold_val_mse_std,fold_train_mse_mean,fold_train_mse_std,fold_val_mae_mean,fold_val_mae_std,fold_train_mae_mean,fold_train_mae_std,fold_val_rmse_mean,fold_val_rmse_std,fold_train_rmse_mean,fold_train_rmse_std
hqf41acj,False,100000,mean,['nt_window_five_prime_1003'],10,500,10,95834.0,0.04815710685567853,0.05692118546743108,0.22885664044539433,0.25738699394344383,0.300675803392822,0.3144628674422598,0.03698386999575889,0.03729663654271424,0.003552952084021233,0.003664890035791503,0.059606644629782955,0.06053833525784718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htt4w9on,False,100000,mean,['nt_window_five_prime_1003'],500,100,2,10116204.0,0.11865997206684642,0.1309554277026025,0.34647995458284847,0.36200298757188615,0.42640735799184176,0.4432772161865863,0.03583085442852266,0.03591108916924091,0.003289785437838682,0.0033771862378755937,0.057356651208370614,0.05811356328668544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kkcmoxbs,False,100000,mean,['nt_window_five_prime_1003'],500,200,2,20224774.0,0.1254469651094754,0.1347840956117854,0.3554380397556799,0.3672344296200466,0.43756471459409346,0.447542127555039,0.03557747045812398,0.03579128766615994,0.0032644515710327972,0.0033623076862057907,0.05713537932868563,0.05798540925272314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kck5b1r5,False,100000,mean,['nt_window_five_prime_1003'],500,500,2,50564870.0,0.12892855082168808,0.13767552601196598,0.36033007637798864,0.3713680542126279,0.4382216469894045,0.452041201292555,0.035550467275306544,0.03567291737451943,0.003251455826355814,0.0033510713247272873,0.05702153826718299,0.057888438610203395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2iyxspm1,False,100000,mean,['nt_window_five_prime_1003'],500,100,5,3762708.0,0.11867230306359622,0.12881457589297465,0.34601956414184165,0.35907886409344314,0.4268164283392199,0.43904391466278225,0.035783770336606444,0.03595187457551727,0.003289739409821962,0.0033855057826944436,0.05735624996303334,0.05818509931842038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u5111ewg,False,100000,mean,['nt_window_five_prime_1003'],500,200,5,7524562.0,0.12256402789019728,0.13479909512603985,0.351329323172312,0.3672437044207051,0.43479126375322336,0.45013358783649166,0.035673021196551566,0.035760790151592975,0.0032752127353752655,0.0033622493967293593,0.05722947435871891,0.05798490662861638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4dow39e1,False,100000,mean,['nt_window_five_prime_1003'],500,500,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1u0o550,False,100000,mean,['nt_window_five_prime_1003'],500,100,10,1937294.0,0.12164366174385276,0.13311079932188352,0.3499743903666376,0.36487534451581466,0.4303543571410396,0.4447538584083508,0.03571189869459171,0.03584657681128375,0.003278648193938091,0.0033688102677560164,0.05725948125802478,0.05804145301210176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02kj4d9s,False,100000,mean,['nt_window_five_prime_1003'],500,200,10,3877720.0,0.12460221959081352,0.13581261409401724,0.353869912757692,0.3687023398919016,0.4346369268310616,0.4461879004668553,0.03557941548785111,0.03576257145727765,0.0032676047598338216,0.0033583107698515334,0.05716296668153099,0.057950934158575336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wkdmu534,False,100000,mean,['nt_window_five_prime_1003'],500,500,10,9692534.0,0.12689124128838247,0.138767998704179,0.35721645169512317,0.3729912557028023,0.4379110941974323,0.45431465031141727,0.03550192819527776,0.035609085630100776,0.003259060509023815,0.00334682587649712,0.0570881818682625,0.057851757764973054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
