run_id,cell_dataset.is_pert,cell_dataset.size,cell_dataset.aggregation,cell_dataset.node_embeddings,random_forest.max_depth,random_forest.n_estimators,random_forest.min_samples_split,num_params,val_r2,test_r2,val_pearson,test_pearson,val_spearman,test_spearman,val_mae,test_mae,val_mse,test_mse,val_rmse,test_rmse,fold_1_val_r2,fold_1_train_r2,fold_2_val_r2,fold_2_train_r2,fold_3_val_r2,fold_3_train_r2,fold_4_val_r2,fold_4_train_r2,fold_5_val_r2,fold_5_train_r2,fold_1_val_pearson,fold_1_train_pearson,fold_2_val_pearson,fold_2_train_pearson,fold_3_val_pearson,fold_3_train_pearson,fold_4_val_pearson,fold_4_train_pearson,fold_5_val_pearson,fold_5_train_pearson,fold_1_val_spearman,fold_1_train_spearman,fold_2_val_spearman,fold_2_train_spearman,fold_3_val_spearman,fold_3_train_spearman,fold_4_val_spearman,fold_4_train_spearman,fold_5_val_spearman,fold_5_train_spearman,fold_1_val_mse,fold_1_train_mse,fold_2_val_mse,fold_2_train_mse,fold_3_val_mse,fold_3_train_mse,fold_4_val_mse,fold_4_train_mse,fold_5_val_mse,fold_5_train_mse,fold_1_val_mae,fold_1_train_mae,fold_2_val_mae,fold_2_train_mae,fold_3_val_mae,fold_3_train_mae,fold_4_val_mae,fold_4_train_mae,fold_5_val_mae,fold_5_train_mae,fold_1_val_rmse,fold_1_train_rmse,fold_2_val_rmse,fold_2_train_rmse,fold_3_val_rmse,fold_3_train_rmse,fold_4_val_rmse,fold_4_train_rmse,fold_5_val_rmse,fold_5_train_rmse,fold_val_r2_mean,fold_val_r2_std,fold_train_r2_mean,fold_train_r2_std,fold_val_pearson_mean,fold_val_pearson_std,fold_train_pearson_mean,fold_train_pearson_std,fold_val_spearman_mean,fold_val_spearman_std,fold_train_spearman_mean,fold_train_spearman_std,fold_val_mse_mean,fold_val_mse_std,fold_train_mse_mean,fold_train_mse_std,fold_val_mae_mean,fold_val_mae_std,fold_train_mae_mean,fold_train_mae_std,fold_val_rmse_mean,fold_val_rmse_std,fold_train_rmse_mean,fold_train_rmse_std
59x6g1ax,True,10000,sum,['one_hot_gene'],10,200,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5a62gx4,True,10000,sum,['one_hot_gene'],5,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wxc9y39r,True,10000,sum,['one_hot_gene'],5,200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uo9nmzc6,True,10000,sum,['one_hot_gene'],5,500,2,13508.0,-0.001685794388105677,0.004989449881820707,0.036012792240038755,0.11738344008367256,0.07929334453479253,0.10145026119173284,0.03737978896722068,0.03842889143189082,0.0035598253202957075,0.003623413160937828,0.05966427172350055,0.06019479347034781,-0.0030426782523604867,0.08481312644423133,0.0068544449173236766,0.07676111228346072,0.004460259960756829,0.07788619066514857,0.007311501252581953,0.07253999050491078,0.009808035795043857,0.0756417518959196,0.022123108476837107,0.40120933842811835,0.09312099126725952,0.4136303922949787,0.0880586704876311,0.4166011012939743,0.08990501876480203,0.3892204543588357,0.1257510738714917,0.4304926442855748,0.05642848514459662,0.17036810540168573,0.0634169943894444,0.1710964227373948,0.08688748965297688,0.16891459697924494,0.07981931055632467,0.1679156689498339,0.09373853753329651,0.16783351056849088,0.003790982046431397,0.00317225618661628,0.003257042794072714,0.0033150275825573165,0.0035952383079670123,0.003234638182907287,0.0039270450296933984,0.0031739170875892102,0.0029793645047367823,0.003380515024067329,0.03909161518253484,0.03685979244579729,0.03668230063795997,0.03736044417448288,0.037929804735961685,0.03710626342989549,0.03847271340027865,0.036977940670700746,0.036046787447479925,0.037703435715320824,0.06157095131985048,0.05632278567876664,0.057070507217587566,0.0575762762130143,0.05996030610301295,0.056873879618918974,0.06266613941909457,0.056337528234643115,0.054583555259224203,0.05814219658791134,0.0050783127346691655,0.004920481189817625,0.0775284343587342,0.004533973266372628,0.08379177257360429,0.03776976176494817,0.4102307861322963,0.015696350635212464,0.07605816345532782,0.015725294805522497,0.16922566092733002,0.0014625193596582925,0.003509934536580261,0.0003891350638885892,0.003255270812747485,9.109410816593653e-05,0.03764464428084301,0.0012589669861628391,0.03720157528723944,0.0003365321363469731,0.05917029186375396,0.0033187153648726727,0.05705053326665088,0.0007964505149777069
up9johgf,True,10000,sum,['one_hot_gene'],5,100,5,1954.0,-0.007752594208124242,0.00020491243324505248,0.015060290376076734,0.06360542891402422,0.05454156138455664,0.10306475318579825,0.03748873983514974,0.038473026300221896,0.0035813857215048115,0.00364083644952317,0.05984467997662626,0.060339344125729194,-0.003495716557936346,0.07153333595693823,0.0011381410188611163,0.06057497734704265,0.0016466070756011586,0.05968173513376118,0.005595570374430259,0.05942812004682107,0.007819078604489271,0.06425273924642605,0.035433927146416966,0.34351968216826523,0.062451076740567435,0.3314673209008142,0.05368590365005853,0.34375387891805986,0.07531173123387455,0.33227367532565233,0.10434851466520503,0.3784196825058529,0.04831533051882849,0.12551791034362594,0.0716700540823136,0.13324885155781857,0.043328133492509135,0.14838707699464984,0.07907509223131912,0.14810901881272875,0.10458230889203948,0.1638863570749486,0.003792694296687563,0.0032182871107341144,0.0032757895390245835,0.003373146325694244,0.003605399381635086,0.0032984967070555575,0.00393383319922981,0.0032187880138514037,0.0029853490296260924,0.0034221663302030974,0.039051700398424656,0.03696082657235287,0.036802827074126555,0.037508501111668605,0.038032526117967494,0.03722803163864899,0.038534408852885706,0.03707254115174078,0.03607065928971433,0.037770751171289904,0.06158485444236726,0.05672994897524688,0.05723451353007714,0.058078794113637075,0.060044977988463664,0.05743254048930412,0.06272027741671596,0.05673436360664852,0.054638347610685416,0.0584992848691597,0.002540736103089092,0.004370309268356935,0.06309418154619784,0.005098842279014979,0.06624623068722449,0.02576591936429901,0.34588684796372887,0.019116613090388274,0.06939418384340197,0.02480353178164514,0.14382984295675433,0.014904929903122172,0.003518613089240627,0.0003867796344104332,0.003306176897507683,9.132205338774151e-05,0.03769842434662375,0.0012342572377448992,0.037308130329140224,0.0003304180890504795,0.05924459419766189,0.0032960483148374463,0.05749498641079927,0.0007932804750622574
okavdyv3,True,10000,sum,['one_hot_gene'],5,200,5,3878.0,-0.006726216061527346,0.003713463126151839,0.024761873421591637,0.08738823304695774,0.07439939733088494,0.11426950070646552,0.03747277499189054,0.03845553235282892,0.0035777381436566244,0.0036280597721753912,0.059814196840354085,0.060233377559085886,-0.004150345778839437,0.07138000853439486,0.002050490025293561,0.060984711068354125,0.001417032635928961,0.06409536271161265,0.0054935345343060105,0.06138998071207402,0.010263799168676702,0.06565358693108225,0.02897075805630246,0.3494317048037955,0.06575090782871326,0.3377747763016824,0.05037526119787146,0.36281660361125634,0.074783656690828,0.3322888738069677,0.12252726428967722,0.38544772487596063,0.06115629776715602,0.13324035098160925,0.07368726189630569,0.15997069215797877,0.08224545448548665,0.14452175901572886,0.06749303312484335,0.16210662414777408,0.1081385476871348,0.17126391888447212,0.0037951684562396145,0.003218818580184557,0.003272797470297222,0.0033716751153653433,0.003606228454334893,0.00328301435754086,0.003934236849860714,0.0032120742116117733,0.002977993169412878,0.0034170432227346205,0.039079392122841054,0.036950431165997645,0.03676966458211957,0.03751546589989363,0.03799568794109533,0.03721376869958405,0.038539326588459655,0.03705791419444346,0.03605896630962731,0.03776404227355763,0.06160493857021217,0.05673463298713192,0.05720836888338298,0.058066127091147925,0.06005188135549871,0.057297594692455114,0.06272349519805727,0.05667516397516441,0.05457099201419082,0.058455480690305,0.003014902117073159,0.005327151727141032,0.06470072999150359,0.004202886661951574,0.06848156961267848,0.034846278720596285,0.35355193667993257,0.02133769142297303,0.0785441189921853,0.018286483948979654,0.1542206690375126,0.015165470818362033,0.0035172848800290647,0.0003903808490247286,0.0033005250974874312,9.143978722440367e-05,0.03768860750882859,0.0012502489479685624,0.037300324446695274,0.0003354101979168079,0.05923193520426838,0.003328425300802058,0.05744579988724087,0.0007946483518729129
kf7m0q90,True,10000,sum,['one_hot_gene'],5,500,5,9486.0,-0.008375816540962866,0.000930948333947912,0.022583257220554973,0.06807971144965765,0.06640151340212878,0.12605672582518437,0.03748696549796401,0.03848872937404301,0.0035836005503993035,0.003638192529780201,0.059863181926784546,0.060317431392427526,-0.005436253395224577,0.0705547269529978,0.0007592642829711282,0.06090415442037922,0.001700138709007648,0.06304126493396911,0.0058644345680630705,0.06024997667361842,0.007864945902905651,0.06401496637393,0.025985518954720697,0.350915984035384,0.05992110265253101,0.34324098200492636,0.05301827190284797,0.35403087902546193,0.07710903637047462,0.33232080167639844,0.1042615325340073,0.3837854600773509,0.07731814588457406,0.16315887022239112,0.07688155190262004,0.16116545201741805,0.07942090647395095,0.1527975746660526,0.07260906126380377,0.16459814756447808,0.09420378215297824,0.1649163126969487,0.003800028521312398,0.0032216792031654305,0.003277032073652219,0.003371964366082084,0.0036052060603929794,0.003286711975866892,0.0039327695807869646,0.0032159754884976033,0.0029852110206280698,0.003423035900815398,0.039081681508326555,0.03696317626383588,0.03680972631878371,0.037514923596282446,0.03800369126191437,0.03722662914418459,0.03851941927339104,0.037076211041407896,0.0361060984942639,0.037781356009686975,0.06164437136764717,0.05675983794167695,0.05724536726803505,0.05806861773868984,0.06004336816329493,0.05732985239704435,0.06271179777989916,0.05670957140111009,0.0546370846644298,0.05850671671539429,0.0021505060135445842,0.005151344269839208,0.06375301787097891,0.004099566327324339,0.06405909248291633,0.029048050285925112,0.35285882136390434,0.019208841745265687,0.08008668953558541,0.008270251459568214,0.1613272714334577,0.0049929078312750475,0.003520049451354526,0.0003876491409004333,0.0033038733868854817,9.166859410481044e-05,0.03770412337133592,0.0012253310109025374,0.037312459211079556,0.0003339291131031799,0.05925639784866123,0.0033031737306157493,0.057474919238783104,0.0007961197937820914
9il3hqja,True,10000,sum,['one_hot_gene'],5,100,10,1472.0,-0.011196318946139485,-0.0036620931963724512,0.01588423861772023,0.038113236437335586,0.06789004912998416,0.10412472079677396,0.03752617154727902,0.038583708573922154,0.003593624148551692,0.003654918470151105,0.05994684435857898,0.06045592171285709,-0.0030603460122045067,0.06405161156524619,0.001996961514950102,0.05441202923057131,-0.0018194472373715964,0.052434543618294915,0.005128482959410152,0.0579795363880764,0.011019932299025648,0.05406766534195684,0.03850019828376764,0.3234419201682292,0.07015649457487856,0.29327058197469785,0.0338884435828377,0.29466229205320693,0.0726859348599752,0.3129016202956854,0.12401351949092965,0.3335245749971479,0.036990577709150305,0.12196162749153056,0.09119739218439268,0.14643355612987816,0.06763303802519469,0.14514774828712912,0.060951665904952754,0.14855849889472753,0.08554424685265877,0.1523890628643849,0.00379104882141697,0.0032442205535903146,0.003272973018229748,0.0033952753144833783,0.0036179165024915606,0.0033239187776909363,0.00393568098261191,0.0032237452997507655,0.0029757180588375,0.0034594146540276693,0.03910829910452132,0.03702546509194079,0.036799438753284355,0.03752452128217541,0.03805718267627705,0.03727195583330159,0.03855614084797436,0.03712312938911681,0.03603643176884556,0.03784748011666085,0.06157149357792915,0.05695805960169566,0.057209903148229053,0.05826899101995313,0.06014911888375058,0.057653436824624225,0.06273500603819139,0.05677803536360487,0.054550142610606436,0.05881678887892189,0.00265311670476196,0.005683508277261967,0.05658907722882913,0.004636270074283205,0.06784891815847774,0.03604804181231017,0.31156019789779343,0.01764552260540081,0.06846338413526984,0.021542074661682748,0.14289809873353004,0.012020968558112638,0.003518667476717538,0.0003915041722202839,0.003329314919908613,9.961404105411825e-05,0.03771149863018053,0.0012670508780146185,0.03735851034263909,0.0003318380958136928,0.05924313285174132,0.0033389157350227705,0.057695062337759964,0.0008621932429898195
bshljz0y,True,10000,sum,['one_hot_gene'],5,200,10,3096.0,-0.011916131299017252,0.0022283515726855274,0.014054539825628713,0.07541651476219206,0.06396952845426641,0.11173534805776826,0.03758062429471399,0.03852143835300895,0.003596182242371123,0.003633467928649362,0.05996817691385259,0.06027825419377507,-0.00544971695191987,0.061940058841448375,-0.001920357641507442,0.05215932377530397,0.0004550384545287667,0.05015294758064193,0.004611388546551409,0.056667593540464134,0.007103351361322341,0.05825271439425417,0.030402837169735235,0.3210216956247514,0.05547824395727021,0.29093070423673995,0.044598206707594734,0.29959467888551755,0.07003405679007157,0.31185894759275656,0.09832358268984154,0.34668788911136394,0.05318096454442569,0.12771307311495195,0.09038745720855997,0.14455038123516595,0.1026211544914497,0.1618023672212983,0.06258483749910847,0.16263108212407965,0.09691415558959383,0.1516888297638201,0.0038000794065865943,0.003251539699422694,0.0032858199529668835,0.003403363991010056,0.003609702548028908,0.0033319222774614104,0.00393772659213238,0.003228234978852125,0.0029875025639108073,0.003444109309777463,0.039107810270313424,0.03702762200086166,0.03684372107426699,0.03756569480648533,0.038014626546764144,0.03727710926957366,0.03852919063192459,0.03711597130449511,0.036137088807020074,0.037819593203483125,0.06164478409879131,0.057022273713196445,0.05732207212729564,0.05833835780179329,0.06008080016135694,0.057722805523132796,0.0627513074934091,0.056817558719572996,0.05465805122679373,0.058686534313907676,0.0009599407537950411,0.005017701713885583,0.05583452762642251,0.004733038470232362,0.05976738546290265,0.025994048838966523,0.3140187830902259,0.02157597233507549,0.08113771386662752,0.021919062141107427,0.1496771466918632,0.014383815010206958,0.003524166212725115,0.00038707026303984895,0.00333183405130475,9.341068525658292e-05,0.03772648746605785,0.0012186953876693067,0.03736119811697978,0.00032803395419265234,0.05929140302152934,0.0032969191041971008,0.057717506014320644,0.0008089737260956358
ri1o9fvp,True,10000,sum,['one_hot_gene'],5,500,10,7678.0,-0.008158559077972916,0.0014654325234408905,0.019860171803184584,0.07018131911795743,0.05794617743739793,0.08717005072822548,0.03750784555065494,0.03851863145475488,0.0035828284533783537,0.0036362461614263255,0.05985673273223618,0.060301294856962444,-0.006061079973653571,0.06411395271461251,-0.0005730216148147615,0.05231061404820758,-0.00014606778221137873,0.05166331615240449,0.00575249101475539,0.05705773756334798,0.008434628843328129,0.056940355903828954,0.031718236025487546,0.319187535678439,0.05670123617724157,0.30182838615411595,0.04020071210162737,0.3072867368837938,0.07663494354507286,0.31148794608474595,0.1066234485997569,0.34194607769439034,0.07942863998920498,0.13269598162885923,0.07148310011669705,0.1537503598203329,0.08602625067177823,0.1548205766994203,0.0827036983976637,0.16304546711619092,0.08784202789751813,0.16826419889965177,0.0038023900423047896,0.0032440044642838874,0.00328140133469439,0.0034028207606128956,0.003611873350541925,0.0033266241290083355,0.003933212426025101,0.0032268998433549884,0.0029834969154918893,0.0034489087991561155,0.03910642204732657,0.037004469607331114,0.0368324676146416,0.03755805337831644,0.0380520857961507,0.037277594334481384,0.03852338152559808,0.037095030529875846,0.03611994993534388,0.03782694749078971,0.06166352278539387,0.05695616265413153,0.05728351712922654,0.058333701756470895,0.06009886313851474,0.05767689423857994,0.06271532847737546,0.05680580818327461,0.05462139613276,0.058727410969291974,0.0014813900974807615,0.005708500536700584,0.0564171952764803,0.0049846625421246585,0.06237571528983725,0.030103982327680162,0.3163473364990971,0.01565144036398797,0.08149674341457243,0.006457281071954772,0.15451531683289102,0.013588202176009645,0.0035224748138116186,0.00038847896236783987,0.003329851599283244,9.679659930416706e-05,0.03772686138381216,0.001227345458348777,0.0373524190681589,0.00033925621626515386,0.059276525532654126,0.0033106522371398133,0.05769999556034979,0.0008382359593657563
00eg7wct,True,10000,sum,['one_hot_gene'],10,100,2,8378.0,-0.009781159956594232,0.013020173659551104,0.02739114165643118,0.2045334112753758,0.10393859432430348,0.1900194650087848,0.03734753149304237,0.038196004072030075,0.0035885949080139397,0.0035941686165210595,0.05990488217177244,0.05995138544288246,0.0012321178977063862,0.14917942912014293,0.008282098780408864,0.1404794137050276,0.008971385569596757,0.13838140636420115,0.00946881949797862,0.1359474143418935,0.013194026257867586,0.1398917178908129,0.0530654435160939,0.4753794334802223,0.10285809992202292,0.4824348600515712,0.1174081493808869,0.4870374982701808,0.10611446872881476,0.4766567897579814,0.12363847489165986,0.5128167535715864,0.13525031838951726,0.2612068800938994,0.11188061576490436,0.2484018738155072,0.12188096372868916,0.2483121404469968,0.11258211974336256,0.24233974977111228,0.1334282217898699,0.2748795813431715,0.00377482553005535,0.0029491472153523536,0.0032523607716809367,0.0030862374725039708,0.003578947073224025,0.0030224299580629828,0.003918510745369825,0.002956926701010956,0.0029691764804314004,0.003145543382079994,0.03891808544181673,0.03613201284123759,0.03658889489964147,0.03672085852773128,0.03779477783765752,0.03646353965306488,0.038296070458994906,0.03625425032817385,0.03593546436370417,0.036956886973569934,0.06143960880454359,0.054306051369551384,0.05702947283362294,0.055553915006090894,0.05982430169441198,0.05497663101776047,0.06259800911666301,0.05437763052037994,0.05449015030655908,0.05608514404082416,0.008229689600711642,0.004350257196964334,0.14077587628441562,0.005013403467655789,0.10061692728789566,0.027876182571413218,0.4868650670263084,0.015242007771773832,0.12300444788326866,0.01109327711285954,0.25502804509413746,0.013060090472968857,0.0034987641201523075,0.0003872996629437977,0.0030320569458020512,8.429999506421194e-05,0.03750665860036296,0.0012256886886456836,0.036505509664755506,0.0003370864951968003,0.05907630855116012,0.0033079238429173973,0.05505987439092137,0.0007641808179454007
ii17sgxz,True,10000,sum,['one_hot_gene'],10,200,2,16486.0,-0.0019173300427277609,0.01322207517185736,0.05591346209984267,0.17259447372214137,0.10957106620257676,0.16158772353428086,0.0372593136603056,0.03822758327184311,0.003560648159643628,0.003593433375475809,0.05967116690365313,0.059945253152153835,-0.0021960538058893864,0.14717605283930224,0.011985948932481172,0.14186173919631628,0.008485750068163656,0.1380827823503683,0.01021268857523372,0.1340558032983632,0.01211390625428188,0.14059829852176542,0.037527216927584,0.4748610363808947,0.12206512790973316,0.48969599998123226,0.1212640123717092,0.5000239693735591,0.11054607245622326,0.4823094927356351,0.11870491167625193,0.5162533833662541,0.13042849331577683,0.2641664868646816,0.10582298086476756,0.2604334502163647,0.1019407122426759,0.26326754781835077,0.09979614870826846,0.23487452070916823,0.1196991793092155,0.25488620815651813,0.0037877822443230422,0.002956091395808445,0.0032402139132608455,0.0030812740256727523,0.00358070087097638,0.0030234774867169277,0.003915568022283718,0.0029634000977640964,0.0029724264272254276,0.0031429593120578473,0.03895042850600771,0.0361538668624493,0.03654598463239878,0.03669293590264465,0.03775603365868082,0.036451298822880514,0.038274143299590176,0.03627877508705834,0.03593720554105513,0.03697753320227744,0.061544961161114096,0.05436994938206624,0.0569228768884782,0.05550922468989053,0.05983895780322699,0.05498615722813268,0.0625744997765361,0.054437120586637355,0.054519963565884996,0.05606210228004162,0.008120448004854208,0.0059546396201676805,0.14035493524122308,0.004839914026230309,0.1020214682683003,0.03634053663575913,0.492628776367515,0.016152339704209925,0.11153750288814086,0.013096717450997683,0.2555256427530167,0.012099231105458283,0.0034993382956138826,0.0003898232061328095,0.0030334404636040138,7.94830483045334e-05,0.03749275912754653,0.0012370128965653756,0.036510881975462046,0.00033007217033795364,0.05908025183904808,0.0033283138089239056,0.05507291083335368,0.0007202047846691284
f46ofe4k,True,10000,sum,['one_hot_gene'],10,500,2,41088.0,-0.0013211279589855351,0.01416405928441955,0.05853694399279598,0.1898053647757496,0.10133983089216902,0.1770245056763083,0.037275759723168114,0.03819410716339311,0.0035585293562368013,0.0035900030624701363,0.05965341026493625,0.05991663427187926,-0.002711029104669027,0.1477207808117812,0.01113425604211704,0.1414137857905975,0.0072962903637565635,0.13989208216289883,0.010649792483830356,0.1339532011212492,0.013999396424620005,0.14050419362041966,0.03625984814979485,0.4761037449978566,0.1172198508498373,0.49108969244127865,0.1084937524347598,0.4966032285162347,0.11288173484885589,0.48131091990940345,0.129714225282102,0.516181594163726,0.13375199394088144,0.28320522036253454,0.1537120565505642,0.2755776501093416,0.11868627071760232,0.26828757408827675,0.11404876454855768,0.26048376520118605,0.15508978104968785,0.27622541535062056,0.0037897285843486034,0.00295420323861274,0.003243007058915203,0.0030828824695061045,0.0035849964213427563,0.0030171307319034847,0.003913838852726621,0.0029637512188904333,0.002966753221735373,0.0031433034676203583,0.03897412265965751,0.03615695595860176,0.03656017973714557,0.03671576153082473,0.03777456400920114,0.03644552800334924,0.038302470001152625,0.036283598707872185,0.035897682949276755,0.036962747700151975,0.0615607714729811,0.054352582630568164,0.056947406077144574,0.055523710876580507,0.05987483963521536,0.05492841461305328,0.06256068136398948,0.05444034550671435,0.05446791001805901,0.05606517160965761,0.008073741241930988,0.006481355596710759,0.1406968087013893,0.004899264458061624,0.10091388231306997,0.03700058250900203,0.4922578360056999,0.01559954188566501,0.1350577733614587,0.01910741494377358,0.27275592502239193,0.008656779647437423,0.003499664827813711,0.0003914162033088478,0.0030322542253066243,8.04805749759484e-05,0.037501803871286724,0.0012592703146432002,0.03651291838015998,0.00032685240608053203,0.0590823217134779,0.003343667290343149,0.05506204504731479,0.0007292294855717593
