idx,num_genes,genes,num_uncharacterized,uncharacterized_genes,gene_interaction,p_value,abs_score
256572,3,"YCR095C,YDR067C,YMR272C",2,"YCR095C,YDR067C",-0.19800500571727753,0.001551999943330884,0.19800500571727753
276696,3,"YBR231C,YCR095C,YDR067C",2,"YCR095C,YDR067C",-0.15257500112056732,0.019680000841617584,0.15257500112056732
293583,3,"YCR095C,YJR053W,YPL241C",1,YCR095C,-0.16098299622535706,0.00304599991068244,0.16098299622535706
334784,3,"YCR095C,YGL096W,YPL177C",1,YCR095C,-0.24862900376319885,0.010259999893605709,0.24862900376319885
365000,3,"YCR095C,YDR146C,YLR131C",1,YCR095C,0.17250600457191467,0.003944000229239464,0.17250600457191467
11068,3,"YHR130C,YKR077W,YOR066W",1,YHR130C,-0.18498599529266357,9.052999777776904e-13,0.18498599529266357
327264,3,"YDR157W,YIL149C,YKR095W",1,YDR157W,-0.1562180072069168,0.03869999945163727,0.1562180072069168
51171,3,"YJL147C,YOL001W,YOR335C",1,YJL147C,-0.12648899853229523,0.001075000036507845,0.12648899853229523
121309,3,"YDR378C,YJL147C,YOR335C",1,YJL147C,-0.1169779971241951,0.007809000089764595,0.1169779971241951
250585,3,"YJL147C,YML065W,YOR335C",1,YJL147C,-0.11589699983596802,0.0005247999797575176,0.11589699983596802
261055,3,"YBL021C,YJL147C,YOR335C",1,YJL147C,-0.15565699338912964,0.001069999998435378,0.15565699338912964
262305,3,"YJL147C,YMR202W,YOR335C",1,YJL147C,-0.13504299521446228,0.049389999359846115,0.13504299521446228
265341,3,"YCR009C,YJL147C,YOR335C",1,YJL147C,-0.21184399724006653,0.00038919999497011304,0.21184399724006653
286290,3,"YJL147C,YOR335C,YPL262W",1,YJL147C,-0.22839200496673584,0.021409999579191208,0.22839200496673584
294055,3,"YHR027C,YJL147C,YOR335C",1,YJL147C,-0.16075800359249115,0.005313999950885773,0.16075800359249115
362617,3,"YJL147C,YLR222C,YOR335C",1,YJL147C,-0.18684600293636322,0.04089999943971634,0.18684600293636322
8690,3,"YDL013W,YNL309W,YOL131W",1,YOL131W,0.13339799642562866,0.0010100000072270632,0.13339799642562866
105989,3,"YJR141W,YNL309W,YOL131W",1,YOL131W,0.12361899763345718,6.075000055716373e-05,0.12361899763345718
128193,3,"YCR063W,YNL309W,YOL131W",1,YOL131W,0.1082879975438118,0.007823999971151352,0.1082879975438118
169476,3,"YJL183W,YNL309W,YOL131W",1,YOL131W,-0.3439269959926605,0.013330000452697277,0.3439269959926605
177051,3,"YDL008W,YNL309W,YOL131W",1,YOL131W,0.12100200355052948,0.023150000721216202,0.12100200355052948
206418,3,"YGL113W,YNL309W,YOL131W",1,YOL131W,-0.15831400454044342,0.024900000542402267,0.15831400454044342
18756,3,"YDR085C,YER158C,YGL212W",1,YER158C,-0.14744700491428375,0.025369999930262566,0.14744700491428375
28488,3,"YDR085C,YER158C,YOR174W",1,YER158C,0.13051000237464905,0.005597999785095453,0.13051000237464905
321759,3,"YDR085C,YER158C,YGR157W",1,YER158C,-0.15895800292491913,3.4539999660410103e-07,0.15895800292491913
54248,3,"YDL008W,YHL015W-A,YKL214C",1,YHL015W-A,-0.16788700222969055,0.007160999812185764,0.16788700222969055
64956,3,"YBR131W,YHL015W-A,YKL214C",1,YHL015W-A,-0.1421480029821396,0.03443000093102455,0.1421480029821396
270754,3,"YDR159W,YHL015W-A,YKL214C",1,YHL015W-A,-0.12598399817943573,0.000440200004959479,0.12598399817943573
370515,3,"YAL010C,YHL015W-A,YKL214C",1,YHL015W-A,-0.11717399954795837,0.02353999949991703,0.11717399954795837
367873,3,"YIL149C,YKR095W,YLR261C",1,YLR261C,-0.2777400016784668,0.0005389000289142132,0.2777400016784668
11219,3,"YBL059W,YER093C-A,YJL104W",1,YBL059W,-0.13072699308395386,0.0033340000081807375,0.13072699308395386
22377,3,"YBL059W,YER093C-A,YGR157W",1,YBL059W,-0.2932420074939728,0.00019200000679120421,0.2932420074939728
