gene,count
YMR310C,208
YGL082W,206
YJR115W,198
YBL059W,161
YHL029C,149
YJR030C,116
YJL181W,116
YPR157W,85
YGR273C,80
YOL024W,79
YOL131W,77
YOR338W,76
YML082W,76
YPR078C,65
YNL144C,64
YHR131C,62
YLR225C,61
YDR222W,60
YLR177W,59
YGR174W-A,54
YKL121W,50
YOR268C,49
YCR095C,47
YPR172W,47
YNL195C,45
YLR456W,44
YDR067C,44
YNL042W-B,44
YJL147C,37
YKL133C,36
YPL077C,34
YNL058C,30
YLR287C,30
YLR031W,28
YDR169C-A,27
YLR046C,26
YOR114W,26
YGR035C,26
YEL025C,23
YHL015W-A,23
YJR039W,23
YJR124C,22
YNR066C,22
YPL245W,21
YDR391C,21
YIL046W-A,20
YER158C,20
YPR003C,18
YPL071C,16
YJR015W,16
YDR210W,14
YGR126W,12
YGR015C,9
YHR078W,9
YML020W,8
YDL027C,6
YIL067C,6
YDR307W,5
YDR520C,5
YPR089W,4
YLR049C,4
YOL029C,4
YCR050C,4
YMR126C,4
YDR274C,4
YHR130C,3
YDR525W,3
YBR062C,3
YML122C,3
YJL016W,3
YLR261C,3
YNL140C,3
YHR022C,3
YLR271W,3
YPL261C,3
YPL041C,3
YBR032W,2
YOR183W,2
YHL026C,2
YLR112W,2
YPL039W,2
YOR376W,2
YGL149W,2
YDR157W,2
YNR065C,2
YLR278C,2
YPR071W,2
YCR006C,2
YMR244W,2
YOR235W,2
YJL132W,2
YGL007W,2
YIL012W,2
YAL064C-A,2
YPL150W,2
YBR013C,2
YPL056C,2
YDR248C,2
YLR111W,2
YMR221C,2
YGR164W,2
YHR180W,1
YBL071C,1
YIR042C,1
YBL081W,1
YJR061W,1
YML119W,1
YGR210C,1
YGR161C,1
YMR320W,1
YPL216W,1
YMR206W,1
YHL012W,1
YLR407W,1
YBR220C,1
YJL160C,1
YJR154W,1
YOL014W,1
YMR187C,1
YGL034C,1
YMR118C,1
YGR039W,1
YGR016W,1
YPR064W,1
YBR047W,1
YPL108W,1
YGR018C,1
YFL015C,1
YHR021W-A,1
YMR130W,1
YLR326W,1
YDR249C,1
YGL260W,1
YHL041W,1
YPR114W,1
YHR140W,1
YGL081W,1
YHR048W,1
YJR107W,1
YNL050C,1
YGL140C,1
YFL019C,1
YBR225W,1
YLR267W,1
YML037C,1
YNL011C,1
YCR090C,1
YCR022C,1
YCR051W,1
YPR038W,1
YBL095W,1
YLR036C,1
YFL054C,1
YGL159W,1
YOR296W,1
YLR104W,1
YNR014W,1
YOR029W,1
YDR056C,1
YPL034W,1
YGR237C,1
YIL077C,1
YHL008C,1
YOR062C,1
YML002W,1
YHR033W,1
YDR387C,1
YPL080C,1
YAR029W,1
YBR287W,1
YMR122C,1
YIL163C,1
YDL114W,1
YLR345W,1
YJL107C,1
YFR032C,1
YPR084W,1
YLR236C,1
