gene_set,ffa_type,p_value,significant_p05,interaction_score,physical_triangle,physical_connected,regulatory_triangle,regulatory_connected,genetic_triangle,genetic_connected,tflink_triangle,tflink_connected,string12_0_neighborhood_triangle,string12_0_neighborhood_connected,string12_0_fusion_triangle,string12_0_fusion_connected,string12_0_cooccurence_triangle,string12_0_cooccurence_connected,string12_0_coexpression_triangle,string12_0_coexpression_connected,string12_0_experimental_triangle,string12_0_experimental_connected,string12_0_database_triangle,string12_0_database_connected
MED4_RGR1_RPD3,C14:0,0.0080231629698119,True,7.170770765186385,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
MED4_RGR1_RPD3,C16:1,0.0339825639739468,True,0.9538017937023836,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
SPT3_TFC7_YAP6,C14:0,0.3766803082238166,False,0.95165864109652,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPT3_TFC7_YAP6,C16:1,0.3655078260230766,False,0.3762383100730937,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MED4_OPI1_SPT3,C14:0,0.0051253019595005,True,2.915260243562624,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MED4_OPI1_SPT3,C16:1,0.2943889791421172,False,0.4248680356212988,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GCN5_MED4_TFC7,C14:0,0.2135523617866288,False,3.5494428888931218,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
RGR1_RPD3_YAP6,C14:0,0.0469294728343805,True,4.00234689121912,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
RGR1_RPD3_YAP6,C16:1,0.0738553686307552,False,0.7711259757907214,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
RGR1_SPT3_TFC7,C14:0,0.1437599594604421,False,3.2166507998227027,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RGR1_SPT3_TFC7,C16:1,0.1877795971801557,False,0.6329940350424659,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GCN5_MED4_SPT3,C14:0,0.0129548441556277,True,3.142873293219342,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
GCN5_MED4_SPT3,C16:1,0.3834083909535537,False,0.7111300735983885,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
GCN5_MED4_RGR1,C14:0,0.0232064603471904,True,8.88109483652321,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True
GCN5_MED4_RGR1,C16:1,0.0144704333270888,True,2.3582547883949765,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True
FKH1_GCN5_YAP6,C14:0,0.2162844096043561,False,2.748416201248512,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True
MED4_RGR1_TFC7,C14:0,0.0769867073585945,False,6.364661075322463,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
MED4_RGR1_TFC7,C16:1,0.1107786531023753,False,1.3492807654560934,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
RFX1_TFC7_YAP6,C14:0,0.1936801582999276,False,2.3864602188739363,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
RFX1_TFC7_YAP6,C16:1,0.4962147742100879,False,0.2415733246590914,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
MED4_RPD3_TFC7,C14:0,0.1022524450797133,False,3.2280198579830004,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MED4_RPD3_TFC7,C16:1,0.0347110402088994,True,1.0366808114819108,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RGR1_TFC7_YAP6,C14:0,0.1898954449730241,False,3.027657523665616,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RGR1_TFC7_YAP6,C16:1,0.2033227319817738,False,0.753790289706215,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
