gene_set,ffa_type,p_value,significant_p05,interaction_score,physical_edge,regulatory_edge,genetic_edge,tflink_edge,string12_0_neighborhood_edge,string12_0_fusion_edge,string12_0_cooccurence_edge,string12_0_coexpression_edge,string12_0_experimental_edge,string12_0_database_edge
GCN5:MED4,C16:0,2.6464577302421694e-05,True,0.8859136445801076,False,False,False,False,False,False,False,False,True,False
GCN5:OPI1,C16:0,0.4337715722897123,False,0.154503858721087,False,False,False,False,False,False,False,True,True,False
GCN5:RFX1,C16:0,0.2689334144315942,False,0.2183119797408614,False,False,False,False,False,False,False,False,False,False
GCN5:RGR1,C16:0,0.510100114999162,False,0.1299966498218017,False,False,True,False,False,False,False,False,True,False
GCN5:RPD3,C16:0,0.0062146255487819,True,0.5428540132343367,True,True,True,False,False,False,False,True,True,False
GCN5:SPT3,C16:0,0.0807901927167193,False,0.3452806393245548,True,False,True,False,False,False,False,True,True,True
GCN5:YAP6,C16:0,0.1409015172246774,False,0.2909731056556331,False,False,False,True,False,False,False,False,False,False
GCN5:TFC7,C16:0,1.271818961662343e-07,True,1.0642014751175417,False,False,False,False,False,False,False,False,False,False
MED4:OPI1,C16:0,2.136297793401888e-15,True,1.546674166425594,False,True,False,False,False,False,False,False,False,False
MED4:RFX1,C16:0,3.025721055234365e-09,True,1.1320738408180926,False,False,False,False,False,False,False,False,False,False
MED4:RGR1,C16:0,2.5519160207385818e-11,True,1.2823684573638938,True,False,True,False,False,False,False,True,True,True
MED4:RPD3,C16:0,1.1525726610179613e-15,True,1.5629900585337273,False,False,False,False,False,False,False,False,False,False
MED4:SPT3,C16:0,6.165745080957101e-10,True,1.1836966546440064,False,False,True,False,False,False,False,False,False,False
MED4:YAP6,C16:0,8.641388133260812e-11,True,1.2452519480579574,False,False,False,False,False,False,False,False,False,False
MED4:TFC7,C16:0,6.155031148165062e-13,True,1.3912988908352804,False,False,False,False,False,False,False,False,False,False
OPI1:RFX1,C16:0,0.0011561307522253,True,0.6089994240447794,False,False,False,False,False,False,False,False,False,False
OPI1:RGR1,C16:0,0.1703147833203577,False,0.2553293188027077,False,False,False,False,False,False,False,False,False,False
OPI1:RPD3,C16:0,8.3200179394845e-09,True,1.0983060236995872,False,False,False,False,False,False,False,True,True,False
OPI1:SPT3,C16:0,0.0011395656536575,True,0.6097803872727432,False,False,True,False,False,False,False,False,False,False
OPI1:YAP6,C16:0,0.0017160365233525,True,0.5873045824380525,False,False,False,False,False,False,False,False,False,False
OPI1:TFC7,C16:0,0.0042970396379466,True,0.5342020379743411,False,False,False,False,False,False,False,False,False,False
RFX1:RGR1,C16:0,0.0267556420643529,True,0.4133932743863422,False,False,False,False,False,False,False,False,False,False
RFX1:RPD3,C16:0,2.3434900045614685e-08,True,1.0628947305415477,False,False,True,False,False,False,False,False,True,False
RFX1:SPT3,C16:0,0.0302254499437062,True,0.4043830520584252,False,False,False,False,False,False,False,False,False,False
RFX1:YAP6,C16:0,0.0501511814823299,False,0.3652530932217827,False,False,False,True,False,False,False,True,False,False
RFX1:TFC7,C16:0,0.0137392801077717,True,0.4602511835885401,False,False,False,False,False,False,False,False,False,False
RGR1:RPD3,C16:0,2.8396601509824466e-06,True,0.8849636360854833,False,False,True,False,False,False,False,False,False,False
RGR1:SPT3,C16:0,0.0115485966396318,True,0.4718720878154198,False,False,True,False,False,False,False,False,False,False
RGR1:YAP6,C16:0,0.0126331046829995,True,0.4658949139771662,False,False,False,True,False,False,False,False,False,False
RGR1:TFC7,C16:0,4.6963273652801365e-05,True,0.766245445792985,False,False,False,False,False,False,False,False,False,False
RPD3:SPT3,C16:0,1.0428935204053688e-06,True,0.9243391569335188,False,False,True,False,False,False,False,True,True,False
RPD3:YAP6,C16:0,1.2415170569415324e-07,True,1.0038804107439032,False,True,True,False,False,False,False,False,True,False
RPD3:TFC7,C16:0,4.840988956528551e-08,True,1.0375364203664306,False,False,True,False,False,False,False,False,False,False
SPT3:YAP6,C16:0,0.0003263940234613,True,0.6746344439793073,False,False,False,False,False,False,False,False,False,False
SPT3:TFC7,C16:0,6.542422038986894e-05,True,0.7512268486718432,False,False,False,False,False,False,False,False,False,False
YAP6:TFC7,C16:0,1.7816049223125705e-06,True,0.903458920192888,False,False,False,False,False,False,False,False,False,False
FKH1:GCN5,C18:0,0.0007726500844422,True,0.7020620764185218,False,False,True,False,False,False,False,True,True,True
FKH1:MED4,C18:0,0.1113990672518752,False,0.3112431255154259,False,False,False,False,False,False,False,False,False,False
FKH1:OPI1,C18:0,0.0014737162105143,True,0.62520120961179,False,False,False,True,False,False,False,False,False,False
FKH1:RFX1,C18:0,0.1087656633916704,False,0.3135647907257034,False,False,False,False,False,False,False,False,True,False
FKH1:RGR1,C18:0,0.013212958259685,True,0.4857733979303955,False,False,False,False,False,False,False,False,False,False
FKH1:RPD3,C18:0,9.691545426607756e-06,True,0.875977613280414,False,True,False,True,False,False,False,True,True,False
FKH1:SPT3,C18:0,0.0322623612480323,True,0.4192574029663026,False,True,False,False,False,False,False,False,False,False
FKH1:YAP6,C18:0,0.0010967179472108,True,0.6421060038883984,False,True,False,True,False,False,False,False,True,False
FKH1:TFC7,C18:0,0.0062270548903319,True,0.5368082094815043,False,False,False,False,False,False,False,False,False,False
GCN5:MED4,C18:0,5.326644948361102e-06,True,1.009371649743708,False,False,False,False,False,False,False,False,True,False
GCN5:OPI1,C18:0,0.0351541585633679,True,0.4376075302621883,False,False,False,False,False,False,False,True,True,False
GCN5:RFX1,C18:0,0.2386136073448331,False,0.2442529056263688,False,False,False,False,False,False,False,False,False,False
GCN5:RGR1,C18:0,0.0601651596833025,False,0.3901905405658955,False,False,True,False,False,False,False,False,True,False
GCN5:RPD3,C18:0,1.2188301021131295e-06,True,1.0225058620342171,True,True,True,False,False,False,False,True,True,False
GCN5:SPT3,C18:0,0.0105703119032238,True,0.5319188349128243,True,False,True,False,False,False,False,True,True,True
GCN5:YAP6,C18:0,0.1028918141939995,False,0.3383658979361715,False,False,False,True,False,False,False,False,False,False
GCN5:TFC7,C18:0,2.7164618380130517e-09,True,1.2644960757772483,False,False,False,False,False,False,False,False,False,False
MED4:OPI1,C18:0,5.435199639104208e-11,True,1.321733459190353,False,True,False,False,False,False,False,False,False,False
MED4:RFX1,C18:0,1.9195065382053302e-05,True,0.845473929767622,False,False,False,False,False,False,False,False,False,False
MED4:RGR1,C18:0,2.670967783857148e-07,True,1.0240926668229002,True,False,True,False,False,False,False,True,True,True
MED4:RPD3,C18:0,1.8779427622792235e-10,True,1.281597264858698,False,False,False,False,False,False,False,False,False,False
MED4:SPT3,C18:0,5.1050448066489004e-06,True,0.9038304407810274,False,False,True,False,False,False,False,False,False,False
MED4:YAP6,C18:0,6.826157641650328e-07,True,0.9871139317277896,False,False,False,False,False,False,False,False,False,False
MED4:TFC7,C18:0,6.853091325536039e-08,True,1.075911758020278,False,False,False,False,False,False,False,False,False,False
OPI1:RFX1,C18:0,0.0026539540704403,True,0.5903979730574376,False,False,False,False,False,False,False,False,False,False
OPI1:RGR1,C18:0,0.2006904436565404,False,0.2500087328106433,False,False,False,False,False,False,False,False,False,False
OPI1:RPD3,C18:0,1.249538154140717e-07,True,1.0532769041506087,False,False,False,False,False,False,False,True,True,False
OPI1:SPT3,C18:0,0.0030733443036682,True,0.5814597079252859,False,False,True,False,False,False,False,False,False,False
OPI1:YAP6,C18:0,0.0026880643018516,True,0.5896242523803086,False,False,False,False,False,False,False,False,False,False
OPI1:TFC7,C18:0,0.0197398353789747,True,0.4567713997484096,False,False,False,False,False,False,False,False,False,False
RFX1:RGR1,C18:0,0.0683957594683937,False,0.3565077771099545,False,False,False,False,False,False,False,False,False,False
RFX1:RPD3,C18:0,4.664477780610862e-07,True,1.0022504978048778,False,False,True,False,False,False,False,False,True,False
RFX1:SPT3,C18:0,0.1052610336996027,False,0.316724863990697,False,False,False,False,False,False,False,False,False,False
RFX1:YAP6,C18:0,0.1515404750353635,False,0.2802871936087359,False,False,False,True,False,False,False,True,False,False
RFX1:TFC7,C18:0,0.0637254539887686,False,0.3627415437528274,False,False,False,False,False,False,False,False,False,False
RGR1:RPD3,C18:0,2.619820184671921e-06,True,0.9321026180649136,False,False,True,False,False,False,False,False,False,False
RGR1:SPT3,C18:0,0.0233483221604067,True,0.4442194514226861,False,False,True,False,False,False,False,False,False,False
RGR1:YAP6,C18:0,0.0140346081453006,True,0.4815007278683279,False,False,False,True,False,False,False,False,False,False
RGR1:TFC7,C18:0,0.0001219201816214,True,0.7580668437884164,False,False,False,False,False,False,False,False,False,False
RPD3:SPT3,C18:0,1.611166334433727e-05,True,0.8533738915219117,False,False,True,False,False,False,False,True,True,False
