graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_triangle,0,461,0,259,0.0,0.0,,,1.0
regulatory_triangle,4,457,2,257,0.8676789587852495,0.7722007722007722,1.123644251626898,1.12472647702407,1.0
genetic_triangle,15,446,15,244,3.2537960954446854,5.7915057915057915,0.561822125813449,0.547085201793722,0.12025996813955181
tflink_triangle,0,461,0,259,0.0,0.0,,,1.0
string12_0_neighborhood_triangle,0,461,0,259,0.0,0.0,,,1.0
string12_0_fusion_triangle,0,461,0,259,0.0,0.0,,,1.0
string12_0_cooccurence_triangle,0,461,0,259,0.0,0.0,,,1.0
string12_0_coexpression_triangle,10,451,8,251,2.1691973969631237,3.088803088803089,0.7022776572668114,0.6956762749445676,0.4630880443822343
string12_0_experimental_triangle,25,436,11,248,5.422993492407809,4.2471042471042475,1.2768684677578386,1.292743953294412,0.5940092919240042
string12_0_database_triangle,0,461,0,259,0.0,0.0,,,1.0
