gene_set,ffa_type,p_value,significant_p05,interaction_score,physical_edge,regulatory_edge,genetic_edge,tflink_edge,string12_0_neighborhood_edge,string12_0_fusion_edge,string12_0_cooccurence_edge,string12_0_coexpression_edge,string12_0_experimental_edge,string12_0_database_edge
GCN5:RGR1,C16:1,0.0133722124839702,True,-0.3866288817775892,False,False,True,False,False,False,False,False,True,False
GCN5:RPD3,C16:1,0.0643582355555296,False,-0.2890988168170278,True,True,True,False,False,False,False,True,True,False
GCN5:SPT3,C16:1,0.4238659948138827,False,-0.1249947913275379,True,False,True,False,False,False,False,True,True,True
GCN5:YAP6,C16:1,0.3046634474662314,False,-0.1604351730483213,False,False,False,True,False,False,False,False,False,False
MED4:OPI1,C16:1,0.1266336942378026,False,-0.2250153834370143,False,True,False,False,False,False,False,False,False,False
MED4:RFX1,C16:1,0.0758997255794304,False,-0.2614707749000701,False,False,False,False,False,False,False,False,False,False
MED4:RGR1,C16:1,0.0025576197485033,True,-0.4443469331846806,True,False,True,False,False,False,False,True,True,True
MED4:RPD3,C16:1,0.8170519084692762,False,-0.0340780917880714,False,False,False,False,False,False,False,False,False,False
MED4:SPT3,C16:1,0.0322207055574705,True,-0.3154847813645909,False,False,True,False,False,False,False,False,False,False
MED4:YAP6,C16:1,0.0457487846627678,True,-0.2942785524700924,False,False,False,False,False,False,False,False,False,False
MED4:TFC7,C16:1,0.155101235143356,False,-0.2094345064474727,False,False,False,False,False,False,False,False,False,False
OPI1:RFX1,C16:1,0.2692019585552514,False,-0.1627613819204454,False,False,False,False,False,False,False,False,False,False
OPI1:RGR1,C16:1,0.0038506388965871,True,-0.4257426775430789,False,False,False,False,False,False,False,False,False,False
OPI1:SPT3,C16:1,0.1790630921794923,False,-0.1979302527772277,False,False,True,False,False,False,False,False,False,False
OPI1:YAP6,C16:1,0.1088712794631739,False,-0.2361776644558177,False,False,False,False,False,False,False,False,False,False
OPI1:TFC7,C16:1,0.3885941025232878,False,-0.1270048517063615,False,False,False,False,False,False,False,False,False,False
RFX1:RGR1,C16:1,0.0426923259565266,True,-0.2985510578408052,False,False,False,False,False,False,False,False,False,False
RFX1:SPT3,C16:1,0.5983671161954647,False,-0.0775947208279256,False,False,False,False,False,False,False,False,False,False
RFX1:YAP6,C16:1,0.4757154132067475,False,-0.1050619226409026,False,False,False,True,False,False,False,True,False,False
RFX1:TFC7,C16:1,0.7338756708717626,False,-0.0500811124348976,False,False,False,False,False,False,False,False,False,False
RGR1:RPD3,C16:1,0.1482288780472729,False,-0.2129808137709941,False,False,True,False,False,False,False,False,False,False
RGR1:SPT3,C16:1,0.0303635571312416,True,-0.3189691198324167,False,False,True,False,False,False,False,False,False,False
RGR1:YAP6,C16:1,0.0164227360042853,True,-0.3534492484622048,False,False,False,True,False,False,False,False,False,False
RGR1:TFC7,C16:1,0.045398709883629,True,-0.2947554755793352,False,False,False,False,False,False,False,False,False,False
RPD3:YAP6,C16:1,0.3027029623263439,False,-0.1518240388894242,False,True,True,False,False,False,False,False,True,False
RPD3:TFC7,C16:1,0.0721065516858728,False,-0.264926028298737,False,False,True,False,False,False,False,False,False,False
SPT3:YAP6,C16:1,0.2914947154900175,False,-0.1553880166695351,False,False,False,False,False,False,False,False,False,False
SPT3:TFC7,C16:1,0.4762227762336096,False,-0.1049411591888433,False,False,False,False,False,False,False,False,False,False
YAP6:TFC7,C16:1,0.3140803134933103,False,-0.1482949550001016,False,False,False,False,False,False,False,False,False,False
GCN5:MED4,C18:1,0.4182938731554793,False,-0.2309533197060177,False,False,False,False,False,False,False,False,True,False
GCN5:OPI1,C18:1,0.2207264589988985,False,-0.3313148857953788,False,False,False,False,False,False,False,True,True,False
GCN5:RGR1,C18:1,0.906719700127408,False,-0.0317022410347719,False,False,True,False,False,False,False,False,True,False
OPI1:RGR1,C18:1,0.5400640072823031,False,-0.1562380058935528,False,False,False,False,False,False,False,False,False,False
OPI1:SPT3,C18:1,0.5235643993561667,False,-0.1626496484049615,False,False,True,False,False,False,False,False,False,False
GCN5:OPI1,Total Titer,0.8121660802240416,False,-0.0330087942249609,False,False,False,False,False,False,False,True,True,False
GCN5:RGR1,Total Titer,0.8755927573037766,False,-0.0217470584481902,False,False,True,False,False,False,False,False,True,False
