graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_edge,10,165,8,87,5.714285714285714,8.421052631578947,0.6785714285714286,0.6590909090909091,0.4466921755611951
regulatory_edge,28,147,8,87,16.0,8.421052631578947,1.9000000000000001,2.0714285714285716,0.09288896387275965
genetic_edge,52,123,26,69,29.714285714285715,27.36842105263158,1.0857142857142859,1.1219512195121952,0.7788174375927575
tflink_edge,21,154,15,80,12.0,15.789473684210526,0.76,0.7272727272727273,0.4537119167674374
string12_0_neighborhood_edge,0,175,0,95,0.0,0.0,,,1.0
string12_0_fusion_edge,0,175,0,95,0.0,0.0,,,1.0
string12_0_cooccurence_edge,0,175,0,95,0.0,0.0,,,1.0
string12_0_coexpression_edge,32,143,22,73,18.285714285714285,23.157894736842106,0.7896103896103895,0.7425301970756516,0.3437593856096028
string12_0_experimental_edge,56,119,28,67,32.0,29.473684210526315,1.0857142857142856,1.1260504201680672,0.6826184517394305
string12_0_database_edge,11,164,7,88,6.285714285714286,7.368421052631579,0.8530612244897959,0.8432055749128919,0.7999762782055688
