graph_type,sig_with_overlap,sig_without_overlap,nonsig_with_overlap,nonsig_without_overlap,sig_pct,nonsig_pct,fold_enrichment,odds_ratio,p_value
physical_triangle,0,374,0,117,0.0,0.0,,,1.0
regulatory_triangle,4,370,1,116,1.0695187165775402,0.8547008547008547,1.251336898395722,1.2540540540540541,1.0
genetic_triangle,12,362,10,107,3.2085561497326203,8.547008547008547,0.3754010695187166,0.3546961325966851,0.02107073647611215
tflink_triangle,0,374,0,117,0.0,0.0,,,1.0
string12_0_neighborhood_triangle,0,374,0,117,0.0,0.0,,,1.0
string12_0_fusion_triangle,0,374,0,117,0.0,0.0,,,1.0
string12_0_cooccurence_triangle,0,374,0,117,0.0,0.0,,,1.0
string12_0_coexpression_triangle,8,366,6,111,2.1390374331550803,5.128205128205129,0.41711229946524064,0.40437158469945356,0.10994987288850752
string12_0_experimental_triangle,21,353,7,110,5.614973262032086,5.982905982905983,0.9385026737967914,0.9348441926345609,0.8226986062021865
string12_0_database_triangle,0,374,0,117,0.0,0.0,,,1.0
