gene,p5,q1,median,q3,p95,iqr,n_genes,frac_gt_0.25,frac_gt_0.5,frac_gt_0.75,frac_gt_1.0
YKR034W,-0.1657885401399788,-0.053434863877538444,-0.0017597229085464811,0.04959546694705154,0.15738212721770037,0.10303033082458998,6169,0.031609661209272166,0.004214621494569622,0.0014589074404279462,0.0004863024801426487
YOR162C,-0.1662818385641877,-0.05613528864745176,-0.003039080079728529,0.04990172350372156,0.1545036539766565,0.10603701215117331,6169,0.031609661209272166,0.004538823147998055,0.0011347057869995137,0.0008105041335710813
YOR172W,-0.16396685185884047,-0.05351270512775172,0.0003268811630944713,0.05294171324665528,0.15513022080847585,0.106454418374407,6169,0.0319338628627006,0.004538823147998055,0.00129680661371373,0.0008105041335710813
YBR066C,-0.14085884237220292,-0.05491906923868384,-0.003982855675734493,0.051709084811447766,0.15805838786300472,0.1066281540501316,6169,0.02804344302155941,0.0037283190144269734,0.0008105041335710813,0.0004863024801426487
YPL021W,-0.17031525678386014,-0.05245032196319633,-0.0006272730146818367,0.05427324403000743,0.1571930739065413,0.10672356599320376,6169,0.029178148808558922,0.005025125628140704,0.00129680661371373,0.000648403306856865
YLR013W,-0.156099253405819,-0.048052785493434926,0.00415059200887459,0.059730632735450005,0.16811945804858863,0.10778341822888493,6169,0.031609661209272166,0.00518722645485492,0.0014589074404279462,0.0008105041335710813
YIR013C,-0.1523355408602758,-0.05408968958661953,-0.0009026633174047712,0.05485322271079684,0.15250809896328527,0.10894291229741637,6169,0.025774031447560384,0.0038904198411411897,0.00129680661371373,0.0008105041335710813
YPL089C,-0.15754920365536276,-0.05234036288639815,0.0020611613578077875,0.05783059123365694,0.17687771449203146,0.11017095412005509,6169,0.035175879396984924,0.004863024801426487,0.0019452099205705948,0.0009726049602852974
YER088C,-0.15804819018496077,-0.05272946508311463,-0.00012724981385699684,0.057749843371986874,0.2091893727570463,0.11047930845510151,6169,0.04700923974712271,0.004863024801426487,0.0014589074404279462,0.0011347057869995137
YML027W,-0.16255262416804545,-0.05342662798435613,0.00034473181068411796,0.058256507510748116,0.1962623508843391,0.11168313549510425,6169,0.05025125628140704,0.008753444642567677,0.002107310747284811,0.0009726049602852974
YLR014C,-0.15862170946304543,-0.05676460923704082,-0.0009570285542092462,0.05579051015804699,0.18155090009151567,0.1125551193950878,6169,0.0369589884908413,0.005511428108283352,0.002755714054141676,0.0017831090938563786
YMR037C,-0.19240293396147534,-0.05249303363544403,0.00282391431555149,0.06060827904027927,0.17083934295624767,0.11310131267572329,6169,0.04976495380126439,0.012805965310423084,0.0072945372021397305,0.0037283190144269734
YFL021W,-0.16639048428279885,-0.05222561898776184,0.0035491074304276303,0.06324265318046741,0.19156809882712736,0.11546827216822925,6169,0.04068730750526828,0.007456638028853947,0.0029178148808558925,0.0016210082671421625
YGL096W,-0.170577909081238,-0.05964445252173786,-0.0030107116966980735,0.057191969728408114,0.17882686177805254,0.11683642225014598,6169,0.03825579510455503,0.005673528934997569,0.0029178148808558925,0.0011347057869995137
YDL106C,-0.17759841115164696,-0.055790953283887446,0.0032548009456223027,0.06182381937720164,0.18840959594671636,0.11761477266108908,6169,0.04700923974712271,0.007942940508996596,0.0034041173609985413,0.00129680661371373
