strategy,rank,triple,built_parents,parent_routes,new_doubles_needed
no_ylr,22,YDR057W + YER079W + YGL087C,2,(YDR057W + YER079W) x YGL087C;(YDR057W + YGL087C) x YER079W,1
no_ylr,24,YBR203W + YLL012W + YPL046C,2,(YBR203W + YPL046C) x YLL012W;(YLL012W + YPL046C) x YBR203W,1
no_ylr,26,YER079W + YLR104W + YPL046C,0,,3
no_ylr,27,YGL087C + YLL012W + YPL046C,1,(YLL012W + YPL046C) x YGL087C,2
no_ylr,28,YBR203W + YLR104W + YPL046C,1,(YBR203W + YPL046C) x YLR104W,2
no_ylr,29,YBR203W + YKL033W-A + YPL046C,1,(YBR203W + YPL046C) x YKL033W-A,2
no_ylr,31,YBR203W + YJR060W + YPL046C,2,(YBR203W + YPL046C) x YJR060W;(YJR060W + YPL046C) x YBR203W,1
no_ylr,34,YBR203W + YGL087C + YPL046C,1,(YBR203W + YPL046C) x YGL087C,2
no_ylr,38,YBR203W + YDR057W + YLL012W,1,(YDR057W + YLL012W) x YBR203W,2
no_ylr,39,YDR057W + YGL087C + YLL012W,2,(YDR057W + YGL087C) x YLL012W;(YDR057W + YLL012W) x YGL087C,1
