group,P1_t44,P2_t44,P1_t50,P2_t50
P1_t44,1.0,0.5643468675533628,0.9320265225119475,0.5269656400913036
P2_t44,0.5643468675533628,1.0,0.6764658915046806,0.908091936029067
P1_t50,0.9320265225119475,0.6764658915046806,1.0,0.6545977477118886
P2_t50,0.5269656400913036,0.908091936029067,0.6545977477118886,1.0
