strain,volume_nl,fitness,fitness_sd,n_used,pvalue
BY4741,2.5,1.0,0.08687305271156034,8,
COS111,2.5,0.8993287666539034,0.14017425610326986,10,0.01554001554001554
ELC1,2.5,0.8061818439191712,0.10687756767697155,9,0.00032908268202385847
LCL1,2.5,0.8287736383393806,0.23849753849166735,9,0.005512134923899629
MMS2,2.5,0.8867824315787497,0.22505043134353603,8,0.19487179487179485
SPH1,2.5,0.6451086931174163,0.08324314252510386,6,0.000666000666000666
YEH1,2.5,0.6906015792706626,0.11599955995590178,5,0.001554001554001554
YER079W,2.5,0.8536735701107494,0.19945029806698192,9,0.0037021801727684074
YJR060W,2.5,0.7930525499154922,0.14266659870132786,11,5.292265354184859e-05
YKL033W-A,2.5,0.8654677026720581,0.09672037976611825,7,0.009324009324009324
YLR312C-B,2.5,0.9605204989658053,0.17343837986513358,11,0.272287052472811
YOS9,2.5,0.9164417001893187,0.07913623091156141,8,0.020668220668220667
YPL081W,2.5,0.877895501075016,0.1155908480219008,11,0.0017729088936519278
BY4741,5.0,1.0,0.08392293985460302,11,
COS111,5.0,0.751979308410095,0.1414840639785291,11,0.0006388029959693746
ELC1,5.0,0.889677728820518,0.11987932818921379,11,0.01511526935649349
LCL1,5.0,0.7013759991128765,0.1063016107879259,10,0.0001241544606016335
MMS2,5.0,0.8327164773764395,0.13217478676843383,11,0.0016220041892740272
SPH1,5.0,0.6129342538243052,0.1784550587732839,10,0.0006371948724634316
YEH1,5.0,0.8766914623066334,0.20297357564937454,11,0.18908180596451618
YER079W,5.0,0.7791891218091376,0.10971140446380162,8,0.00018522928739647006
YJR060W,5.0,0.7695098170084823,0.11560111494132827,11,0.0005009543818372149
YKL033W-A,5.0,0.7143536569484766,0.10161693577393141,7,6.284565108094519e-05
YLR312C-B,5.0,1.018256519707957,0.11523913976349548,11,1.0
YOS9,5.0,0.9271285974128401,0.08294537401840776,11,0.018081721820705336
YPL081W,5.0,0.7600969667793526,0.06484924621990862,11,8.151536127743242e-05
