plate,dest_wells,duplicate_wells,n_wt_wells,n_blank_wells,best_orientation,H_identity,H_rot180,H_flip_v,H_flip_h,wt_source_wells,wt_transfers,wt_actual_volume_min,wt_short_transfers,wt_source_fluid_end_ul
P1,384,0,30,6,identity,97.10134777770236,15.041887450198374,9.666222801284675,8.871681202928585,A1,30,5.0,0,59.696
P2,384,0,30,6,identity,146.29022507354807,2.7081302371764195,13.668873740777371,11.872909537272335,A1,30,5.0,0,59.499
P3,384,0,30,6,identity,125.88877050655583,6.924249666323021,15.678134664194658,16.75788498494512,A1,30,5.0,0,59.282
