group,plate,volume_nl,hours,agar,reliable,n_colonies,missing,missing_rate,multi_rejected,median_size_px,wt_n,wt_cv,blanks_empty,n_blanks,kruskal_H,kruskal_p,fitness_min,fitness_max,between_strain_sd,mean_within_se,fitness_range,discrimination
P1_t44,P1,2.5,43.71,up,True,384,94,0.24867724867724866,7,262.0,29,0.21525569277541517,6,6,58.79899151352549,3.7334921727471594e-08,0.5815398442021488,1.0016431595448785,0.11524965728352414,0.049483447783417366,0.4201033153427297,2.3290547131630146
P2_t44,P2,5.0,43.71,up,True,384,19,0.05026455026455026,1,356.0,30,0.1520126983125617,6,6,82.05718857895545,1.6696497508728291e-12,0.757742310233843,0.9788954618493219,0.07649486750890906,0.032675599768942236,0.22115315161547888,2.3410394315582392
P1_t50,P1,2.5,50.3,down,True,384,89,0.23544973544973544,1,424.0,29,0.1566413382210829,6,6,71.41034795415692,1.7429785724960297e-10,0.6462101289369582,1.0326967880794542,0.10412675703780623,0.03972890289940039,0.386486659142496,2.620932103296962
P2_t50,P2,5.0,50.3,down,True,384,17,0.04497354497354497,0,452.0,30,0.12351982619384076,6,6,90.38606496523403,4.156608472351415e-14,0.726498870088542,0.8928082260743645,0.06095915600408045,0.03026965212898365,0.16630935598582253,2.013870385570475
P1_t72,P1,2.5,72.18,down,True,384,89,0.23544973544973544,0,520.0,30,0.16063058974299108,6,6,61.12309112255329,1.4077679583339483e-08,0.7046688026370885,1.0054407931378024,0.08727185526463177,0.037168957486424424,0.3007719905007139,2.347976945452584
P2_t72,P2,5.0,72.26,down,True,384,16,0.042328042328042326,0,618.0,28,0.11392502079764634,6,6,63.952160258872254,4.256092912996303e-09,0.7587465891696941,0.9264160185581574,0.05930285120338402,0.026515694745903054,0.1676694293884633,2.2365188531425115
