strain,dark_field,transillumination
BY4741,1.0,1.0
COS111,0.7906519158622319,0.7274353186437934
ELC1,0.8025331969992441,0.727252663584335
LCL1,0.769350539123326,0.6156916746600392
MMS2,0.886208830247377,0.7858655948544729
SPH1,0.632728284379377,0.5468101319115537
YEH1,0.8566305423768539,0.719478653503033
YER079W,0.8181796856933371,0.7340622955430677
YJR060W,0.7810455608410644,0.6555702052573281
YKL033W-A,0.7703172484223428,0.6891554361552694
YLR312C-B,0.9856024487710966,0.961242859665714
YOS9,0.939786149198344,0.8905890749519101
YPL081W,0.8181568928221511,0.7057547840532962
