row,col,size,circularity,flags,cx,cy,strain,volume_nl,well,is_missing,is_flagged,is_blank,is_reference,size_rc,size_spatial,norm,is_capped,is_jackknife,status,group,plate,hours,agar
1,1,114,1.0,E,150.21052631578948,186.21929824561403,YLR312C-B,2.5,A1,False,False,False,True,190.0572205760917,190.42145684822964,0.7589648938513249,False,False,OK,P1_t44,P1,43.71,up
1,2,164,1.0,E,199.9451219512195,185.92073170731706,YEH1,2.5,A2,False,False,False,True,229.61605613119036,303.3269913997204,1.2089737240767826,False,True,JK,P1_t44,P1,43.71,up
1,3,33,1.0,E,246.0,183.0,MMS2,2.5,A3,False,False,False,True,42.114449319550836,46.04919590361606,0.18353878632901427,False,True,JK,P1_t44,P1,43.71,up
1,4,168,1.0,E,296.94642857142856,184.41071428571428,YJR060W,2.5,A4,False,False,False,True,171.8247809762203,162.29647247139968,0.6468668344443744,False,False,OK,P1_t44,P1,43.71,up
1,5,284,1.0,E,345.8556338028169,186.6161971830986,BY4741,2.5,A5,False,False,False,True,280.9994090260461,265.41697066261247,1.0578753376823706,False,False,OK,P1_t44,P1,43.71,up
1,6,376,1.0,E,392.27925531914894,186.73670212765958,YOS9,2.5,A6,False,False,False,True,354.3986378865272,331.7712307926308,1.3223442417108757,False,False,OK,P1_t44,P1,43.71,up
1,7,327,1.0,E,441.4831804281346,185.80428134556576,COS111,2.5,A7,False,False,False,True,302.2865223012282,275.1929429718025,1.0968395379817704,False,False,OK,P1_t44,P1,43.71,up
1,8,362,1.0,E,489.4033149171271,187.2707182320442,YPL081W,2.5,A8,False,False,False,True,335.7173660460969,304.7267983323718,1.2145529499562426,False,False,OK,P1_t44,P1,43.71,up
1,9,0,,,530.1583604274492,193.09533123143643,SPH1,2.5,A9,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
1,10,394,1.0,E,585.989847715736,187.18781725888326,COS111,2.5,A10,False,False,False,True,341.2538925480102,338.5226121505822,1.3492532966067816,False,False,OK,P1_t44,P1,43.71,up
1,11,283,1.0,,636.3427561837456,188.32155477031802,BY4741,2.5,A11,False,False,False,True,288.4201680672269,325.87477418118215,1.2988426697752409,False,False,OK,P1_t44,P1,43.71,up
1,12,253,1.0,,684.5415019762846,185.53754940711462,YEH1,2.5,A12,False,False,False,True,222.13181893762075,194.83872733578812,0.776570857392369,False,False,OK,P1_t44,P1,43.71,up
1,13,435,1.0,,728.7724137931034,185.26666666666665,MMS2,2.5,A13,False,False,False,True,325.0330909565899,347.14405296027405,1.383615868016938,False,False,OK,P1_t44,P1,43.71,up
1,14,489,0.9138838831680004,,777.920245398773,189.42126789366054,YOS9,2.5,A14,False,False,False,True,380.1548845953476,406.01560598855883,1.6182608640931258,False,False,OK,P1_t44,P1,43.71,up
1,15,165,1.0,,826.6909090909091,195.03636363636363,YPL081W,2.5,A15,False,False,False,True,151.8000884564352,159.90400872137133,0.6373311653756799,False,False,OK,P1_t44,P1,43.71,up
1,16,64,1.0,E,855.0,171.1875,YPL081W,2.5,A16,False,False,False,True,61.32521845947681,64.49133486959148,0.25704382233899925,False,False,OK,P1_t44,P1,43.71,up
