group,P1_t44,P2_t44,P1_t50,P2_t50,P1_t72,P2_t72
P1_t44,1.0,0.5940325256589083,0.9712202201303799,0.6347542742896712,0.9145256151321771,0.6225679064778809
P2_t44,0.5940325256589083,1.0,0.5927959063703013,0.9571338661858116,0.5864194853260177,0.8782012598328549
P1_t50,0.9712202201303799,0.5927959063703013,1.0,0.6322157558714232,0.9627030316592743,0.6572910117797816
P2_t50,0.6347542742896712,0.9571338661858116,0.6322157558714232,1.0,0.6323704459734657,0.905289275690246
P1_t72,0.9145256151321771,0.5864194853260177,0.9627030316592743,0.6323704459734657,1.0,0.7059261707549773
P2_t72,0.6225679064778809,0.8782012598328549,0.6572910117797816,0.905289275690246,0.7059261707549773,1.0
