rank,gene1,gene2,gene3,prediction,genes_not_built,n_doubles_missing,missing_doubles,computable_now
55,YGL087C,YKL033W-A,YPL046C,0.4020996,,3,YGL087C+YKL033W-A;YGL087C+YPL046C;YKL033W-A+YPL046C,False
56,YBR203W,YDR057W,YKL033W-A,0.40063477,,3,YBR203W+YDR057W;YBR203W+YKL033W-A;YDR057W+YKL033W-A,False
57,YER079W,YKL033W-A,YPL046C,0.39746094,,3,YER079W+YKL033W-A;YER079W+YPL046C;YKL033W-A+YPL046C,False
58,YBR203W,YDR057W,YLR312C-B,0.3955078,,2,YBR203W+YDR057W;YBR203W+YLR312C-B,False
59,YBR203W,YDR057W,YIL174W,0.3955078,YIL174W,3,YBR203W+YDR057W;YBR203W+YIL174W;YDR057W+YIL174W,False
60,YER079W,YGL087C,YPL046C,0.3955078,,3,YER079W+YGL087C;YER079W+YPL046C;YGL087C+YPL046C,False
61,YDR057W,YKL033W-A,YLR104W,0.38623047,,3,YDR057W+YKL033W-A;YDR057W+YLR104W;YKL033W-A+YLR104W,False
62,YBR203W,YDR057W,YLR104W,0.38427734,,3,YBR203W+YDR057W;YBR203W+YLR104W;YDR057W+YLR104W,False
63,YIL174W,YLR104W,YPL046C,0.37963867,YIL174W,3,YIL174W+YLR104W;YIL174W+YPL046C;YLR104W+YPL046C,False
64,YLR104W,YLR312C-B,YPL046C,0.37963867,,3,YLR104W+YLR312C-B;YLR104W+YPL046C;YLR312C-B+YPL046C,False
65,YDR057W,YIL174W,YLR104W,0.37939453,YIL174W,3,YDR057W+YIL174W;YDR057W+YLR104W;YIL174W+YLR104W,False
66,YDR057W,YLR104W,YLR312C-B,0.37939453,,2,YDR057W+YLR104W;YLR104W+YLR312C-B,False
67,YBR203W,YDR057W,YGL087C,0.37695312,,2,YBR203W+YDR057W;YBR203W+YGL087C,False
68,YBR203W,YDR057W,YPL046C,0.37548828,,2,YBR203W+YDR057W;YDR057W+YPL046C,False
69,YDR057W,YKL033W-A,YLR312C-B,0.37060547,,2,YDR057W+YKL033W-A;YKL033W-A+YLR312C-B,False
70,YDR057W,YIL174W,YKL033W-A,0.37060547,YIL174W,3,YDR057W+YIL174W;YDR057W+YKL033W-A;YIL174W+YKL033W-A,False
71,YDR057W,YGL087C,YLR104W,0.37036133,,2,YDR057W+YLR104W;YGL087C+YLR104W,False
72,YDR057W,YLL012W,YPL046C,0.36938477,,1,YDR057W+YPL046C,False
73,YDR057W,YJR060W,YPL046C,0.36743164,,2,YDR057W+YJR060W;YDR057W+YPL046C,False
74,YKL033W-A,YLR312C-B,YPL046C,0.35864258,,3,YKL033W-A+YLR312C-B;YKL033W-A+YPL046C;YLR312C-B+YPL046C,False
75,YIL174W,YKL033W-A,YPL046C,0.35864258,YIL174W,3,YIL174W+YKL033W-A;YIL174W+YPL046C;YKL033W-A+YPL046C,False
76,YGL087C,YLR312C-B,YPL046C,0.35351562,,3,YGL087C+YLR312C-B;YGL087C+YPL046C;YLR312C-B+YPL046C,False
77,YGL087C,YIL174W,YPL046C,0.35351562,YIL174W,3,YGL087C+YIL174W;YGL087C+YPL046C;YIL174W+YPL046C,False
78,YDR057W,YGL087C,YKL033W-A,0.34887695,,2,YDR057W+YKL033W-A;YGL087C+YKL033W-A,False
79,YDR057W,YJR060W,YLL012W,0.34814453,,2,YDR057W+YJR060W;YJR060W+YLL012W,False
80,YBR203W,YDR057W,YJR060W,0.34228516,,3,YBR203W+YDR057W;YBR203W+YJR060W;YDR057W+YJR060W,False
81,YDR057W,YLR104W,YPL046C,0.3388672,,3,YDR057W+YLR104W;YDR057W+YPL046C;YLR104W+YPL046C,False
82,YDR057W,YIL174W,YPL081W,0.32592773,YIL174W,2,YDR057W+YIL174W;YIL174W+YPL081W,False
83,YDR057W,YLR312C-B,YPL081W,0.32592773,,0,,True
84,YDR057W,YGL087C,YIL174W,0.32299805,YIL174W,2,YDR057W+YIL174W;YGL087C+YIL174W,False
85,YDR057W,YGL087C,YLR312C-B,0.32299805,,1,YGL087C+YLR312C-B,False
86,YDR057W,YJR060W,YLR312C-B,0.31030273,,2,YDR057W+YJR060W;YJR060W+YLR312C-B,False
87,YDR057W,YIL174W,YJR060W,0.31030273,YIL174W,3,YDR057W+YIL174W;YDR057W+YJR060W;YIL174W+YJR060W,False
88,YDR057W,YGL087C,YPL046C,0.28833008,,2,YDR057W+YPL046C;YGL087C+YPL046C,False
89,YDR057W,YKL033W-A,YPL046C,0.27124023,,3,YDR057W+YKL033W-A;YDR057W+YPL046C;YKL033W-A+YPL046C,False
90,YKL033W-A,YLL012W,YLR312C-B,0.265625,,3,YKL033W-A+YLL012W;YKL033W-A+YLR312C-B;YLL012W+YLR312C-B,False
91,YIL174W,YKL033W-A,YLL012W,0.265625,YIL174W,3,YIL174W+YKL033W-A;YIL174W+YLL012W;YKL033W-A+YLL012W,False
92,YBR203W,YKL033W-A,YLR312C-B,0.2578125,,3,YBR203W+YKL033W-A;YBR203W+YLR312C-B;YKL033W-A+YLR312C-B,False
93,YBR203W,YIL174W,YKL033W-A,0.2578125,YIL174W,3,YBR203W+YIL174W;YBR203W+YKL033W-A;YIL174W+YKL033W-A,False
94,YIL174W,YKL033W-A,YLR104W,0.24291992,YIL174W,3,YIL174W+YKL033W-A;YIL174W+YLR104W;YKL033W-A+YLR104W,False
95,YKL033W-A,YLR104W,YLR312C-B,0.24291992,,3,YKL033W-A+YLR104W;YKL033W-A+YLR312C-B;YLR104W+YLR312C-B,False
96,YER079W,YIL174W,YPL046C,0.23449707,YIL174W,3,YER079W+YIL174W;YER079W+YPL046C;YIL174W+YPL046C,False
97,YER079W,YLR312C-B,YPL046C,0.23449707,,2,YER079W+YPL046C;YLR312C-B+YPL046C,False
98,YDR057W,YER079W,YPL081W,0.234375,,0,,True
99,YBR203W,YIL174W,YLR104W,0.22521973,YIL174W,3,YBR203W+YIL174W;YBR203W+YLR104W;YIL174W+YLR104W,False
100,YBR203W,YLR104W,YLR312C-B,0.22521973,,3,YBR203W+YLR104W;YBR203W+YLR312C-B;YLR104W+YLR312C-B,False
101,YBR203W,YGL087C,YLR312C-B,0.20812988,,3,YBR203W+YGL087C;YBR203W+YLR312C-B;YGL087C+YLR312C-B,False
102,YDR057W,YER079W,YPL046C,0.20495605,,2,YDR057W+YPL046C;YER079W+YPL046C,False
103,YGL087C,YIL174W,YLL012W,0.20227051,YIL174W,3,YGL087C+YIL174W;YGL087C+YLL012W;YIL174W+YLL012W,False
104,YGL087C,YLL012W,YLR312C-B,0.20227051,,3,YGL087C+YLL012W;YGL087C+YLR312C-B;YLL012W+YLR312C-B,False
105,YGL087C,YLR104W,YLR312C-B,0.1965332,,3,YGL087C+YLR104W;YGL087C+YLR312C-B;YLR104W+YLR312C-B,False
106,YGL087C,YIL174W,YLR104W,0.1965332,YIL174W,3,YGL087C+YIL174W;YGL087C+YLR104W;YIL174W+YLR104W,False
107,YBR203W,YIL174W,YJR060W,0.18884277,YIL174W,3,YBR203W+YIL174W;YBR203W+YJR060W;YIL174W+YJR060W,False
108,YBR203W,YJR060W,YLR312C-B,0.18884277,,3,YBR203W+YJR060W;YBR203W+YLR312C-B;YJR060W+YLR312C-B,False
109,YBR203W,YIL174W,YLL012W,0.18383789,YIL174W,3,YBR203W+YIL174W;YBR203W+YLL012W;YIL174W+YLL012W,False
